task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,ast_branch_coverage,ast_line_coverage,ast_total_branches,ast_total_lines,test_diversity_asserts,test_code_bloat_ratio,logic_density,fc_per_1k_total_tokens,coverage_per_1k_tokens
HumanEval/139,hybrid,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,61.5,2.27,0.094,3062,0,3062,1.0,0.0833,0,11,8,2.45,0.0,0.0,0.3266
HumanEval/139,coa,gemma-12b:scot,6,2,0,8,0.75,100.0,0.0,1.0,1.88,71.2,2.33,0.073,150,0,150,1.0,0.0833,0,11,7,2.0,0.0,5.0,6.6667
HumanEval/139,baseline,gemma-12b:few_shot,1,2,0,3,0.333,100.0,0.0,1.0,3.67,77.77,0.8,0.086,649,0,649,1.0,0.0833,0,11,8,0.73,0.0,0.5131,1.5408
HumanEval/139,soa,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.8,70.02,1.6,0.105,148,0,148,1.0,0.0833,0,11,9,1.73,0.0,0.0,6.7568
HumanEval/139,coa,gemma-12b:few_shot,6,2,0,8,0.75,100.0,0.0,1.0,1.88,71.2,2.33,0.075,150,0,150,1.0,0.0833,0,11,7,2.0,0.0,5.0,6.6667
HumanEval/139,swarm,gemma-12b:few_shot,1,0,0,1,1.0,77.0,0.0,0.0,2.0,81.86,0.27,0.11,4581,0,4581,1.0,0.0833,0,11,1,0.09,0.0,0.2183,0.2183
HumanEval/139,hybrid,gemma-12b:few_shot,9,4,1,14,0.643,87.0,0.0,1.0,2.12,62.73,5.27,0.199,3982,0,3982,0.1667,0.2,6,4,14,10.25,0.25,0.1615,0.0419
HumanEval/139,atomic_swarm,gemma-12b:scot,1,1,0,2,0.5,95.0,0.0,1.0,1.67,68.04,0.8,0.093,5489,0,5489,1.0,0.0833,0,11,2,0.64,0.0,0.0911,0.1822
HumanEval/139,adversarial,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,1.89,66.64,2.13,0.058,1634,0,1634,1.0,0.0833,0,11,8,1.82,0.0,0.0,0.612
HumanEval/139,atomic_swarm,gemma-12b:few_shot,1,1,0,2,0.5,95.0,0.0,1.0,1.67,68.04,0.8,0.093,653,0,653,1.0,0.0833,0,11,2,0.64,0.0,0.7657,1.5314
HumanEval/139,coa,gemma-12b:cot,5,3,0,8,0.625,100.0,0.0,1.0,2.12,68.85,2.47,0.071,150,0,150,1.0,0.0833,0,11,9,2.18,0.0,4.1667,6.6667
HumanEval/139,atomic_swarm,gemma-12b:cot,1,1,0,2,0.5,95.0,0.0,1.0,1.67,68.04,0.8,0.093,146,0,146,1.0,0.0833,0,11,2,0.64,0.0,3.4247,6.8493
HumanEval/139,consensus,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,74.4,1.6,0.085,1618,0,1618,1.0,0.0833,0,11,8,1.45,0.0,0.0,0.618
HumanEval/139,consensus,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,72.94,1.73,0.086,2955,0,2955,1.0,0.0833,0,11,8,1.64,0.0,0.0,0.3384
HumanEval/139,adversarial,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,70.49,1.33,0.066,0,0,0,1.0,0.0833,0,11,6,1.09,0.0,0.0,0.0
HumanEval/139,adversarial,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,1.71,68.49,1.6,0.077,1087,0,1087,1.0,0.0833,0,11,5,1.36,0.0,0.0,0.92
HumanEval/139,adversarial,gemma-12b:few_shot,5,0,0,5,1.0,83.0,0.0,0.0,3.14,79.09,2.47,0.383,0,0,0,0.1667,0.0455,6,21,9,0.52,0.14,0.0,0.0
HumanEval/139,hybrid,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.2,71.78,1.27,0.073,514,0,514,1.0,0.0833,0,11,6,1.09,0.0,0.0,1.9455
HumanEval/139,swarm,gemma-12b:scot,1,0,0,1,1.0,77.0,0.0,0.0,2.0,81.86,0.27,0.11,1726,0,1726,1.0,1.0,0,11,1,0.09,0.0,0.5794,0.5794
HumanEval/139,actor_critic,gemma-12b:cot,4,1,0,5,0.8,76.0,0.0,1.0,3.0,74.06,2.87,0.299,646,0,646,1.0,0.4167,8,23,8,0.7,0.17,1.2384,1.548
HumanEval/139,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,74.4,1.6,0.085,3272,0,3272,1.0,0.0833,0,11,8,1.45,0.0,0.0,0.3056
HumanEval/139,consensus,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,72.94,1.73,0.088,5149,0,5149,1.0,0.0833,0,11,8,1.64,0.0,0.0,0.1942
HumanEval/139,actor_critic,gemma-12b:few_shot,2,2,0,4,0.5,83.0,0.0,1.0,3.0,73.25,3.0,0.322,4597,0,4597,1.0,0.3913,6,22,7,0.86,0.14,0.1088,0.2175
HumanEval/139,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.4,72.85,1.8,0.084,2067,459,2526,1.0,0.0833,0,11,7,1.73,0.0,0.0,0.3959
HumanEval/139,self_healing,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,72.94,1.73,0.085,0,0,0,1.0,0.0833,0,11,8,1.64,0.0,0.0,0.0
HumanEval/139,self_healing,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.4,72.85,1.8,0.084,0,0,0,1.0,0.0833,0,11,7,1.73,0.0,0.0,0.0
HumanEval/139,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.6,72.94,1.73,0.085,0,0,0,1.0,0.0833,0,11,8,1.64,0.0,0.0,0.0
HumanEval/140,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,25.0,0.0,1.0,0.0,100.0,0.07,0.12,0,0,0,1.0,0.0909,0,10,0,0.0,0.0,0.0,0.0
HumanEval/140,baseline,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,59.05,2.29,0.069,338,0,338,1.0,0.0909,0,10,15,1.5,0.0,0.0,2.9586
HumanEval/140,competitive,gemma-12b:cot,0,0,0,0,0.0,25.0,0.0,1.0,0.0,100.0,0.07,0.12,0,0,0,1.0,0.0909,0,10,0,0.0,0.0,0.0,0.0
HumanEval/140,soa,gemma-12b:zero_shot,11,4,0,15,0.733,100.0,0.0,1.0,2.0,48.87,2.21,0.073,3568,0,3568,1.0,0.0909,0,10,15,1.5,0.0,0.2054,0.2803
HumanEval/140,atomic_swarm,gemma-12b:zero_shot,3,0,0,3,1.0,100.0,0.0,0.25,2.0,69.94,0.57,0.087,165,0,165,1.0,0.0909,0,10,3,0.3,0.0,6.0606,6.0606
HumanEval/140,baseline,gemma-12b:cot,6,7,0,13,0.462,90.0,0.0,1.0,2.33,63.34,4.07,0.3,549,0,549,0.1,0.0333,10,29,13,0.45,0.17,0.8415,0.1821
HumanEval/140,coa,gemma-12b:zero_shot,11,0,0,11,1.0,100.0,0.0,0.25,2.0,72.61,1.93,0.07,2878,0,2878,1.0,1.0,0,10,11,1.1,0.0,0.3475,0.3475
HumanEval/140,swarm,gemma-12b:zero_shot,1,0,0,1,1.0,100.0,0.0,0.25,2.0,81.86,0.29,0.282,1803,0,1803,1.0,0.0909,0,10,1,0.1,0.0,0.5546,0.5546
HumanEval/140,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,54.41,2.86,0.043,1132,0,1132,1.0,0.0909,0,10,19,1.9,0.0,0.0,0.8834
HumanEval/140,soa,gemma-12b:cot,12,4,0,16,0.75,100.0,0.0,1.0,2.0,47.9,2.36,0.069,1623,0,1623,1.0,0.0909,0,10,16,1.6,0.0,0.4621,0.6161
HumanEval/140,coa,gemma-12b:cot,11,0,0,11,1.0,100.0,0.0,0.25,2.0,72.61,1.93,0.077,169,0,169,1.0,0.0909,0,10,11,1.1,0.0,5.9172,5.9172
HumanEval/140,competitive,gemma-12b:scot,0,0,0,0,0.0,25.0,0.0,1.0,0.0,100.0,0.07,0.12,0,0,0,1.0,0.0909,0,10,0,0.0,0.0,0.0,0.0
HumanEval/140,baseline,gemma-12b:scot,5,5,0,10,0.5,78.0,0.0,1.0,2.08,68.67,4.64,0.235,615,0,615,0.5,0.0667,2,14,10,0.71,0.07,0.813,0.813
HumanEval/140,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,85.11,3.5,0.039,4376,0,4376,1.0,0.0909,0,10,8,1.0,0.0,0.0,0.2285
HumanEval/140,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,100.0,0.0,0.25,2.0,69.94,0.57,0.087,1510,0,1510,1.0,0.0909,0,10,3,0.3,0.0,0.6623,0.6623
HumanEval/140,hybrid,gemma-12b:cot,6,13,0,19,0.316,87.0,0.0,1.0,2.05,64.57,4.21,0.25,1345,0,1345,1.0,0.3529,4,16,19,1.44,0.12,0.2349,0.7435
HumanEval/140,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,63.38,1.86,0.076,2445,0,2445,1.0,0.0909,0,10,12,1.2,0.0,0.0,0.409
HumanEval/140,swarm,gemma-12b:cot,2,0,0,2,1.0,100.0,0.0,0.25,2.0,74.61,0.43,0.053,4344,0,4344,1.0,0.0909,0,10,2,0.2,0.0,0.2302,0.2302
HumanEval/140,soa,gemma-12b:scot,10,5,0,15,0.667,100.0,0.0,1.0,2.0,48.87,2.21,0.065,6980,0,6980,1.0,0.0909,0,10,15,1.5,0.0,0.0956,0.1433
HumanEval/140,competitive,gemma-12b:few_shot,0,0,0,0,0.0,25.0,0.0,1.0,0.0,100.0,0.07,0.12,0,0,0,1.0,0.0909,0,10,0,0.0,0.0,0.0,0.0
HumanEval/140,swarm,gemma-12b:scot,0,1,0,1,0.0,100.0,0.0,1.0,2.0,100.0,0.71,0.092,415,0,415,1.0,0.0909,0,10,1,0.8,0.0,0.0,2.4096
HumanEval/140,baseline,gemma-12b:few_shot,6,4,0,10,0.6,100.0,0.0,1.0,2.0,54.83,1.5,0.092,2069,0,2069,1.0,0.0909,0,10,10,1.0,0.0,0.29,0.4833
HumanEval/140,hybrid,gemma-12b:scot,11,1,0,12,0.917,89.0,0.0,1.0,2.43,65.66,3.57,0.332,1190,0,1190,0.1,0.04,10,24,12,0.5,0.17,0.7706,0.084
HumanEval/140,atomic_swarm,gemma-12b:scot,3,0,0,3,1.0,100.0,0.0,0.25,2.0,69.94,0.57,0.087,1225,0,1225,1.0,0.0909,0,10,3,0.3,0.0,0.8163,0.8163
HumanEval/140,actor_critic,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,59.05,2.29,0.045,466,0,466,1.0,0.0909,0,10,15,1.5,0.0,0.0,2.1459
HumanEval/140,coa,gemma-12b:scot,11,0,0,11,1.0,100.0,0.0,0.25,2.0,72.61,1.93,0.079,169,0,169,1.0,0.0909,0,10,11,1.1,0.0,5.9172,5.9172
HumanEval/140,soa,gemma-12b:few_shot,12,4,0,16,0.75,100.0,0.0,1.0,2.0,47.9,2.36,0.069,779,0,779,1.0,0.0909,0,10,16,1.6,0.0,0.9628,1.2837
HumanEval/140,coa,gemma-12b:few_shot,11,0,0,11,1.0,100.0,0.0,0.25,2.0,72.61,1.93,0.077,3135,0,3135,1.0,0.0909,0,10,11,1.1,0.0,0.319,0.319
HumanEval/140,consensus,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,59.05,2.29,0.069,1383,0,1383,1.0,0.0909,0,10,15,1.5,0.0,0.0,0.7231
HumanEval/140,swarm,gemma-12b:few_shot,0,1,0,1,0.0,100.0,0.0,1.0,2.0,81.86,0.29,0.179,4892,0,4892,1.0,0.0909,0,10,1,0.1,0.0,0.0,0.2044
HumanEval/140,actor_critic,gemma-12b:few_shot,4,5,0,9,0.444,79.0,0.0,1.0,1.9,83.9,2.21,0.453,5331,0,5331,1.0,0.1667,0,11,9,0.82,0.0,0.0833,0.1876
HumanEval/140,consensus,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,59.05,2.29,0.069,6823,0,6823,1.0,0.0909,0,10,15,1.5,0.0,0.0,0.1466
HumanEval/140,adversarial,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,60.39,2.14,0.047,0,0,0,1.0,0.0909,0,10,14,1.4,0.0,0.0,0.0
HumanEval/140,adversarial,gemma-12b:cot,12,2,0,14,0.857,91.0,0.0,1.0,2.27,63.74,4.29,0.309,985,0,985,1.0,0.5333,10,29,14,0.55,0.17,0.8701,1.0152
HumanEval/140,hybrid,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.05,55.91,5.57,0.047,1749,0,1749,0.0,0.0,0,4,18,8.25,0.25,0.0,0.0
HumanEval/140,actor_critic,gemma-12b:cot,0,15,0,15,0.0,82.0,0.0,1.0,2.12,67.59,3.86,0.268,5899,0,5899,1.0,0.0625,0,15,17,1.47,0.0,0.0,0.1695
HumanEval/140,consensus,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,59.05,2.29,0.069,1491,0,1491,1.0,1.0,0,10,15,1.5,0.0,0.0,0.6707
HumanEval/140,adversarial,gemma-12b:scot,10,0,0,10,1.0,88.0,0.0,0.0,2.5,68.24,3.29,0.371,615,0,615,0.1,0.04,10,24,10,0.42,0.17,1.626,0.1626
HumanEval/140,atomic_swarm,gemma-12b:few_shot,3,0,0,3,1.0,100.0,0.0,0.25,2.0,69.94,0.57,0.087,334,0,334,1.0,0.0909,0,10,3,0.3,0.0,2.994,2.994
HumanEval/140,adversarial,gemma-12b:few_shot,4,8,0,12,0.333,89.0,0.0,1.0,2.21,67.86,3.57,0.338,1305,0,1305,0.1667,0.0417,6,23,12,0.52,0.13,0.2552,0.1277
HumanEval/140,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,63.38,1.86,0.081,0,0,0,1.0,0.0909,0,10,12,1.2,0.0,0.0,0.0
HumanEval/140,self_healing,gemma-12b:cot,0,0,0,0,0.0,10.0,0.0,1.0,5.0,87.89,1.86,0.593,637,816,1453,0.125,0.037,8,26,0,0.0,0.15,0.0,0.086
HumanEval/140,self_healing,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,61.83,2.0,0.014,1277,8686,9963,1.0,0.0909,0,10,13,1.3,0.0,0.0,0.1004
HumanEval/140,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.0,63.38,1.86,0.048,1255,8192,9447,1.0,0.0909,0,10,12,1.2,0.0,0.0,0.1059
HumanEval/141,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,10.0,0.0,1.0,0.0,100.0,0.05,0.041,0,0,0,1.0,0.0714,0,13,0,0.0,0.0,0.0,0.0
HumanEval/141,baseline,gemma-12b:zero_shot,7,2,0,9,0.778,92.0,0.0,1.0,4.22,42.61,1.77,0.024,2457,0,2457,1.0,0.0714,0,13,29,2.23,0.0,0.3166,0.407
HumanEval/141,competitive,gemma-12b:cot,0,0,0,0,0.0,10.0,0.0,1.0,0.0,100.0,0.05,0.041,0,0,0,1.0,0.0714,0,13,0,0.0,0.0,0.0,0.0
HumanEval/141,coa,gemma-12b:zero_shot,9,0,0,9,1.0,95.0,0.0,0.25,2.0,76.88,1.05,0.039,868,0,868,1.0,0.0714,0,13,9,0.69,0.0,1.1521,1.1521
HumanEval/141,baseline,gemma-12b:cot,8,2,0,10,0.8,91.0,0.0,1.0,4.3,40.42,2.0,0.011,340,0,340,1.0,0.0714,0,13,33,2.54,0.0,2.3529,2.9412
HumanEval/141,soa,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,4.5,48.04,2.14,0.017,280,0,280,1.0,0.0714,0,13,35,2.69,0.0,0.0,3.5714
HumanEval/141,atomic_swarm,gemma-12b:zero_shot,3,0,0,3,1.0,86.0,0.0,0.25,2.0,69.94,0.36,0.026,881,0,881,1.0,0.0714,0,13,3,0.23,0.0,1.1351,1.1351
HumanEval/141,swarm,gemma-12b:zero_shot,2,0,0,2,1.0,73.0,0.0,0.0,2.0,74.61,0.27,0.024,4174,0,4174,1.0,0.0714,0,13,2,0.15,0.0,0.2396,0.2396
HumanEval/141,coa,gemma-12b:cot,9,0,0,9,1.0,95.0,0.0,0.25,2.0,76.88,1.05,0.039,899,0,899,1.0,0.0714,0,13,9,0.69,0.0,1.1123,1.1123
HumanEval/141,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,5.62,43.33,3.86,0.011,2820,0,2820,1.0,0.0714,0,13,55,5.15,0.0,0.0,0.3546
HumanEval/141,soa,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,4.9,45.99,2.32,0.016,617,0,617,1.0,0.0714,0,13,39,3.0,0.0,0.0,1.6207
HumanEval/141,baseline,gemma-12b:scot,6,2,0,8,0.75,71.0,0.0,1.0,4.6,63.7,2.86,0.464,7180,0,7180,0.1,0.0312,10,31,26,0.84,0.16,0.1045,0.0139
HumanEval/141,swarm,gemma-12b:cot,1,0,0,1,1.0,54.0,0.0,0.25,2.0,81.86,0.18,0.11,183,0,183,1.0,0.0714,0,13,1,0.08,0.0,5.4645,5.4645
HumanEval/141,hybrid,gemma-12b:cot,6,2,0,8,0.75,71.0,0.0,1.0,5.2,61.08,3.14,0.404,6821,0,6821,0.1,0.0385,10,25,32,1.28,0.2,0.11,0.0147
HumanEval/141,competitive,gemma-12b:scot,0,0,0,0,0.0,10.0,0.0,1.0,0.0,100.0,0.05,0.041,0,0,0,1.0,0.0714,0,13,0,0.0,0.0,0.0,0.0
HumanEval/141,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,3.73,50.48,1.95,0.017,3405,0,3405,1.0,0.0714,0,13,30,2.31,0.0,0.0,0.2937
HumanEval/141,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.013,6821,0,6821,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
HumanEval/141,competitive,gemma-12b:few_shot,0,0,0,0,0.0,10.0,0.0,1.0,0.0,100.0,0.05,0.041,0,0,0,1.0,0.0714,0,13,0,0.0,0.0,0.0,0.0
HumanEval/141,consensus,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,5.2,44.53,2.45,0.012,2386,0,2386,1.0,0.0714,0,13,42,3.23,0.0,0.0,0.4191
HumanEval/141,baseline,gemma-12b:few_shot,8,2,0,10,0.8,89.0,0.0,1.0,3.6,43.89,1.68,0.015,4615,0,4615,1.0,0.0714,0,13,26,2.0,0.0,0.1733,0.2167
HumanEval/141,swarm,gemma-12b:scot,1,0,0,1,1.0,61.0,0.0,0.0,2.0,81.86,0.18,0.174,4161,0,4161,1.0,0.0714,0,13,1,0.15,0.0,0.2403,0.2403
HumanEval/141,soa,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,4.6,47.51,2.18,0.016,1213,0,1213,1.0,1.0,0,13,36,2.77,0.0,0.0,0.8244
HumanEval/141,coa,gemma-12b:scot,9,0,0,9,1.0,95.0,0.0,0.25,2.0,76.88,1.05,0.027,2379,0,2379,1.0,0.0714,0,13,9,0.69,0.0,0.4203,0.4203
HumanEval/141,atomic_swarm,gemma-12b:scot,3,0,0,3,1.0,86.0,0.0,0.25,2.0,69.94,0.36,0.026,4439,0,4439,1.0,0.0714,0,13,3,0.23,0.0,0.2253,0.2253
HumanEval/141,actor_critic,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,3.72,44.33,3.18,0.013,4157,0,4157,1.0,0.0714,0,13,49,3.85,0.0,0.0,0.2406
HumanEval/141,adversarial,gemma-12b:zero_shot,6,2,0,8,0.75,67.0,0.0,1.0,4.5,63.6,2.91,0.436,558,0,558,1.0,1.0,12,33,25,0.76,0.18,1.3441,1.7921
HumanEval/141,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,86.0,0.0,0.25,2.0,69.94,0.36,0.026,1815,0,1815,1.0,0.0714,0,13,3,0.23,0.0,0.551,0.551
HumanEval/141,soa,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,4.56,50.01,1.95,0.016,280,0,280,1.0,0.0714,0,13,32,2.46,0.0,0.0,3.5714
HumanEval/141,coa,gemma-12b:few_shot,9,0,0,9,1.0,95.0,0.0,0.25,2.0,76.88,1.05,0.039,282,0,282,1.0,0.0714,0,13,9,0.69,0.0,3.5461,3.5461
HumanEval/141,adversarial,gemma-12b:cot,8,2,0,10,0.8,75.0,0.0,1.0,4.0,62.03,3.0,0.418,0,0,0,0.0714,0.0294,14,33,25,0.76,0.21,0.0,0.0
HumanEval/141,hybrid,gemma-12b:scot,13,2,0,15,0.867,72.0,0.0,1.0,2.41,66.1,2.77,0.475,0,0,0,0.0833,0.0286,12,34,15,0.44,0.18,0.0,0.0
HumanEval/141,atomic_swarm,gemma-12b:few_shot,3,0,0,3,1.0,86.0,0.0,0.25,2.0,69.94,0.36,0.026,605,0,605,1.0,0.0714,0,13,3,0.23,0.0,1.6529,1.6529
HumanEval/141,swarm,gemma-12b:few_shot,1,0,0,1,1.0,62.0,0.0,0.0,2.0,81.86,0.18,0.105,180,0,180,1.0,0.0714,0,13,1,0.08,0.0,5.5556,5.5556
HumanEval/141,adversarial,gemma-12b:few_shot,7,1,0,8,0.875,71.0,0.0,1.0,4.56,63.85,3.0,0.439,891,0,891,1.0,0.5,14,39,24,0.62,0.18,0.982,1.1223
HumanEval/141,consensus,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,4.0,48.8,2.09,0.015,3643,0,3643,1.0,0.0714,0,13,33,2.54,0.0,0.0,0.2745
HumanEval/141,adversarial,gemma-12b:scot,12,2,0,14,0.857,72.0,0.0,1.0,3.0,63.0,2.95,0.452,2301,0,2301,0.0455,0.0233,22,42,14,0.33,0.26,0.3724,0.0198
HumanEval/141,actor_critic,gemma-12b:few_shot,0,0,0,0,0.0,9.0,0.0,1.0,6.0,87.98,1.36,0.701,450,0,450,0.1,0.027,10,36,0,0.0,0.14,0.0,0.2222
HumanEval/141,consensus,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,4.09,48.26,2.14,0.009,2301,0,2301,1.0,0.0714,0,13,34,2.62,0.0,0.0,0.4346
HumanEval/141,hybrid,gemma-12b:few_shot,7,3,0,10,0.7,61.0,0.0,1.0,5.38,49.18,4.59,0.333,9580,0,9580,0.0714,0.2,14,4,48,12.0,0.25,0.0731,0.0075
HumanEval/141,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,4.0,50.82,1.91,0.011,0,0,0,1.0,0.0714,0,13,30,2.31,0.0,0.0,0.0
HumanEval/141,self_healing,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,4.0,50.82,1.91,0.011,4441,1023,5464,1.0,0.0714,0,13,30,2.31,0.0,0.0,0.183
HumanEval/141,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,0.0,0.0,1.0,4.0,50.82,1.91,0.012,0,0,0,1.0,0.0714,0,13,30,2.31,0.0,0.0,0.0
HumanEval/141,self_healing,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,4.1,50.24,1.95,0.011,2632,269,2901,1.0,0.0714,0,13,31,2.38,0.0,0.0,0.3447
HumanEval/141,actor_critic,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.07,44.11,2.91,0.021,1166,0,1166,1.0,0.0714,0,13,31,2.54,0.0,0.0,0.8576
