task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,model,real_branch_coverage,real_line_coverage
HumanEval/139,atomic_swarm,gemma-12b:few_shot,1,1,0,2,0.5,95.0,,1.0,1.67,68.04,0.8,0.093,653,0,653,gemma-12b,0.0,0.0
HumanEval/139,coa,gemma-12b:cot,5,3,0,8,0.625,100.0,,1.0,2.12,68.85,2.47,0.071,150,0,150,gemma-12b,0.0,0.0
HumanEval/139,atomic_swarm,gemma-12b:cot,1,1,0,2,0.5,95.0,,1.0,1.67,68.04,0.8,0.093,146,0,146,gemma-12b,0.0,0.0
HumanEval/139,consensus,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.6,74.4,1.6,0.085,1618,0,1618,gemma-12b,0.0,0.0
HumanEval/139,consensus,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.6,72.94,1.73,0.086,2955,0,2955,gemma-12b,0.0,0.0
HumanEval/139,adversarial,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.0,70.49,1.33,0.066,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,adversarial,gemma-12b:cot,0,0,1,1,0.0,,,1.0,1.71,68.49,1.6,0.077,1087,0,1087,gemma-12b,0.0,0.0
HumanEval/139,adversarial,gemma-12b:few_shot,5,0,0,5,1.0,83.0,,0.0,3.14,79.09,2.47,0.383,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,hybrid,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.2,71.78,1.27,0.073,514,0,514,gemma-12b,0.0,0.0
HumanEval/139,swarm,gemma-12b:scot,1,0,0,1,1.0,77.0,,0.0,2.0,81.86,0.27,0.11,1726,0,1726,gemma-12b,0.0,0.0
HumanEval/139,actor_critic,gemma-12b:cot,4,1,0,5,0.8,76.0,,1.0,3.0,74.06,2.87,0.299,646,0,646,gemma-12b,0.0,0.0
HumanEval/139,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.6,74.4,1.6,0.085,3272,0,3272,gemma-12b,0.0,0.0
HumanEval/139,consensus,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.6,72.94,1.73,0.088,5149,0,5149,gemma-12b,0.0,0.0
HumanEval/139,actor_critic,gemma-12b:few_shot,2,2,0,4,0.5,83.0,,1.0,3.0,73.25,3.0,0.322,4597,0,4597,gemma-12b,0.0,0.0
HumanEval/139,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.4,72.85,1.8,0.084,2067,459,2526,gemma-12b,0.0,0.0
HumanEval/139,self_healing,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.6,72.94,1.73,0.085,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,self_healing,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.4,72.85,1.8,0.084,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.6,72.94,1.73,0.085,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.12,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,baseline,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,59.05,2.29,0.069,338,0,338,gemma-12b,0.0,0.0
HumanEval/140,competitive,gemma-12b:cot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.12,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,soa,gemma-12b:zero_shot,11,4,0,15,0.733,100.0,,1.0,2.0,48.87,2.21,0.073,3568,0,3568,gemma-12b,0.0,0.0
HumanEval/140,atomic_swarm,gemma-12b:zero_shot,3,0,0,3,1.0,100.0,,0.25,2.0,69.94,0.57,0.087,165,0,165,gemma-12b,0.0,0.0
HumanEval/140,baseline,gemma-12b:cot,6,7,0,13,0.462,90.0,,1.0,2.33,63.34,4.07,0.3,549,0,549,gemma-12b,0.0,0.0
HumanEval/140,coa,gemma-12b:zero_shot,11,0,0,11,1.0,100.0,,0.25,2.0,72.61,1.93,0.07,2878,0,2878,gemma-12b,0.0,0.0
HumanEval/140,swarm,gemma-12b:zero_shot,1,0,0,1,1.0,100.0,,0.25,2.0,81.86,0.29,0.282,1803,0,1803,gemma-12b,0.0,0.0
HumanEval/140,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,54.41,2.86,0.043,1132,0,1132,gemma-12b,0.0,0.0
HumanEval/140,soa,gemma-12b:cot,12,4,0,16,0.75,100.0,,1.0,2.0,47.9,2.36,0.069,1623,0,1623,gemma-12b,0.0,0.0
HumanEval/140,coa,gemma-12b:cot,11,0,0,11,1.0,100.0,,0.25,2.0,72.61,1.93,0.077,169,0,169,gemma-12b,0.0,0.0
HumanEval/140,competitive,gemma-12b:scot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.12,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,baseline,gemma-12b:scot,5,5,0,10,0.5,78.0,,1.0,2.08,68.67,4.64,0.235,615,0,615,gemma-12b,0.0,0.0
HumanEval/140,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,85.11,3.5,0.039,4376,0,4376,gemma-12b,0.0,0.0
HumanEval/140,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,100.0,,0.25,2.0,69.94,0.57,0.087,1510,0,1510,gemma-12b,0.0,0.0
HumanEval/140,hybrid,gemma-12b:cot,6,13,0,19,0.316,87.0,,1.0,2.05,64.57,4.21,0.25,1345,0,1345,gemma-12b,0.0,0.0
HumanEval/140,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,63.38,1.86,0.076,2445,0,2445,gemma-12b,0.0,0.0
HumanEval/140,swarm,gemma-12b:cot,2,0,0,2,1.0,100.0,,0.25,2.0,74.61,0.43,0.053,4344,0,4344,gemma-12b,0.0,0.0
HumanEval/140,soa,gemma-12b:scot,10,5,0,15,0.667,100.0,,1.0,2.0,48.87,2.21,0.065,6980,0,6980,gemma-12b,0.0,0.0
HumanEval/140,competitive,gemma-12b:few_shot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.12,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,swarm,gemma-12b:scot,0,1,0,1,0.0,100.0,,1.0,2.0,100.0,0.71,0.092,415,0,415,gemma-12b,0.0,0.0
HumanEval/140,baseline,gemma-12b:few_shot,6,4,0,10,0.6,100.0,,1.0,2.0,54.83,1.5,0.092,2069,0,2069,gemma-12b,0.0,0.0
HumanEval/140,hybrid,gemma-12b:scot,11,1,0,12,0.917,89.0,,1.0,2.43,65.66,3.57,0.332,1190,0,1190,gemma-12b,0.0,0.0
HumanEval/140,atomic_swarm,gemma-12b:scot,3,0,0,3,1.0,100.0,,0.25,2.0,69.94,0.57,0.087,1225,0,1225,gemma-12b,0.0,0.0
HumanEval/140,actor_critic,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.0,59.05,2.29,0.045,466,0,466,gemma-12b,0.0,0.0
HumanEval/140,coa,gemma-12b:scot,11,0,0,11,1.0,100.0,,0.25,2.0,72.61,1.93,0.079,169,0,169,gemma-12b,0.0,0.0
HumanEval/140,soa,gemma-12b:few_shot,12,4,0,16,0.75,100.0,,1.0,2.0,47.9,2.36,0.069,779,0,779,gemma-12b,0.0,0.0
HumanEval/140,coa,gemma-12b:few_shot,11,0,0,11,1.0,100.0,,0.25,2.0,72.61,1.93,0.077,3135,0,3135,gemma-12b,0.0,0.0
HumanEval/140,consensus,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.0,59.05,2.29,0.069,1383,0,1383,gemma-12b,0.0,0.0
HumanEval/140,swarm,gemma-12b:few_shot,0,1,0,1,0.0,100.0,,1.0,2.0,81.86,0.29,0.179,4892,0,4892,gemma-12b,0.0,0.0
HumanEval/140,actor_critic,gemma-12b:few_shot,4,5,0,9,0.444,79.0,,1.0,1.9,83.9,2.21,0.453,5331,0,5331,gemma-12b,0.0,0.0
HumanEval/140,consensus,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.0,59.05,2.29,0.069,6823,0,6823,gemma-12b,0.0,0.0
HumanEval/140,adversarial,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,60.39,2.14,0.047,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,adversarial,gemma-12b:cot,12,2,0,14,0.857,91.0,,1.0,2.27,63.74,4.29,0.309,985,0,985,gemma-12b,0.0,0.0
HumanEval/140,hybrid,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.05,55.91,5.57,0.047,1749,0,1749,gemma-12b,0.0,0.0
HumanEval/140,actor_critic,gemma-12b:cot,0,15,0,15,0.0,82.0,,1.0,2.12,67.59,3.86,0.268,5899,0,5899,gemma-12b,0.0,0.0
HumanEval/140,consensus,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.0,59.05,2.29,0.069,1491,0,1491,gemma-12b,0.0,0.0
HumanEval/140,adversarial,gemma-12b:scot,10,0,0,10,1.0,88.0,,0.0,2.5,68.24,3.29,0.371,615,0,615,gemma-12b,0.0,0.0
HumanEval/140,atomic_swarm,gemma-12b:few_shot,3,0,0,3,1.0,100.0,,0.25,2.0,69.94,0.57,0.087,334,0,334,gemma-12b,0.0,0.0
HumanEval/140,adversarial,gemma-12b:few_shot,4,8,0,12,0.333,89.0,,1.0,2.21,67.86,3.57,0.338,1305,0,1305,gemma-12b,0.0,0.0
HumanEval/140,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,63.38,1.86,0.081,0,0,0,gemma-12b,0.0,0.0
HumanEval/140,self_healing,gemma-12b:cot,0,0,0,0,0.0,10.0,,1.0,5.0,87.89,1.86,0.593,637,816,1453,gemma-12b,0.0,0.0
HumanEval/140,self_healing,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.0,61.83,2.0,0.014,1277,8686,9963,gemma-12b,0.0,0.0
HumanEval/140,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.0,63.38,1.86,0.048,1255,8192,9447,gemma-12b,0.0,0.0
HumanEval/141,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,10.0,,1.0,0.0,100.0,0.05,0.041,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,baseline,gemma-12b:zero_shot,7,2,0,9,0.778,92.0,,1.0,4.22,42.61,1.77,0.024,2457,0,2457,gemma-12b,0.0,0.0
HumanEval/141,competitive,gemma-12b:cot,0,0,0,0,0.0,10.0,,1.0,0.0,100.0,0.05,0.041,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,coa,gemma-12b:zero_shot,9,0,0,9,1.0,95.0,,0.25,2.0,76.88,1.05,0.039,868,0,868,gemma-12b,0.0,0.0
HumanEval/141,baseline,gemma-12b:cot,8,2,0,10,0.8,91.0,,1.0,4.3,40.42,2.0,0.011,340,0,340,gemma-12b,0.0,0.0
HumanEval/141,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,4.5,48.04,2.14,0.017,280,0,280,gemma-12b,0.0,0.0
HumanEval/141,atomic_swarm,gemma-12b:zero_shot,3,0,0,3,1.0,86.0,,0.25,2.0,69.94,0.36,0.026,881,0,881,gemma-12b,0.0,0.0
HumanEval/141,swarm,gemma-12b:zero_shot,2,0,0,2,1.0,73.0,,0.0,2.0,74.61,0.27,0.024,4174,0,4174,gemma-12b,0.0,0.0
HumanEval/141,coa,gemma-12b:cot,9,0,0,9,1.0,95.0,,0.25,2.0,76.88,1.05,0.039,899,0,899,gemma-12b,0.0,0.0
HumanEval/141,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,5.62,43.33,3.86,0.011,2820,0,2820,gemma-12b,0.0,0.0
HumanEval/141,soa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,4.9,45.99,2.32,0.016,617,0,617,gemma-12b,0.0,0.0
HumanEval/141,baseline,gemma-12b:scot,6,2,0,8,0.75,71.0,,1.0,4.6,63.7,2.86,0.464,7180,0,7180,gemma-12b,0.0,0.0
HumanEval/141,swarm,gemma-12b:cot,1,0,0,1,1.0,54.0,,0.25,2.0,81.86,0.18,0.11,183,0,183,gemma-12b,0.0,0.0
HumanEval/141,hybrid,gemma-12b:cot,6,2,0,8,0.75,71.0,,1.0,5.2,61.08,3.14,0.404,6821,0,6821,gemma-12b,0.0,0.0
HumanEval/141,competitive,gemma-12b:scot,0,0,0,0,0.0,10.0,,1.0,0.0,100.0,0.05,0.041,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,consensus,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,3.73,50.48,1.95,0.017,3405,0,3405,gemma-12b,0.0,0.0
HumanEval/141,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.013,6821,0,6821,gemma-12b,0.0,0.0
HumanEval/141,competitive,gemma-12b:few_shot,0,0,0,0,0.0,10.0,,1.0,0.0,100.0,0.05,0.041,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,consensus,gemma-12b:cot,0,0,1,1,0.0,,,1.0,5.2,44.53,2.45,0.012,2386,0,2386,gemma-12b,0.0,0.0
HumanEval/141,baseline,gemma-12b:few_shot,8,2,0,10,0.8,89.0,,1.0,3.6,43.89,1.68,0.015,4615,0,4615,gemma-12b,0.0,0.0
HumanEval/141,swarm,gemma-12b:scot,1,0,0,1,1.0,61.0,,0.0,2.0,81.86,0.18,0.174,4161,0,4161,gemma-12b,0.0,0.0
HumanEval/141,soa,gemma-12b:scot,0,0,1,1,0.0,,,1.0,4.6,47.51,2.18,0.016,1213,0,1213,gemma-12b,0.0,0.0
HumanEval/141,coa,gemma-12b:scot,9,0,0,9,1.0,95.0,,0.25,2.0,76.88,1.05,0.027,2379,0,2379,gemma-12b,0.0,0.0
HumanEval/141,atomic_swarm,gemma-12b:scot,3,0,0,3,1.0,86.0,,0.25,2.0,69.94,0.36,0.026,4439,0,4439,gemma-12b,0.0,0.0
HumanEval/141,actor_critic,gemma-12b:cot,0,0,1,1,0.0,,,1.0,3.72,44.33,3.18,0.013,4157,0,4157,gemma-12b,0.0,0.0
HumanEval/141,adversarial,gemma-12b:zero_shot,6,2,0,8,0.75,67.0,,1.0,4.5,63.6,2.91,0.436,558,0,558,gemma-12b,0.0,0.0
HumanEval/141,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,86.0,,0.25,2.0,69.94,0.36,0.026,1815,0,1815,gemma-12b,0.0,0.0
HumanEval/141,soa,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,4.56,50.01,1.95,0.016,280,0,280,gemma-12b,0.0,0.0
HumanEval/141,coa,gemma-12b:few_shot,9,0,0,9,1.0,95.0,,0.25,2.0,76.88,1.05,0.039,282,0,282,gemma-12b,0.0,0.0
HumanEval/141,adversarial,gemma-12b:cot,8,2,0,10,0.8,75.0,,1.0,4.0,62.03,3.0,0.418,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,hybrid,gemma-12b:scot,13,2,0,15,0.867,72.0,,1.0,2.41,66.1,2.77,0.475,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,atomic_swarm,gemma-12b:few_shot,3,0,0,3,1.0,86.0,,0.25,2.0,69.94,0.36,0.026,605,0,605,gemma-12b,0.0,0.0
HumanEval/141,swarm,gemma-12b:few_shot,1,0,0,1,1.0,62.0,,0.0,2.0,81.86,0.18,0.105,180,0,180,gemma-12b,0.0,0.0
HumanEval/141,adversarial,gemma-12b:few_shot,7,1,0,8,0.875,71.0,,1.0,4.56,63.85,3.0,0.439,891,0,891,gemma-12b,0.0,0.0
HumanEval/141,consensus,gemma-12b:scot,0,0,1,1,0.0,,,1.0,4.0,48.8,2.09,0.015,3643,0,3643,gemma-12b,0.0,0.0
HumanEval/141,adversarial,gemma-12b:scot,12,2,0,14,0.857,72.0,,1.0,3.0,63.0,2.95,0.452,2301,0,2301,gemma-12b,0.0,0.0
HumanEval/141,actor_critic,gemma-12b:few_shot,0,0,0,0,0.0,9.0,,1.0,6.0,87.98,1.36,0.701,450,0,450,gemma-12b,0.0,0.0
HumanEval/141,consensus,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,4.09,48.26,2.14,0.009,2301,0,2301,gemma-12b,0.0,0.0
HumanEval/141,hybrid,gemma-12b:few_shot,7,3,0,10,0.7,61.0,,1.0,5.38,49.18,4.59,0.333,9580,0,9580,gemma-12b,0.0,0.0
HumanEval/141,self_healing,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,4.0,50.82,1.91,0.011,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,self_healing,gemma-12b:scot,0,0,1,1,0.0,,,1.0,4.0,50.82,1.91,0.011,4441,1023,5464,gemma-12b,0.0,0.0
HumanEval/141,self_healing,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,4.0,50.82,1.91,0.012,0,0,0,gemma-12b,0.0,0.0
HumanEval/141,self_healing,gemma-12b:cot,0,0,1,1,0.0,,,1.0,4.1,50.24,1.95,0.011,2632,269,2901,gemma-12b,0.0,0.0
HumanEval/141,actor_critic,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.07,44.11,2.91,0.021,1166,0,1166,gemma-12b,0.0,0.0
HumanEval/142,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,12.0,,1.0,0.0,100.0,0.05,0.072,0,0,0,gemma-12b,0.0,0.0
HumanEval/142,baseline,gemma-12b:zero_shot,0,9,0,9,0.0,30.0,,1.0,2.0,59.84,3.37,0.056,432,0,432,gemma-12b,0.0,0.0
HumanEval/142,coa,gemma-12b:zero_shot,2,4,0,6,0.333,93.0,,1.0,2.0,65.9,1.53,0.029,1113,0,1113,gemma-12b,0.0,0.0
HumanEval/142,baseline,gemma-12b:cot,2,7,0,9,0.222,100.0,,1.0,2.0,40.8,2.42,0.061,2263,0,2263,gemma-12b,0.0,0.0
HumanEval/142,competitive,gemma-12b:cot,0,0,0,0,0.0,12.0,,1.0,0.0,100.0,0.05,0.072,0,0,0,gemma-12b,0.0,0.0
HumanEval/142,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,53.99,1.79,0.02,224,0,224,gemma-12b,0.0,0.0
HumanEval/142,swarm,gemma-12b:zero_shot,1,0,0,1,1.0,50.0,,0.2,2.0,81.86,0.21,0.06,366,0,366,gemma-12b,0.0,0.0
HumanEval/142,atomic_swarm,gemma-12b:zero_shot,2,1,0,3,0.667,100.0,,1.0,1.67,68.87,0.58,0.071,1624,0,1624,gemma-12b,0.0,0.0
HumanEval/142,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.96,42.41,2.95,0.032,3073,0,3073,gemma-12b,0.0,0.0
HumanEval/142,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.84,50.98,2.32,0.02,1402,0,1402,gemma-12b,0.0,0.0
HumanEval/142,consensus,gemma-12b:zero_shot,4,12,0,16,0.25,82.0,,1.0,2.39,57.8,3.26,0.45,2415,0,2415,gemma-12b,0.0,0.0
HumanEval/142,coa,gemma-12b:cot,2,5,0,7,0.286,95.0,,1.0,2.0,65.57,1.53,0.027,3460,0,3460,gemma-12b,0.0,0.0
HumanEval/142,soa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.0,54.43,1.89,0.021,1221,0,1221,gemma-12b,0.0,0.0
HumanEval/142,swarm,gemma-12b:cot,1,0,0,1,1.0,50.0,,0.2,2.0,79.74,0.26,0.057,2909,0,2909,gemma-12b,0.0,0.0
HumanEval/142,competitive,gemma-12b:scot,0,0,0,0,0.0,12.0,,1.0,0.0,100.0,0.05,0.072,0,0,0,gemma-12b,0.0,0.0
HumanEval/142,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,100.0,,1.0,1.67,68.87,0.58,0.071,525,0,525,gemma-12b,0.0,0.0
HumanEval/142,baseline,gemma-12b:scot,2,7,0,9,0.222,73.0,,1.0,2.36,64.27,3.26,0.333,303,0,303,gemma-12b,0.0,0.0
HumanEval/142,hybrid,gemma-12b:cot,6,11,0,17,0.353,80.0,,1.0,2.05,60.51,3.0,0.469,6759,0,6759,gemma-12b,0.0,0.0
HumanEval/142,actor_critic,gemma-12b:cot,8,7,0,15,0.533,78.0,,1.0,2.18,65.06,2.68,0.503,0,0,0,gemma-12b,0.0,0.0
HumanEval/142,consensus,gemma-12b:cot,3,10,0,13,0.231,76.0,,1.0,2.27,66.75,2.47,0.561,3216,0,3216,gemma-12b,0.0,0.0
HumanEval/142,baseline,gemma-12b:few_shot,4,5,0,9,0.444,100.0,,1.0,2.0,51.93,0.95,0.073,3536,0,3536,gemma-12b,0.0,0.0
HumanEval/142,competitive,gemma-12b:few_shot,0,0,0,0,0.0,12.0,,1.0,0.0,100.0,0.05,0.072,0,0,0,gemma-12b,0.0,0.0
HumanEval/142,soa,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.0,56.08,1.68,0.024,511,0,511,gemma-12b,0.0,0.0
HumanEval/142,swarm,gemma-12b:scot,2,0,0,2,1.0,58.0,,0.2,2.0,69.77,0.53,0.12,212,0,212,gemma-12b,0.0,0.0
HumanEval/142,atomic_swarm,gemma-12b:scot,2,1,0,3,0.667,100.0,,1.0,1.67,68.87,0.58,0.071,770,0,770,gemma-12b,0.0,0.0
HumanEval/142,coa,gemma-12b:scot,2,5,0,7,0.286,95.0,,1.0,2.0,65.57,1.53,0.027,226,0,226,gemma-12b,0.0,0.0
HumanEval/142,hybrid,gemma-12b:scot,4,4,0,8,0.5,78.0,,1.0,2.8,62.91,2.63,0.497,2514,0,2514,gemma-12b,0.0,0.0
HumanEval/142,adversarial,gemma-12b:zero_shot,5,5,0,10,0.5,79.0,,1.0,2.67,61.77,2.63,0.484,7353,0,7353,gemma-12b,0.0,0.0
HumanEval/142,consensus,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.33,55.54,2.0,0.163,3902,0,3902,gemma-12b,0.0,0.0
HumanEval/142,atomic_swarm,gemma-12b:few_shot,2,1,0,3,0.667,100.0,,1.0,1.67,68.87,0.58,0.071,222,0,222,gemma-12b,0.0,0.0
HumanEval/142,actor_critic,gemma-12b:scot,4,5,0,9,0.444,69.0,,1.0,3.45,58.95,2.95,0.437,1031,0,1031,gemma-12b,0.0,0.0
HumanEval/142,soa,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.0,55.93,1.68,0.024,4352,0,4352,gemma-12b,0.0,0.0
HumanEval/142,coa,gemma-12b:few_shot,2,5,0,7,0.286,95.0,,1.0,2.0,66.14,1.53,0.026,2105,0,2105,gemma-12b,0.0,0.0
HumanEval/142,swarm,gemma-12b:few_shot,0,1,0,1,0.0,100.0,,1.0,2.0,75.97,0.21,0.077,455,0,455,gemma-12b,0.0,0.0
HumanEval/142,adversarial,gemma-12b:cot,5,7,0,12,0.417,75.0,,1.0,2.23,70.51,2.32,0.616,206,0,206,gemma-12b,0.0,0.0
HumanEval/142,consensus,gemma-12b:few_shot,0,10,0,10,0.0,38.0,,1.0,2.3,67.96,2.63,0.121,2169,0,2169,gemma-12b,0.0,0.0
