task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score
HumanEval/141,soa,gemma-27b:scot,0,10,0,10,0.0,50.77,0.0,1.0,4.0,66.26,2.64,0.418,283,0,283,33,1,3,0.0,0.692
HumanEval/141,baseline,gemma-27b:few_shot,0,8,0,8,0.0,50.0,0.0,1.0,2.89,78.73,1.77,0.524,6663,0,6663,17,0,3,0.0,0.65
HumanEval/141,coa,gemma-27b:scot,0,21,0,21,0.0,69.62,0.0,1.0,2.45,63.35,3.41,0.377,6202,0,6202,21,0,3,0.19,0.603
HumanEval/141,atomic_swarm,gemma-27b:scot,0,3,0,3,0.0,28.57,0.0,1.0,5.0,80.97,1.59,0.594,10667,0,10667,16,0,3,0.0,0.65
HumanEval/141,hybrid,gemma-27b:cot,0,10,0,10,0.0,47.83,0.0,1.0,4.36,63.89,2.82,0.403,8198,0,8198,37,1,3,0.0,0.692
HumanEval/141,adversarial,gemma-27b:zero_shot,8,0,0,8,1.0,78.02,57.69,0.0,4.2,67.24,3.68,0.379,10667,0,10667,23,0,3,0.0,0.65
HumanEval/141,actor_critic,gemma-27b:zero_shot,8,2,0,10,0.8,79.78,50.0,1.0,4.0,65.35,3.86,0.348,10033,0,10033,29,1,3,0.0,0.692
HumanEval/141,competitive,gemma-27b:few_shot,0,9,0,9,0.0,49.18,0.0,1.0,4.0,68.54,2.45,0.437,0,0,0,30,1,3,0.0,0.692
HumanEval/141,hybrid,gemma-27b:zero_shot,8,0,0,8,1.0,82.76,57.69,0.0,6.73,55.54,4.82,0.289,15160,0,15160,0,0,0,1.0,0.0
HumanEval/141,adversarial,gemma-27b:cot,0,8,0,8,0.0,43.55,0.0,1.0,4.56,67.65,2.5,0.449,206,506,712,32,0,3,0.0,0.65
HumanEval/141,soa,gemma-27b:few_shot,0,10,0,10,0.0,50.77,0.0,1.0,4.0,66.26,2.64,0.418,283,0,283,33,1,3,0.0,0.692
HumanEval/141,atomic_swarm,gemma-27b:few_shot,0,3,0,3,0.0,27.91,0.0,1.0,5.25,80.21,1.64,0.586,281,0,281,17,0,3,0.0,0.65
HumanEval/141,consensus,gemma-27b:cot,8,0,0,8,1.0,80.95,57.69,0.0,5.55,60.07,4.32,0.316,3446,281,3727,0,0,0,1.0,0.0
HumanEval/141,hybrid,gemma-27b:scot,6,0,0,6,1.0,77.53,57.69,0.0,5.0,67.7,3.59,0.389,935,0,935,22,0,3,0.0,0.65
HumanEval/141,self_healing,gemma-27b:zero_shot,0,0,0,0,0,8.0,0.0,1.0,4.5,76.05,2.0,0.615,1831,271,2102,0,0,0,1.0,0.0
HumanEval/141,consensus,gemma-27b:scot,10,0,0,10,1.0,79.8,57.69,0.0,4.15,62.88,4.05,0.339,4598,271,4869,0,0,0,1.0,0.0
HumanEval/141,swarm,gemma-27b:few_shot,0,1,0,1,0.0,25.0,0.0,1.0,1.5,63.38,0.77,0.802,179,0,179,1,0,3,0.0,0.425
HumanEval/141,adversarial,gemma-27b:scot,12,2,0,14,0.857,76.0,50.0,1.0,2.25,72.65,3.23,0.438,1169,16,1185,13,1,3,0.071,0.674
HumanEval/141,coa,gemma-27b:few_shot,0,21,0,21,0.0,69.62,0.0,1.0,2.45,63.35,3.41,0.379,631,0,631,24,0,3,0.095,0.626
HumanEval/141,swarm,gemma-27b:scot,10,0,0,10,1.0,75.34,58.33,0.0,2.42,74.83,2.95,0.459,4441,1023,5464,10,0,3,0.0,0.65
HumanEval/141,actor_critic,gemma-27b:few_shot,9,0,0,9,1.0,79.31,58.33,0.0,3.64,68.45,3.59,0.372,2079,205,2284,22,1,3,0.0,0.692
HumanEval/141,hybrid,gemma-27b:few_shot,11,0,0,11,1.0,82.86,54.55,0.0,4.07,59.77,4.64,0.323,6597,1023,7620,38,2,3,0.0,0.733
HumanEval/141,self_healing,gemma-27b:cot,0,0,0,0,0,7.69,0.0,1.0,4.5,75.86,2.0,0.637,16015,1292,17307,0,0,0,1.0,0.0
HumanEval/141,consensus,gemma-27b:zero_shot,10,0,0,10,1.0,80.58,57.69,0.0,4.46,61.1,4.23,0.325,2610,0,2610,0,0,0,1.0,0.0
HumanEval/141,self_healing,gemma-27b:scot,0,0,0,0,0,8.0,0.0,1.0,4.5,76.05,2.0,0.615,515,531,1046,0,0,0,1.0,0.0
HumanEval/141,consensus,gemma-27b:few_shot,11,0,0,11,1.0,82.46,57.69,0.0,5.0,56.52,4.73,0.293,3346,528,3874,0,0,0,1.0,0.0
HumanEval/141,adversarial,gemma-27b:few_shot,7,0,0,7,1.0,79.55,58.33,0.0,4.56,67.59,3.68,0.373,3346,528,3874,24,0,3,0.0,0.65
HumanEval/141,actor_critic,gemma-27b:scot,16,0,0,16,1.0,78.82,50.0,0.0,2.56,67.97,3.68,0.38,1576,347,1923,20,1,3,0.0,0.692
HumanEval/141,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,,1.0,1.5,100.0,3.05,0.486,5630,0,5630,2,1,4,0.0,0.542
HumanEval/141,self_healing,gemma-27b:few_shot,0,0,0,0,0,7.14,0.0,1.0,5.0,77.2,2.09,0.61,0,0,0,0,0,0,1.0,0.0
HumanEval/142,competitive,gemma-27b:zero_shot,0,12,0,12,0.0,69.57,0.0,1.0,2.08,71.15,2.05,0.477,0,0,0,12,2,4,0.0,0.783
HumanEval/142,baseline,gemma-27b:zero_shot,5,6,0,11,0.455,74.55,50.0,1.0,2.15,71.3,2.74,0.448,878,0,878,11,2,3,0.0,0.733
HumanEval/142,soa,gemma-27b:zero_shot,0,14,0,14,0.0,71.43,0.0,1.0,2.13,67.56,2.21,0.449,2393,0,2393,14,2,4,0.0,0.783
HumanEval/142,coa,gemma-27b:zero_shot,0,9,0,9,0.0,63.64,0.0,1.0,2.4,73.67,2.11,0.477,5301,0,5301,13,3,3,0.111,0.747
HumanEval/142,competitive,gemma-27b:cot,0,12,0,12,0.0,69.57,0.0,1.0,2.08,71.15,2.05,0.477,0,0,0,12,2,4,0.0,0.783
HumanEval/142,swarm,gemma-27b:zero_shot,0,2,0,2,0.0,36.36,0.0,1.0,1.67,82.03,0.79,0.783,437,0,437,2,1,3,0.0,0.492
HumanEval/142,atomic_swarm,gemma-27b:zero_shot,2,0,0,2,1.0,58.54,41.67,0.0,2.4,80.38,2.0,0.612,1445,0,1445,2,1,3,0.333,0.408
HumanEval/142,baseline,gemma-27b:cot,6,8,0,14,0.429,77.78,50.0,1.0,2.0,68.97,3.16,0.404,1951,0,1951,14,2,4,0.0,0.783
HumanEval/142,competitive,gemma-27b:scot,0,12,0,12,0.0,69.57,0.0,1.0,2.08,71.15,2.05,0.477,0,0,0,12,2,4,0.0,0.783
HumanEval/142,soa,gemma-27b:cot,0,14,0,14,0.0,71.43,0.0,1.0,1.73,74.12,2.21,0.474,224,0,224,14,2,4,0.0,0.783
HumanEval/142,coa,gemma-27b:cot,0,10,0,10,0.0,65.22,0.0,1.0,2.36,72.51,2.21,0.465,1189,0,1189,14,3,3,0.1,0.75
HumanEval/142,atomic_swarm,gemma-27b:cot,2,0,0,2,1.0,58.54,41.67,0.2,2.4,80.38,2.0,0.612,490,0,490,2,1,3,0.333,0.408
HumanEval/142,hybrid,gemma-27b:zero_shot,6,10,0,16,0.375,80.0,50.0,1.0,2.26,62.31,3.53,0.338,2471,0,2471,0,0,0,1.0,0.0
HumanEval/142,baseline,gemma-27b:scot,4,7,0,11,0.364,74.55,50.0,1.0,2.15,71.35,2.74,0.441,1401,0,1401,10,2,3,0.091,0.711
HumanEval/142,actor_critic,gemma-27b:zero_shot,6,8,0,14,0.429,79.1,57.14,1.0,2.19,70.51,3.32,0.4,1274,0,1274,13,2,4,0.071,0.766
HumanEval/142,competitive,gemma-27b:few_shot,0,12,0,12,0.0,69.57,0.0,1.0,2.08,71.15,2.05,0.477,0,0,0,12,2,4,0.0,0.783
HumanEval/142,hybrid,gemma-27b:cot,0,23,0,23,0.0,85.26,66.67,1.0,2.17,52.15,4.0,0.326,0,0,0,21,2,4,0.087,0.762
HumanEval/142,consensus,gemma-27b:zero_shot,7,7,0,14,0.5,78.46,50.0,1.0,1.88,71.87,3.26,0.406,3340,0,3340,14,2,4,0.0,0.783
HumanEval/142,coa,gemma-27b:scot,0,11,0,11,0.0,66.67,0.0,1.0,2.33,70.84,2.32,0.452,232,0,232,14,3,3,0.091,0.752
HumanEval/142,soa,gemma-27b:scot,0,14,0,14,0.0,71.43,0.0,1.0,2.13,67.56,2.21,0.449,224,0,224,14,2,4,0.0,0.783
HumanEval/142,swarm,gemma-27b:cot,0,11,0,11,0.0,65.0,0.0,1.0,1.92,74.05,1.74,0.494,1217,0,1217,11,2,3,0.0,0.733
HumanEval/142,baseline,gemma-27b:few_shot,0,8,0,8,0.0,57.58,0.0,1.0,1.89,85.36,1.37,0.61,860,0,860,8,2,3,0.0,0.683
HumanEval/142,atomic_swarm,gemma-27b:scot,2,0,0,2,1.0,58.54,41.67,0.0,2.4,80.38,2.0,0.612,2584,0,2584,2,1,3,0.333,0.408
HumanEval/142,actor_critic,gemma-27b:cot,0,11,0,11,0.0,68.89,0.0,1.0,1.75,76.86,2.0,0.504,1771,0,1771,11,2,4,0.0,0.783
HumanEval/142,consensus,gemma-27b:cot,7,7,0,14,0.5,78.46,50.0,1.0,1.88,71.87,3.26,0.403,3659,0,3659,14,2,4,0.0,0.783
HumanEval/142,coa,gemma-27b:few_shot,0,9,0,9,0.0,62.22,0.0,1.0,2.5,72.59,2.16,0.463,1725,0,1725,14,3,3,0.111,0.747
HumanEval/142,adversarial,gemma-27b:zero_shot,4,8,0,12,0.333,75.44,50.0,1.0,2.14,70.39,2.84,0.422,720,0,720,12,2,3,0.0,0.733
HumanEval/142,swarm,gemma-27b:few_shot,0,1,0,1,0.0,30.0,0.0,1.0,1.5,80.72,0.68,0.805,1136,2,1138,1,0,3,0.0,0.425
HumanEval/142,soa,gemma-27b:few_shot,0,14,0,14,0.0,71.43,0.0,1.0,2.13,67.56,2.21,0.447,1915,0,1915,14,2,4,0.0,0.783
