task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,norm_config
HumanEval/151,actor_critic,gemma-12b:cot,13,1,0,14,0.929,82.0,,1.0,2.2,70.43,2.93,0.42,691.0,0.0,691.0,
HumanEval/152,actor_critic,gemma-12b:cot,12,0,0,12,1.0,98.0,,0.0,2.0,71.89,3.69,0.511,3019.0,9008.0,12027.0,
HumanEval/153,actor_critic,gemma-12b:cot,16,3,0,19,0.842,81.0,,1.0,2.2,65.48,2.67,0.403,3025.0,0.0,3025.0,
HumanEval/154,actor_critic,gemma-12b:cot,20,4,0,24,0.833,80.0,,1.0,2.12,55.67,3.94,0.291,3163.0,0.0,3163.0,
HumanEval/155,actor_critic,gemma-12b:cot,11,3,0,14,0.786,87.0,,1.0,1.93,64.48,4.27,0.257,3321.0,2798.0,6119.0,
HumanEval/156,actor_critic,gemma-12b:cot,2,0,0,2,1.0,88.0,,0.0,16.25,55.02,3.68,0.212,1440.0,0.0,1440.0,
HumanEval/157,actor_critic,gemma-12b:cot,3,6,0,9,0.333,78.0,,1.0,3.8,64.69,4.64,0.293,6079.0,0.0,6079.0,
HumanEval/158,actor_critic,gemma-12b:cot,13,3,0,16,0.812,84.0,,1.0,2.33,62.72,3.8,0.298,1049.0,0.0,1049.0,
HumanEval/159,actor_critic,gemma-12b:cot,13,1,0,14,0.929,88.0,,1.0,2.0,75.37,2.0,0.667,2602.0,0.0,2602.0,
HumanEval/160,actor_critic,gemma-12b:cot,17,4,0,21,0.81,91.0,,1.0,2.0,66.15,3.12,0.414,1091.0,0.0,1091.0,
HumanEval/161,actor_critic,gemma-12b:cot,8,2,0,10,0.8,78.0,,1.0,3.25,63.53,3.0,0.349,956.0,0.0,956.0,
HumanEval/162,actor_critic,gemma-12b:cot,11,1,0,12,0.917,89.0,,1.0,1.92,64.37,5.09,0.207,5722.0,0.0,5722.0,
HumanEval/163,actor_critic,gemma-12b:cot,13,2,0,15,0.867,93.0,,1.0,2.31,63.4,5.18,0.295,2440.0,0.0,2440.0,
HumanEval/139,adversarial,gemma-12b:cot,0,0,1,1,0.0,,,1.0,1.71,68.49,1.6,0.077,5325.0,0.0,5325.0,
HumanEval/140,adversarial,gemma-12b:cot,12,2,0,14,0.857,90.0,,1.0,2.33,64.17,4.14,0.312,516.0,0.0,516.0,
HumanEval/141,adversarial,gemma-12b:cot,7,2,0,9,0.778,74.0,,1.0,4.09,63.66,2.86,0.435,2010.0,0.0,2010.0,
HumanEval/142,adversarial,gemma-12b:cot,5,7,0,12,0.417,75.0,,1.0,2.23,70.16,2.32,0.617,2990.0,0.0,2990.0,
HumanEval/143,adversarial,gemma-12b:cot,5,6,0,11,0.455,93.0,,1.0,2.23,76.23,2.5,0.451,0.0,0.0,0.0,
HumanEval/144,adversarial,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,197.0,
HumanEval/145,adversarial,gemma-12b:cot,9,2,0,11,0.818,76.0,,1.0,2.0,71.87,2.0,0.359,195.0,0.0,195.0,
HumanEval/146,adversarial,gemma-12b:cot,8,7,0,15,0.533,84.0,,1.0,2.19,65.08,3.69,0.319,0.0,0.0,0.0,
HumanEval/147,adversarial,gemma-12b:cot,4,7,0,11,0.364,88.0,,1.0,2.38,72.26,2.71,0.428,0.0,0.0,0.0,
HumanEval/148,adversarial,gemma-12b:cot,10,1,0,11,0.909,85.0,,1.0,2.17,76.36,2.29,0.623,0.0,0.0,0.0,
HumanEval/149,adversarial,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.0,60.39,1.43,0.043,0.0,0.0,0.0,
HumanEval/150,adversarial,gemma-12b:cot,3,1,0,4,0.75,75.0,,1.0,7.5,53.24,6.4,0.262,0.0,0.0,0.0,
HumanEval/151,adversarial,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.0,50.09,2.8,0.008,2069.0,0.0,2069.0,
HumanEval/152,adversarial,gemma-12b:cot,10,0,0,10,1.0,97.0,,0.0,2.09,76.8,3.08,0.582,2707.0,0.0,2707.0,
HumanEval/153,adversarial,gemma-12b:cot,11,1,0,12,0.917,77.0,,1.0,2.31,72.89,2.11,0.488,1731.0,0.0,1731.0,
HumanEval/154,adversarial,gemma-12b:cot,2,2,0,4,0.5,73.0,,1.0,9.5,55.41,3.88,0.301,0.0,0.0,0.0,
HumanEval/155,adversarial,gemma-12b:cot,11,1,0,12,0.917,86.0,,1.0,2.14,64.92,3.82,0.275,314.0,0.0,314.0,
HumanEval/156,adversarial,gemma-12b:cot,1,2,0,3,0.333,71.0,,1.0,5.8,67.35,2.68,0.251,0.0,0.0,0.0,
HumanEval/157,adversarial,gemma-12b:cot,8,0,0,8,1.0,98.0,,0.2,4.3,60.32,5.18,0.273,1866.0,0.0,1866.0,
HumanEval/158,adversarial,gemma-12b:cot,12,1,0,13,0.923,84.0,,1.0,2.33,65.37,3.4,0.325,847.0,0.0,847.0,
HumanEval/159,adversarial,gemma-12b:cot,11,1,0,12,0.917,87.0,,1.0,2.0,77.03,1.86,0.698,4774.0,0.0,4774.0,
HumanEval/160,adversarial,gemma-12b:cot,11,1,0,12,0.917,89.0,,1.0,1.92,71.66,2.88,0.489,0.0,0.0,0.0,
HumanEval/161,adversarial,gemma-12b:cot,14,4,0,18,0.778,86.0,,1.0,2.26,62.06,3.42,0.315,5085.0,0.0,5085.0,
HumanEval/162,adversarial,gemma-12b:cot,2,7,0,9,0.222,81.0,,1.0,2.0,75.57,2.82,0.344,288.0,0.0,288.0,
HumanEval/163,adversarial,gemma-12b:cot,8,1,0,9,0.889,97.0,,1.0,2.6,66.16,4.82,0.316,1150.0,0.0,1150.0,
HumanEval/139,atomic_swarm,gemma-12b:cot,1,2,0,3,0.333,92.0,,1.0,2.33,64.48,1.13,0.072,204.0,0.0,204.0,
HumanEval/140,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,95.0,,0.25,2.67,66.18,1.0,0.133,779.0,0.0,779.0,
HumanEval/141,atomic_swarm,gemma-12b:cot,17,1,0,18,0.944,100.0,,1.0,2.0,45.59,1.77,0.011,923.0,0.0,923.0,
HumanEval/142,atomic_swarm,gemma-12b:cot,1,2,0,3,0.333,89.0,,1.0,1.67,84.39,0.68,0.061,280.0,0.0,280.0,
HumanEval/143,atomic_swarm,gemma-12b:cot,5,6,0,11,0.455,50.0,,1.0,2.5,35.12,3.9,0.038,268.0,0.0,268.0,
HumanEval/144,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,65.0,,1.0,4.33,57.27,1.31,0.087,466.0,0.0,466.0,
HumanEval/145,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,100.0,,1.0,1.67,61.64,0.75,0.156,236.0,0.0,236.0,
HumanEval/146,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,88.0,,1.0,3.0,60.14,1.38,0.08,237.0,0.0,237.0,
HumanEval/147,atomic_swarm,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.5,66.21,1.41,0.048,466.0,0.0,466.0,
HumanEval/148,atomic_swarm,gemma-12b:cot,0,6,0,6,0.0,38.0,,1.0,3.67,69.16,1.81,0.028,1985.0,0.0,1985.0,
HumanEval/149,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,79.0,,1.0,1.67,65.32,0.76,0.037,554.0,0.0,554.0,
HumanEval/150,atomic_swarm,gemma-12b:cot,10,0,0,10,1.0,71.0,,0.5,2.18,45.99,4.0,0.082,204.0,0.0,204.0,
HumanEval/151,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,100.0,,1.0,2.0,67.83,0.67,0.112,1139.0,0.0,1139.0,
HumanEval/152,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,100.0,,1.0,1.67,60.03,1.85,0.04,344.0,0.0,344.0,
HumanEval/153,atomic_swarm,gemma-12b:cot,9,3,0,12,0.75,96.0,,1.0,2.0,48.32,1.33,0.047,387.0,0.0,387.0,
HumanEval/154,atomic_swarm,gemma-12b:cot,1,2,0,3,0.333,73.0,,1.0,3.33,61.59,0.76,0.053,416.0,0.0,416.0,
HumanEval/155,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,100.0,,1.0,1.67,68.04,1.09,0.131,3289.0,0.0,3289.0,
HumanEval/156,atomic_swarm,gemma-12b:cot,2,3,0,5,0.4,86.0,,1.0,3.8,53.44,1.63,0.074,4097.0,0.0,4097.0,
HumanEval/157,atomic_swarm,gemma-12b:cot,1,2,0,3,0.333,79.0,,1.0,3.0,61.77,1.18,0.124,2927.0,0.0,2927.0,
HumanEval/158,atomic_swarm,gemma-12b:cot,6,1,0,7,0.857,100.0,,1.0,2.0,74.04,1.67,0.087,231.0,0.0,231.0,
HumanEval/159,atomic_swarm,gemma-12b:cot,7,2,0,9,0.778,100.0,,1.0,2.0,51.08,1.1,0.063,2597.0,0.0,2597.0,
HumanEval/160,atomic_swarm,gemma-12b:cot,1,2,0,3,0.333,86.0,,1.0,2.33,62.94,0.77,0.112,326.0,0.0,326.0,
HumanEval/161,atomic_swarm,gemma-12b:cot,8,2,0,10,0.8,97.0,,1.0,2.0,52.71,1.32,0.088,223.0,0.0,223.0,
HumanEval/162,atomic_swarm,gemma-12b:cot,2,1,0,3,0.667,67.0,,1.0,1.8,85.47,3.27,0.339,2817.0,0.0,2817.0,
HumanEval/163,atomic_swarm,gemma-12b:cot,3,0,0,3,1.0,87.0,,0.75,4.33,58.61,2.64,0.152,793.0,0.0,793.0,
HumanEval/139,baseline,gemma-12b:cot,3,3,0,6,0.5,91.0,,1.0,2.67,50.24,1.53,0.052,5498.0,0.0,5498.0,
HumanEval/140,baseline,gemma-12b:cot,7,6,0,13,0.538,90.0,,1.0,2.33,63.34,4.07,0.299,1740.0,0.0,1740.0,
HumanEval/141,baseline,gemma-12b:cot,6,4,0,10,0.6,76.0,,1.0,5.3,36.19,2.45,0.01,5290.0,0.0,5290.0,
HumanEval/142,baseline,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,587.0,
HumanEval/143,baseline,gemma-12b:cot,9,4,0,13,0.692,94.0,,1.0,2.25,71.95,2.75,0.413,272.0,0.0,272.0,
HumanEval/144,baseline,gemma-12b:cot,14,2,0,16,0.875,93.0,,1.0,2.0,67.12,3.77,0.411,538.0,0.0,538.0,
HumanEval/145,baseline,gemma-12b:cot,8,4,0,12,0.667,77.0,,1.0,2.0,70.42,2.1,0.339,624.0,0.0,624.0,
HumanEval/146,baseline,gemma-12b:cot,14,2,0,16,0.875,85.0,,1.0,2.22,60.88,4.0,0.271,241.0,0.0,241.0,
HumanEval/147,baseline,gemma-12b:cot,5,7,0,12,0.417,89.0,,1.0,2.36,70.5,2.88,0.418,2027.0,0.0,2027.0,
HumanEval/148,baseline,gemma-12b:cot,3,2,0,5,0.6,79.0,,1.0,7.2,41.07,1.81,0.031,1163.0,0.0,1163.0,
HumanEval/149,baseline,gemma-12b:cot,10,3,0,13,0.769,82.0,,1.0,2.33,72.97,2.29,0.434,1761.0,0.0,1761.0,
HumanEval/150,baseline,gemma-12b:cot,5,0,0,5,1.0,70.0,,0.5,4.17,56.78,3.5,0.137,208.0,0.0,208.0,
HumanEval/151,baseline,gemma-12b:cot,13,0,0,13,1.0,83.0,,0.167,2.33,66.5,3.0,0.372,1019.0,0.0,1019.0,
HumanEval/152,baseline,gemma-12b:cot,10,1,0,11,0.909,94.0,,1.0,2.0,49.18,2.38,0.034,348.0,0.0,348.0,
HumanEval/153,baseline,gemma-12b:cot,0,14,0,14,0.0,64.0,,1.0,2.12,75.84,1.89,0.5,391.0,0.0,391.0,
HumanEval/154,baseline,gemma-12b:cot,1,2,0,3,0.333,65.0,,1.0,13.6,54.55,3.82,0.295,1751.0,0.0,1751.0,
HumanEval/155,baseline,gemma-12b:cot,10,2,0,12,0.833,100.0,,1.0,2.0,51.76,2.27,0.028,551.0,0.0,551.0,
HumanEval/156,baseline,gemma-12b:cot,3,3,0,6,0.5,65.0,,1.0,12.0,27.81,4.05,0.063,229.0,0.0,229.0,
HumanEval/157,baseline,gemma-12b:cot,4,4,0,8,0.5,88.0,,1.0,3.9,66.13,4.27,0.305,742.0,0.0,742.0,
HumanEval/158,baseline,gemma-12b:cot,14,1,0,15,0.933,85.0,,1.0,2.29,63.64,3.53,0.32,235.0,0.0,235.0,
HumanEval/159,baseline,gemma-12b:cot,13,1,0,14,0.929,100.0,,1.0,2.0,49.91,1.0,0.039,420.0,0.0,420.0,
HumanEval/160,baseline,gemma-12b:cot,10,3,0,13,0.769,90.0,,1.0,2.07,66.95,3.04,0.456,1043.0,0.0,1043.0,
HumanEval/161,baseline,gemma-12b:cot,6,3,0,9,0.667,81.0,,1.0,3.73,61.08,3.21,0.332,2129.0,0.0,2129.0,
HumanEval/162,baseline,gemma-12b:cot,2,8,0,10,0.2,83.0,,1.0,2.08,71.23,3.18,0.292,201.0,0.0,201.0,
HumanEval/163,baseline,gemma-12b:cot,11,3,0,14,0.786,96.0,,1.0,2.0,67.11,4.36,0.328,921.0,0.0,921.0,
HumanEval/139,coa,gemma-12b:cot,5,4,0,9,0.556,100.0,,1.0,2.11,66.41,2.4,0.066,208.0,0.0,208.0,
HumanEval/140,coa,gemma-12b:cot,5,2,0,7,0.714,84.0,,1.0,2.36,67.71,2.29,0.064,2669.0,0.0,2669.0,
HumanEval/141,coa,gemma-12b:cot,6,0,0,6,1.0,94.0,,0.25,3.22,64.39,1.59,0.058,11160.0,0.0,11160.0,
HumanEval/142,coa,gemma-12b:cot,6,5,0,11,0.545,95.0,,1.0,2.0,67.6,1.63,0.043,962.0,0.0,962.0,
HumanEval/143,coa,gemma-12b:cot,7,6,0,13,0.538,52.0,,1.0,2.27,50.07,3.35,0.03,982.0,0.0,982.0,
HumanEval/144,coa,gemma-12b:cot,6,0,0,6,1.0,89.0,,0.25,2.0,75.39,1.92,0.065,551.0,0.0,551.0,
HumanEval/145,coa,gemma-12b:cot,3,3,0,6,0.5,69.0,,1.0,2.0,62.73,2.05,0.022,831.0,0.0,831.0,
HumanEval/146,coa,gemma-12b:cot,7,5,0,12,0.583,94.0,,1.0,2.07,62.97,3.0,0.068,1833.0,0.0,1833.0,
HumanEval/147,coa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,3.38,73.53,3.0,0.384,3823.0,0.0,3823.0,
HumanEval/148,coa,gemma-12b:cot,9,0,0,9,1.0,100.0,,0.25,3.22,64.12,1.67,0.014,2590.0,0.0,2590.0,
HumanEval/149,coa,gemma-12b:cot,8,2,0,10,0.8,85.0,,1.0,2.0,67.41,1.57,0.041,964.0,0.0,964.0,
HumanEval/150,coa,gemma-12b:cot,8,0,0,8,1.0,61.0,,0.5,3.55,53.78,5.5,0.075,891.0,0.0,891.0,
HumanEval/151,coa,gemma-12b:cot,7,3,0,10,0.7,97.0,,1.0,2.0,70.44,1.8,0.102,2111.0,0.0,2111.0,
HumanEval/152,coa,gemma-12b:cot,9,0,0,9,1.0,82.0,,0.0,2.0,62.39,3.46,0.064,3201.0,0.0,3201.0,
HumanEval/153,coa,gemma-12b:cot,8,2,0,10,0.8,86.0,,1.0,2.0,66.06,1.3,0.082,7178.0,0.0,7178.0,
HumanEval/154,coa,gemma-12b:cot,5,3,0,8,0.625,83.0,,1.0,4.22,58.03,2.53,0.032,5526.0,0.0,5526.0,
HumanEval/155,coa,gemma-12b:cot,11,0,0,11,1.0,95.0,,0.6,2.0,68.29,2.82,0.045,185.0,0.0,185.0,
HumanEval/156,coa,gemma-12b:cot,5,3,0,8,0.625,90.0,,1.0,5.89,49.05,3.11,0.099,4408.0,0.0,4408.0,
HumanEval/157,coa,gemma-12b:cot,6,3,0,9,0.667,91.0,,1.0,3.22,64.36,3.18,0.035,390.0,0.0,390.0,
HumanEval/158,coa,gemma-12b:cot,9,0,0,9,1.0,83.0,,0.333,2.0,63.36,2.6,0.064,4520.0,0.0,4520.0,
HumanEval/159,coa,gemma-12b:cot,10,0,0,10,1.0,100.0,,0.2,2.0,74.65,0.86,0.067,954.0,0.0,954.0,
HumanEval/160,coa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.44,63.91,2.27,0.056,1537.0,0.0,1537.0,
HumanEval/161,coa,gemma-12b:cot,11,0,0,11,1.0,93.0,,0.667,2.0,66.95,1.79,0.078,227.0,0.0,227.0,
HumanEval/162,coa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,1.82,75.12,5.18,0.243,201.0,0.0,201.0,
HumanEval/163,coa,gemma-12b:cot,9,0,0,9,1.0,100.0,,0.75,2.0,76.88,2.09,0.195,702.0,0.0,702.0,
HumanEval/139,competitive,gemma-12b:cot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.102,0.0,0.0,0.0,
HumanEval/140,competitive,gemma-12b:cot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.12,0.0,0.0,0.0,
HumanEval/141,competitive,gemma-12b:cot,0,0,0,0,0.0,10.0,,1.0,0.0,100.0,0.05,0.041,0.0,0.0,0.0,
HumanEval/142,competitive,gemma-12b:cot,0,0,0,0,0.0,12.0,,1.0,0.0,100.0,0.05,0.072,0.0,0.0,0.0,
HumanEval/143,competitive,gemma-12b:cot,0,0,0,0,0.0,40.0,,1.0,0.0,100.0,0.05,0.033,0.0,0.0,0.0,
HumanEval/144,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/145,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/146,competitive,gemma-12b:cot,0,0,0,0,0.0,18.0,,1.0,0.0,100.0,0.08,0.089,0.0,0.0,0.0,
HumanEval/147,competitive,gemma-12b:cot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.06,0.089,0.0,0.0,0.0,
HumanEval/148,competitive,gemma-12b:cot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.05,0.056,0.0,0.0,0.0,
HumanEval/149,competitive,gemma-12b:cot,0,0,0,0,0.0,20.0,,1.0,0.0,100.0,0.05,0.067,0.0,0.0,0.0,
HumanEval/150,competitive,gemma-12b:cot,0,0,0,0,0.0,40.0,,1.0,0.0,100.0,0.1,0.13,0.0,0.0,0.0,
HumanEval/151,competitive,gemma-12b:cot,0,0,0,0,0.0,18.0,,1.0,0.0,100.0,0.07,0.061,0.0,0.0,0.0,
HumanEval/152,competitive,gemma-12b:cot,0,0,0,0,0.0,67.0,,1.0,0.0,100.0,0.08,0.07,0.0,0.0,0.0,
HumanEval/153,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/154,competitive,gemma-12b:cot,0,0,0,0,0.0,11.0,,1.0,0.0,100.0,0.06,0.086,0.0,0.0,0.0,
HumanEval/155,competitive,gemma-12b:cot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.09,0.095,0.0,0.0,0.0,
HumanEval/156,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/157,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/158,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/159,competitive,gemma-12b:cot,0,0,0,0,0.0,29.0,,1.0,0.0,100.0,0.03,0.059,0.0,0.0,0.0,
HumanEval/160,competitive,gemma-12b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HumanEval/161,competitive,gemma-12b:cot,0,0,0,0,0.0,15.0,,1.0,0.0,100.0,0.05,0.09,0.0,0.0,0.0,
HumanEval/162,competitive,gemma-12b:cot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.09,0.117,0.0,0.0,0.0,
HumanEval/163,competitive,gemma-12b:cot,0,0,0,0,0.0,50.0,,1.0,0.0,100.0,0.09,0.112,0.0,0.0,0.0,
HumanEval/139,consensus,gemma-12b:cot,3,3,0,6,0.5,89.0,,1.0,2.5,63.26,1.93,0.083,3475.0,0.0,3475.0,
HumanEval/140,consensus,gemma-12b:cot,8,7,0,15,0.533,100.0,,1.0,2.0,48.87,2.21,0.071,1291.0,0.0,1291.0,
HumanEval/141,consensus,gemma-12b:cot,7,3,0,10,0.7,91.0,,1.0,4.3,40.42,2.0,0.014,7343.0,0.0,7343.0,
HumanEval/142,consensus,gemma-12b:cot,4,9,0,13,0.308,100.0,,1.0,2.0,50.19,1.42,0.029,2792.0,0.0,2792.0,
HumanEval/143,consensus,gemma-12b:cot,8,5,0,13,0.615,94.0,,1.0,2.2,74.06,2.7,0.42,2114.0,0.0,2114.0,
HumanEval/144,consensus,gemma-12b:cot,15,3,0,18,0.833,94.0,,1.0,2.0,64.57,4.08,0.402,3121.0,0.0,3121.0,
HumanEval/145,consensus,gemma-12b:cot,10,2,0,12,0.833,77.0,,1.0,2.0,69.78,2.1,0.336,2311.0,0.0,2311.0,
HumanEval/146,consensus,gemma-12b:cot,11,2,0,13,0.846,84.0,,1.0,2.27,64.94,3.46,0.3,2686.0,0.0,2686.0,
HumanEval/147,consensus,gemma-12b:cot,0,0,1,1,0.0,,,1.0,1.87,58.78,2.0,0.01,3379.0,0.0,3379.0,
HumanEval/148,consensus,gemma-12b:cot,2,2,0,4,0.5,82.0,,1.0,6.5,45.92,1.43,0.019,2822.0,0.0,2822.0,
HumanEval/149,consensus,gemma-12b:cot,7,3,0,10,0.7,100.0,,1.0,2.0,54.83,1.0,0.042,2909.0,0.0,2909.0,
HumanEval/150,consensus,gemma-12b:cot,5,1,0,6,0.833,74.0,,1.0,4.57,42.82,3.7,0.135,5009.0,0.0,5009.0,
HumanEval/151,consensus,gemma-12b:cot,9,7,0,16,0.562,100.0,,1.0,2.0,44.69,2.2,0.049,1849.0,0.0,1849.0,
HumanEval/152,consensus,gemma-12b:cot,10,1,0,11,0.909,100.0,,1.0,2.0,51.22,1.92,0.037,6238.0,0.0,6238.0,
HumanEval/153,consensus,gemma-12b:cot,0,15,0,15,0.0,69.0,,1.0,1.94,77.0,1.81,0.499,6412.0,0.0,6412.0,
HumanEval/154,consensus,gemma-12b:cot,7,3,0,10,0.7,64.0,,1.0,6.08,47.36,4.82,0.231,3653.0,0.0,3653.0,
HumanEval/155,consensus,gemma-12b:cot,10,2,0,12,0.833,100.0,,1.0,2.0,51.76,2.27,0.028,4775.0,0.0,4775.0,
HumanEval/156,consensus,gemma-12b:cot,1,2,0,3,0.333,65.0,,1.0,21.67,28.96,3.89,0.063,9755.0,0.0,9755.0,
HumanEval/157,consensus,gemma-12b:cot,4,4,0,8,0.5,86.0,,1.0,4.11,65.62,4.45,0.301,8071.0,0.0,8071.0,
HumanEval/158,consensus,gemma-12b:cot,13,1,0,14,0.929,84.0,,1.0,2.31,64.9,3.4,0.326,4215.0,0.0,4215.0,
HumanEval/159,consensus,gemma-12b:cot,13,0,0,13,1.0,100.0,,0.2,2.0,51.01,0.93,0.026,11239.0,0.0,11239.0,
HumanEval/160,consensus,gemma-12b:cot,11,1,0,12,0.917,89.0,,1.0,1.92,71.66,2.88,0.489,6824.0,0.0,6824.0,
HumanEval/161,consensus,gemma-12b:cot,6,4,0,10,0.6,80.0,,1.0,3.5,61.16,3.21,0.33,2367.0,0.0,2367.0,
HumanEval/162,consensus,gemma-12b:cot,2,8,0,10,0.2,82.0,,1.0,2.0,73.16,3.09,0.318,2378.0,0.0,2378.0,
HumanEval/163,consensus,gemma-12b:cot,8,2,0,10,0.8,94.0,,1.0,1.8,51.67,2.82,0.173,1551.0,0.0,1551.0,
HumanEval/139,hybrid,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.67,58.93,2.53,0.08,2956.0,0.0,2956.0,
HumanEval/140,hybrid,gemma-12b:cot,9,19,0,28,0.321,90.0,,1.0,2.07,52.87,5.5,0.191,2281.0,0.0,2281.0,
HumanEval/141,hybrid,gemma-12b:cot,6,2,0,8,0.75,68.0,,1.0,5.6,58.39,3.32,0.389,6546.0,0.0,6546.0,
HumanEval/142,hybrid,gemma-12b:cot,6,7,0,13,0.462,76.0,,1.0,2.27,66.04,2.37,0.474,3049.0,0.0,3049.0,
HumanEval/143,hybrid,gemma-12b:cot,6,11,0,17,0.353,95.0,,1.0,2.2,67.03,3.2,0.345,3401.0,0.0,3401.0,
HumanEval/144,hybrid,gemma-12b:cot,17,1,0,18,0.944,94.0,,1.0,2.0,64.57,4.08,0.401,2502.0,0.0,2502.0,
HumanEval/145,hybrid,gemma-12b:cot,11,4,0,15,0.733,80.0,,1.0,2.0,65.95,2.4,0.31,1763.0,0.0,1763.0,
HumanEval/146,hybrid,gemma-12b:cot,19,7,0,26,0.731,89.0,,1.0,2.14,50.76,5.46,0.193,4466.0,0.0,4466.0,
HumanEval/147,hybrid,gemma-12b:cot,0,0,1,1,0.0,,,1.0,4.4,64.37,1.71,0.023,956.0,0.0,956.0,
HumanEval/148,hybrid,gemma-12b:cot,13,2,0,15,0.867,88.0,,1.0,2.38,69.36,2.86,0.523,3525.0,0.0,3525.0,
HumanEval/149,hybrid,gemma-12b:cot,10,3,0,13,0.769,81.0,,1.0,2.13,74.88,2.19,0.469,2188.0,0.0,2188.0,
