task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/148,soa,gemma-27b:scot,8,2,0,10,0.8,74.0,,1.0,3.0,85.77,2.67,0.487,42.54,615.0,0.0,615.0
HumanEval/149,soa,gemma-27b:few_shot,5,4,0,9,0.556,100.0,,1.0,2.0,56.34,0.9,0.048,13.06,428.0,0.0,428.0
HumanEval/149,soa,gemma-27b:cot,10,3,0,13,0.769,80.0,,1.0,2.07,77.03,2.14,0.489,18.9,310.0,0.0,310.0
HumanEval/149,soa,gemma-27b:scot,10,2,0,12,0.833,79.0,,1.0,2.08,74.38,2.81,0.392,22.63,331.0,0.0,331.0
HumanEval/150,soa,gemma-27b:few_shot,2,0,0,2,1.0,100.0,,0.5,10.5,50.78,2.2,0.114,14.4,513.0,0.0,513.0
HumanEval/150,soa,gemma-27b:zero_shot,3,0,0,3,1.0,61.0,,0.5,9.0,39.58,4.2,0.115,18.76,668.0,0.0,668.0
HumanEval/150,soa,gemma-27b:cot,6,0,0,6,1.0,68.0,,0.5,6.71,47.4,5.3,0.042,24.16,433.0,0.0,433.0
HumanEval/150,soa,gemma-27b:scot,7,0,0,7,1.0,93.0,,0.25,3.75,74.05,5.5,0.219,23.89,227.0,0.0,227.0
HumanEval/151,soa,gemma-27b:few_shot,8,2,0,10,0.8,100.0,,1.0,2.0,51.95,1.4,0.176,17.74,1087.0,0.0,1087.0
HumanEval/151,soa,gemma-27b:zero_shot,15,0,0,15,1.0,84.0,,0.167,2.25,66.37,3.2,0.373,24.79,1289.0,0.0,1289.0
HumanEval/151,soa,gemma-27b:cot,15,0,0,15,1.0,84.0,,0.167,2.25,66.73,3.2,0.376,23.88,1549.0,0.0,1549.0
HumanEval/152,soa,gemma-27b:zero_shot,9,1,0,10,0.9,97.0,,1.0,2.0,76.94,3.15,0.589,19.61,612.0,0.0,612.0
HumanEval/146,soa,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.251,90.58,538.0,0.0,538.0
HumanEval/152,soa,gemma-27b:cot,12,0,0,12,1.0,98.0,,0.0,2.0,74.3,3.46,0.55,20.34,347.0,0.0,347.0
HumanEval/151,soa,gemma-27b:scot,15,0,0,15,1.0,83.0,,0.167,2.19,72.33,4.33,0.27,26.87,819.0,0.0,819.0
HumanEval/152,soa,gemma-27b:scot,7,1,0,8,0.875,91.0,,1.0,2.22,77.82,3.85,0.511,21.11,368.0,0.0,368.0
HumanEval/153,soa,gemma-27b:few_shot,7,3,0,10,0.7,97.0,,1.0,2.0,54.83,0.78,0.025,14.51,799.0,0.0,799.0
HumanEval/153,soa,gemma-27b:cot,8,5,0,13,0.615,77.0,,1.0,2.29,71.86,2.19,0.493,23.36,506.0,0.0,506.0
HumanEval/154,soa,gemma-27b:few_shot,15,0,0,15,1.0,100.0,,0.5,2.0,48.87,1.82,0.097,17.32,1146.0,0.0,1146.0
HumanEval/154,soa,gemma-27b:cot,17,2,0,19,0.895,76.0,,1.0,2.05,64.83,3.18,0.343,24.18,694.0,0.0,694.0
HumanEval/155,soa,gemma-27b:zero_shot,13,2,0,15,0.867,100.0,,1.0,2.0,47.98,2.82,0.013,21.06,125.0,0.0,125.0
HumanEval/152,soa,gemma-27b:few_shot,10,0,0,10,1.0,100.0,,0.0,2.0,52.83,1.62,0.021,35.73,765.0,0.0,765.0
HumanEval/154,soa,gemma-27b:zero_shot,10,2,0,12,0.833,74.0,,1.0,3.31,61.7,3.29,0.315,25.31,188.0,0.0,188.0
HumanEval/154,soa,gemma-27b:scot,11,0,0,11,1.0,73.0,,0.0,2.75,72.88,3.94,0.25,27.09,379.0,0.0,379.0
HumanEval/155,soa,gemma-27b:cot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.023,21.27,562.0,0.0,562.0
HumanEval/155,soa,gemma-27b:few_shot,9,0,0,9,1.0,100.0,,0.4,2.0,55.77,1.73,0.078,13.77,1265.0,0.0,1265.0
HumanEval/153,soa,gemma-27b:zero_shot,11,3,0,14,0.786,69.0,,1.0,5.0,81.97,2.11,0.508,43.54,807.0,0.0,807.0
HumanEval/155,soa,gemma-27b:scot,11,0,0,11,1.0,85.0,,0.0,2.08,76.73,5.09,0.176,20.67,357.0,0.0,357.0
HumanEval/153,soa,gemma-27b:scot,14,1,0,15,0.933,61.0,,1.0,5.5,84.4,2.52,0.393,47.5,1078.0,0.0,1078.0
HumanEval/156,soa,gemma-27b:cot,5,1,0,6,0.833,97.0,,1.0,7.0,37.99,2.68,0.106,20.58,390.0,0.0,390.0
HumanEval/156,soa,gemma-27b:few_shot,5,1,0,6,0.833,100.0,,1.0,8.0,36.99,2.58,0.102,23.11,508.0,0.0,508.0
HumanEval/156,soa,gemma-27b:zero_shot,30,0,0,30,1.0,100.0,,0.333,2.0,37.79,3.21,0.031,26.02,1186.0,0.0,1186.0
HumanEval/157,soa,gemma-27b:zero_shot,4,2,0,6,0.667,89.0,,1.0,4.57,68.63,4.0,0.333,23.68,674.0,0.0,674.0
HumanEval/157,soa,gemma-27b:few_shot,3,3,0,6,0.5,81.0,,1.0,4.67,46.81,2.64,0.068,19.63,1016.0,0.0,1016.0
HumanEval/158,soa,gemma-27b:cot,13,1,0,14,0.929,84.0,,1.0,2.27,67.19,3.33,0.354,20.42,233.0,0.0,233.0
HumanEval/157,soa,gemma-27b:scot,6,2,0,8,0.75,93.0,,1.0,3.0,78.5,4.0,0.026,26.17,245.0,0.0,245.0
HumanEval/156,soa,gemma-27b:scot,2,2,0,4,0.5,76.0,,1.0,8.33,63.24,4.32,0.161,34.03,249.0,0.0,249.0
HumanEval/157,soa,gemma-27b:cot,6,2,0,8,0.75,91.0,,1.0,4.33,64.31,4.64,0.293,27.62,816.0,0.0,816.0
HumanEval/158,soa,gemma-27b:few_shot,9,1,0,10,0.9,100.0,,1.0,2.0,54.83,1.4,0.02,13.97,351.0,0.0,351.0
HumanEval/158,soa,gemma-27b:scot,12,0,0,12,1.0,83.0,,0.0,2.31,75.03,4.07,0.269,19.98,861.0,0.0,861.0
HumanEval/161,soa,gemma-27b:few_shot,12,1,0,13,0.923,100.0,,1.0,2.0,51.01,1.42,0.102,11.02,918.0,0.0,918.0
HumanEval/160,soa,gemma-27b:few_shot,9,2,0,11,0.818,100.0,,1.0,2.0,53.46,0.88,0.029,11.9,575.0,0.0,575.0
HumanEval/161,soa,gemma-27b:cot,12,2,0,14,0.857,83.0,,1.0,2.27,67.2,2.84,0.33,15.21,225.0,0.0,225.0
HumanEval/162,soa,gemma-27b:cot,2,6,0,8,0.25,100.0,,1.0,2.0,56.89,1.73,0.043,15.3,893.0,0.0,893.0
HumanEval/161,soa,gemma-27b:scot,10,0,0,10,1.0,83.0,,0.0,2.91,70.66,3.74,0.246,20.04,652.0,0.0,652.0
HumanEval/160,soa,gemma-27b:scot,12,2,0,14,0.857,88.0,,1.0,2.44,67.87,3.12,0.388,26.27,500.0,0.0,500.0
HumanEval/162,soa,gemma-27b:few_shot,4,3,0,7,0.571,100.0,,1.0,2.0,58.61,1.55,0.016,14.51,317.0,0.0,317.0
HumanEval/162,soa,gemma-27b:scot,3,2,0,5,0.6,77.0,,1.0,2.17,80.27,3.73,0.285,18.73,1223.0,0.0,1223.0
HumanEval/159,soa,gemma-27b:few_shot,13,0,0,13,1.0,100.0,,0.2,2.0,51.01,0.93,0.023,37.66,1003.0,0.0,1003.0
HumanEval/159,soa,gemma-27b:cot,18,0,0,18,1.0,100.0,,0.2,2.0,46.09,1.28,0.032,41.58,1641.0,0.0,1641.0
HumanEval/163,soa,gemma-27b:zero_shot,8,5,0,13,0.615,96.0,,1.0,2.21,70.29,3.91,0.358,17.42,163.0,0.0,163.0
HumanEval/163,soa,gemma-27b:cot,10,6,0,16,0.625,96.0,,1.0,2.18,66.55,4.45,0.316,19.35,221.0,0.0,221.0
HumanEval/160,soa,gemma-27b:cot,15,3,0,18,0.833,89.0,,1.0,2.37,66.93,2.81,0.423,48.65,550.0,0.0,550.0
HumanEval/139,swarm,gemma-27b:zero_shot,0,1,0,1,0.0,77.0,,1.0,1.0,100.0,0.33,0.079,18.85,1889.0,0.0,1889.0
HumanEval/163,soa,gemma-27b:few_shot,7,4,0,11,0.636,100.0,,1.0,2.0,52.8,2.09,0.075,19.87,2228.0,0.0,2228.0
HumanEval/163,soa,gemma-27b:scot,11,0,0,11,1.0,95.0,,0.0,2.25,75.35,5.27,0.239,25.63,242.0,0.0,242.0
HumanEval/159,soa,gemma-27b:scot,8,14,0,22,0.364,77.0,,1.0,2.2,75.21,3.0,0.485,55.35,1670.0,0.0,1670.0
HumanEval/139,swarm,gemma-27b:cot,1,0,0,1,1.0,77.0,,0.0,2.0,79.74,0.33,0.096,17.44,982.0,0.0,982.0
HumanEval/139,swarm,gemma-27b:few_shot,1,0,0,1,1.0,77.0,,0.0,2.0,81.86,0.27,0.11,41.07,146.0,0.0,146.0
HumanEval/139,consensus,gemma-27b:few_shot,6,3,0,9,0.667,100.0,,1.0,1.78,56.26,1.4,0.009,28.31,632.0,0.0,632.0
HumanEval/139,atomic_swarm,gemma-27b:few_shot,2,1,0,3,0.667,100.0,,1.0,1.67,68.32,0.67,0.1,32.23,555.0,0.0,555.0
HumanEval/139,atomic_swarm,gemma-27b:zero_shot,2,1,0,3,0.667,50.0,,1.0,2.83,75.07,4.53,0.3,47.76,296.0,0.0,296.0
HumanEval/139,atomic_swarm,gemma-27b:cot,3,0,0,3,1.0,49.0,,0.0,2.57,74.73,4.53,0.328,54.86,3688.0,0.0,3688.0
HumanEval/139,consensus,gemma-27b:zero_shot,3,1,0,4,0.75,83.0,,1.0,2.6,73.79,3.0,0.378,47.82,3482.0,0.0,3482.0
HumanEval/139,atomic_swarm,gemma-27b:scot,2,1,0,3,0.667,50.0,,1.0,2.5,73.83,4.87,0.285,51.37,3915.0,0.0,3915.0
HumanEval/139,coa,gemma-27b:few_shot,5,3,0,8,0.625,100.0,,1.0,1.88,72.51,2.0,0.054,13.69,4247.0,0.0,4247.0
HumanEval/139,consensus,gemma-27b:cot,3,1,0,4,0.75,85.0,,1.0,2.8,78.09,3.07,0.331,67.9,1504.0,0.0,1504.0
HumanEval/140,swarm,gemma-27b:zero_shot,0,1,0,1,0.0,100.0,,1.0,2.0,84.58,0.21,0.171,14.52,695.0,0.0,695.0
HumanEval/139,hybrid,gemma-27b:scot,3,1,0,4,0.75,82.0,,1.0,2.4,80.75,2.27,0.462,49.67,1143.0,0.0,1143.0
HumanEval/140,swarm,gemma-27b:cot,0,1,0,1,0.0,100.0,,1.0,2.0,81.86,0.29,0.108,15.91,1421.0,0.0,1421.0
HumanEval/140,swarm,gemma-27b:few_shot,0,2,0,2,0.0,100.0,,1.0,2.0,76.34,0.36,0.061,14.88,421.0,0.0,421.0
HumanEval/139,swarm,gemma-27b:scot,3,1,0,4,0.75,100.0,,1.0,1.75,67.83,0.67,0.01,131.46,1776.0,0.0,1776.0
HumanEval/140,swarm,gemma-27b:scot,0,1,0,1,0.0,93.0,,1.0,5.0,71.66,0.43,0.058,23.59,266.0,0.0,266.0
HumanEval/139,coa,gemma-27b:zero_shot,9,1,0,10,0.9,64.0,,1.0,2.29,66.21,5.73,0.221,97.67,1489.0,0.0,1489.0
HumanEval/140,atomic_swarm,gemma-27b:zero_shot,2,1,0,3,0.667,100.0,,1.0,2.0,69.94,0.57,0.044,12.21,165.0,0.0,165.0
HumanEval/139,coa,gemma-27b:cot,9,1,0,10,0.9,64.0,,1.0,2.29,65.8,5.93,0.22,96.7,616.0,0.0,616.0
HumanEval/139,hybrid,gemma-27b:cot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.013,83.51,0.0,0.0,0.0
HumanEval/139,consensus,gemma-27b:scot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.016,132.05,0.0,0.0,0.0
HumanEval/139,hybrid,gemma-27b:few_shot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.016,85.34,0.0,0.0,0.0
HumanEval/140,atomic_swarm,gemma-27b:few_shot,2,1,0,3,0.667,100.0,,1.0,2.0,69.94,0.57,0.09,12.7,341.0,0.0,341.0
HumanEval/140,atomic_swarm,gemma-27b:scot,0,3,0,3,0.0,70.0,,1.0,1.6,84.64,2.43,0.484,16.68,244.0,0.0,244.0
HumanEval/139,hybrid,gemma-27b:zero_shot,6,1,0,7,0.857,87.0,,1.0,2.89,67.99,4.0,0.244,105.32,2092.0,0.0,2092.0
HumanEval/140,coa,gemma-27b:zero_shot,16,3,0,19,0.842,100.0,,1.0,2.0,59.54,3.29,0.031,20.28,2828.0,0.0,2828.0
HumanEval/140,coa,gemma-27b:cot,17,4,0,21,0.81,97.0,,1.0,2.0,55.53,3.86,0.029,20.83,392.0,0.0,392.0
HumanEval/140,coa,gemma-27b:scot,0,14,0,14,0.0,84.0,,1.0,1.88,76.28,4.14,0.275,21.05,808.0,0.0,808.0
HumanEval/140,atomic_swarm,gemma-27b:cot,1,2,0,3,0.333,80.0,,1.0,4.0,57.39,1.21,0.06,43.69,223.0,0.0,223.0
HumanEval/140,coa,gemma-27b:few_shot,14,0,0,14,1.0,95.0,,0.25,2.0,64.52,2.64,0.042,16.6,1327.0,0.0,1327.0
HumanEval/140,consensus,gemma-27b:few_shot,7,6,0,13,0.538,100.0,,1.0,2.0,51.01,1.93,0.054,40.27,1167.0,0.0,1167.0
HumanEval/140,consensus,gemma-27b:cot,13,2,0,15,0.867,87.0,,1.0,2.0,71.94,3.21,0.346,52.39,2400.0,0.0,2400.0
HumanEval/141,swarm,gemma-27b:zero_shot,1,0,0,1,1.0,35.0,,0.0,2.0,84.58,0.14,0.113,14.06,3894.0,0.0,3894.0
HumanEval/140,hybrid,gemma-27b:cot,12,6,0,18,0.667,100.0,,1.0,2.0,46.09,2.64,0.036,37.37,1945.0,0.0,1945.0
HumanEval/139,coa,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.062,166.67,2180.0,0.0,2180.0
HumanEval/141,atomic_swarm,gemma-27b:zero_shot,3,0,0,3,1.0,100.0,,0.25,5.67,54.32,0.86,0.016,15.59,621.0,0.0,621.0
HumanEval/141,swarm,gemma-27b:cot,1,0,0,1,1.0,35.0,,0.0,2.0,84.58,0.14,0.113,42.38,991.0,0.0,991.0
HumanEval/141,atomic_swarm,gemma-27b:cot,3,0,0,3,1.0,100.0,,0.25,7.0,49.86,1.18,0.022,17.38,797.0,0.0,797.0
HumanEval/141,swarm,gemma-27b:few_shot,1,0,0,1,1.0,35.0,,0.0,2.0,84.58,0.14,0.112,37.74,179.0,0.0,179.0
HumanEval/140,hybrid,gemma-27b:scot,6,3,0,9,0.667,82.0,,1.0,2.0,81.05,2.36,0.451,64.99,2268.0,0.0,2268.0
HumanEval/141,atomic_swarm,gemma-27b:few_shot,2,0,0,2,1.0,82.0,,0.5,2.0,70.19,0.36,0.027,12.59,457.0,0.0,457.0
HumanEval/140,consensus,gemma-27b:zero_shot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.021,115.13,0.0,0.0,0.0
HumanEval/141,atomic_swarm,gemma-27b:scot,3,0,0,3,1.0,29.0,,0.0,5.17,68.2,4.77,0.355,32.28,2453.0,0.0,2453.0
HumanEval/141,swarm,gemma-27b:scot,10,0,0,10,1.0,75.0,,0.0,2.55,73.66,2.32,0.574,66.59,1316.0,0.0,1316.0
HumanEval/140,hybrid,gemma-27b:few_shot,15,8,0,23,0.652,92.0,,1.0,2.0,61.99,5.5,0.208,88.19,1748.0,0.0,1748.0
HumanEval/141,consensus,gemma-27b:few_shot,8,1,0,9,0.889,98.0,,1.0,3.56,45.85,1.5,0.022,49.77,2736.0,0.0,2736.0
HumanEval/140,consensus,gemma-27b:scot,12,2,0,14,0.857,88.0,,1.0,2.07,70.17,3.5,0.333,147.97,2448.0,0.0,2448.0
HumanEval/141,coa,gemma-27b:zero_shot,21,0,0,21,1.0,100.0,,0.25,2.52,51.17,2.77,0.005,43.0,631.0,0.0,631.0
HumanEval/141,coa,gemma-27b:cot,16,0,0,16,1.0,100.0,,0.25,3.56,48.08,2.95,0.007,44.98,345.0,0.0,345.0
HumanEval/141,coa,gemma-27b:few_shot,15,0,0,15,1.0,100.0,,0.0,3.07,54.45,2.32,0.008,40.96,1168.0,0.0,1168.0
HumanEval/141,consensus,gemma-27b:zero_shot,9,1,0,10,0.9,78.0,,1.0,4.67,57.02,3.55,0.385,80.09,2936.0,0.0,2936.0
HumanEval/142,swarm,gemma-27b:zero_shot,1,1,0,2,0.5,100.0,,1.0,2.0,68.62,0.26,0.051,15.75,1042.0,0.0,1042.0
HumanEval/140,hybrid,gemma-27b:zero_shot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.015,152.61,0.0,0.0,0.0
HumanEval/141,consensus,gemma-27b:scot,8,1,0,9,0.889,79.0,,1.0,5.0,59.52,3.5,0.406,87.02,3125.0,0.0,3125.0
HumanEval/141,coa,gemma-27b:scot,28,25,0,53,0.528,39.0,,1.0,5.0,67.96,7.64,0.228,66.94,3491.0,0.0,3491.0
HumanEval/142,atomic_swarm,gemma-27b:zero_shot,2,0,0,2,1.0,58.0,,0.2,2.75,83.23,1.47,0.851,16.96,1586.0,0.0,1586.0
HumanEval/141,hybrid,gemma-27b:cot,10,1,0,11,0.909,97.0,,1.0,4.73,36.8,2.41,0.008,49.64,3143.0,0.0,3143.0
HumanEval/142,swarm,gemma-27b:cot,1,6,0,7,0.143,100.0,,1.0,2.0,52.29,0.79,0.076,37.6,1078.0,0.0,1078.0
HumanEval/142,atomic_swarm,gemma-27b:cot,7,7,0,14,0.5,100.0,,1.0,1.86,47.0,1.84,0.017,22.67,1081.0,0.0,1081.0
HumanEval/141,consensus,gemma-27b:cot,8,1,0,9,0.889,98.0,,1.0,6.78,32.98,2.82,0.015,118.27,2916.0,0.0,2916.0
HumanEval/142,atomic_swarm,gemma-27b:few_shot,2,1,0,3,0.667,100.0,,1.0,2.0,63.59,0.42,0.049,14.06,1447.0,0.0,1447.0
HumanEval/142,swarm,gemma-27b:few_shot,0,1,0,1,0.0,100.0,,1.0,2.0,81.86,0.21,0.095,36.97,1716.0,0.0,1716.0
HumanEval/141,hybrid,gemma-27b:zero_shot,7,0,0,7,1.0,81.0,,0.0,6.78,57.01,3.68,0.37,71.15,2716.0,0.0,2716.0
HumanEval/141,hybrid,gemma-27b:scot,6,0,0,6,1.0,77.0,,0.0,5.43,64.76,2.91,0.479,78.19,3170.0,0.0,3170.0
HumanEval/142,coa,gemma-27b:zero_shot,4,5,0,9,0.444,89.0,,1.0,2.67,63.17,1.63,0.05,18.44,2235.0,0.0,2235.0
HumanEval/142,coa,gemma-27b:cot,4,5,0,9,0.444,98.0,,1.0,1.9,67.95,1.53,0.038,16.95,3762.0,0.0,3762.0
HumanEval/142,atomic_swarm,gemma-27b:scot,6,14,0,20,0.3,61.0,,1.0,2.38,59.99,5.53,0.279,40.18,301.0,0.0,301.0
HumanEval/142,swarm,gemma-27b:scot,5,4,0,9,0.556,72.0,,1.0,2.3,71.54,2.47,0.548,72.16,1916.0,0.0,1916.0
HumanEval/142,consensus,gemma-27b:few_shot,4,6,0,10,0.4,100.0,,1.0,2.4,43.67,1.58,0.114,56.31,2621.0,0.0,2621.0
HumanEval/142,coa,gemma-27b:scot,4,5,0,9,0.444,49.0,,1.0,3.38,59.99,5.21,0.294,37.88,813.0,0.0,813.0
HumanEval/142,coa,gemma-27b:few_shot,3,5,0,8,0.375,92.0,,1.0,2.33,66.29,1.37,0.032,39.79,3029.0,0.0,3029.0
HumanEval/142,consensus,gemma-27b:cot,6,8,0,14,0.429,77.0,,1.0,2.07,64.97,2.63,0.484,75.88,2675.0,0.0,2675.0
HumanEval/142,consensus,gemma-27b:scot,6,6,0,12,0.5,76.0,,1.0,2.54,70.46,3.05,0.445,83.42,4394.0,0.0,4394.0
HumanEval/143,swarm,gemma-27b:zero_shot,6,0,0,6,1.0,95.0,,0.0,5.25,38.22,2.45,0.055,26.14,464.0,0.0,464.0
HumanEval/143,swarm,gemma-27b:few_shot,0,1,0,1,0.0,100.0,,1.0,2.0,81.86,0.2,0.094,13.17,2120.0,0.0,2120.0
HumanEval/142,hybrid,gemma-27b:cot,9,14,0,23,0.391,100.0,,1.0,2.13,32.54,3.58,0.047,77.3,1746.0,0.0,1746.0
HumanEval/142,consensus,gemma-27b:zero_shot,7,7,0,14,0.5,78.0,,1.0,1.93,67.67,2.74,0.456,115.37,4821.0,0.0,4821.0
HumanEval/142,hybrid,gemma-27b:zero_shot,8,14,0,22,0.364,85.0,,1.0,2.33,50.2,3.89,0.332,88.81,2213.0,0.0,2213.0
HumanEval/143,atomic_swarm,gemma-27b:zero_shot,2,0,0,2,1.0,32.0,,0.0,4.33,63.59,5.9,0.328,29.48,882.0,0.0,882.0
HumanEval/143,swarm,gemma-27b:scot,4,2,0,6,0.667,91.0,,1.0,2.14,82.02,2.0,0.598,45.62,2209.0,0.0,2209.0
HumanEval/142,hybrid,gemma-27b:scot,3,4,0,7,0.429,70.0,,1.0,2.38,75.99,1.79,0.639,82.15,3282.0,0.0,3282.0
HumanEval/143,atomic_swarm,gemma-27b:few_shot,2,0,0,2,1.0,92.0,,0.667,2.0,70.19,0.4,0.064,11.18,386.0,0.0,386.0
HumanEval/143,swarm,gemma-27b:cot,10,3,0,13,0.769,86.0,,1.0,2.47,68.75,3.15,0.425,61.05,2231.0,0.0,2231.0
