task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/156,actor_critic,gemma-4-2b:scot,0,3,0,3,0.0,28.16,0.0,0.0,9.0,55.94,3.79,0.219,0,0,0,1.0,0.0,6135,4967,11102
HumanEval/147,actor_critic,gemma-4-2b:scot,10,7,0,17,0.588,73.77,20.0,0.0,2.22,67.86,3.29,0.396,13,1,3,0.176,0.648,3051,1763,4814
HumanEval/139,hybrid,gemma-4-2b:few_shot,13,2,0,15,0.867,76.54,40.0,0.0,2.94,59.56,5.13,0.217,31,4,3,0.0,0.817,4735,2691,7426
HumanEval/140,baseline,gemma-4-2b:few_shot,4,2,0,6,0.667,60.47,25.0,0.0,2.71,75.84,2.79,0.442,9,1,3,0.0,0.667,2338,5857,8195
HumanEval/161,baseline,gemma-4-2b:scot,8,1,0,9,0.889,70.83,40.0,0.0,2.2,70.58,3.47,0.232,9,1,3,0.0,0.667,1995,2328,4323
HumanEval/158,actor_critic,gemma-4-2b:scot,10,1,0,11,0.909,64.91,33.33,0.0,2.33,71.08,2.93,0.438,11,2,3,0.0,0.733,1555,1206,2761
HumanEval/153,consensus,gemma-4-2b:few_shot,7,4,0,11,0.636,61.25,31.25,0.0,3.0,66.28,2.48,0.429,0,0,0,1.0,0.0,2942,1102,4044
HumanEval/153,consensus,gemma-4-2b:scot,7,2,0,9,0.778,60.81,25.0,0.0,2.82,70.02,2.26,0.498,0,0,0,1.0,0.0,2734,1000,3734
HumanEval/140,actor_critic,gemma-4-2b:few_shot,10,5,0,15,0.667,72.13,25.0,0.0,2.31,64.81,4.07,0.296,17,1,3,0.067,0.675,2139,2174,4313
HumanEval/139,actor_critic,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.341,0,0,0,1.0,0.0,4789,5697,10486
HumanEval/162,adversarial,gemma-4-2b:few_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.211,0,0,0,1.0,0.0,308,2048,2356
HumanEval/145,baseline,gemma-4-2b:scot,5,2,0,7,0.714,78.95,50.0,0.0,1.88,80.46,1.55,0.446,7,1,3,0.0,0.617,569,2855,3424
HumanEval/159,adversarial,gemma-4-2b:zero_shot,14,8,0,22,0.636,76.0,50.0,0.0,2.0,88.69,2.55,0.6,4,0,4,0.667,0.383,1279,3815,5094
HumanEval/152,baseline,gemma-4-2b:few_shot,8,1,0,9,0.889,85.0,50.0,0.0,1.92,75.68,3.46,0.562,12,3,4,0.0,0.825,2355,3664,6019
HumanEval/154,consensus,gemma-4-2b:few_shot,0,0,0,0,0.0,12.12,0.0,0.0,4.0,93.47,0.94,0.823,0,0,0,1.0,0.0,4392,1932,6324
HumanEval/163,hybrid,gemma-4-2b:scot,7,4,0,11,0.636,69.05,0.0,0.0,2.17,71.99,3.55,0.373,8,1,3,0.0,0.642,1079,1592,2671
HumanEval/162,consensus,gemma-4-2b:zero_shot,3,4,0,7,0.429,82.35,50.0,0.0,2.0,79.09,2.45,0.382,7,1,3,0.0,0.617,3046,2154,5200
HumanEval/162,baseline,gemma-4-2b:zero_shot,2,4,0,6,0.333,81.25,50.0,0.0,2.0,81.91,2.27,0.41,5,1,3,0.0,0.567,969,3680,4649
HumanEval/144,actor_critic,gemma-4-2b:zero_shot,8,6,0,14,0.571,76.92,77.0,0.0,3.47,57.23,5.23,0.319,24,0,3,0.0,0.65,1174,277,1451
HumanEval/140,hybrid,gemma-4-2b:zero_shot,14,25,0,39,0.359,73.33,25.0,0.0,2.47,55.12,7.29,0.183,23,1,4,0.0,0.742,5310,7707,13017
HumanEval/159,hybrid,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.334,0,0,0,1.0,0.0,6599,4504,11103
HumanEval/159,actor_critic,gemma-4-2b:zero_shot,7,5,0,12,0.583,79.07,50.0,0.0,2.0,76.61,2.0,0.638,11,1,3,0.0,0.692,3286,2845,6131
HumanEval/158,adversarial,gemma-4-2b:scot,8,1,0,9,0.889,62.26,33.33,0.0,2.4,73.89,2.67,0.447,9,1,3,0.0,0.667,1523,3780,5303
HumanEval/139,consensus,gemma-4-2b:scot,2,2,0,4,0.5,49.02,25.0,0.0,5.6,69.62,2.93,0.339,18,1,3,0.0,0.692,1803,1973,3776
HumanEval/162,baseline,gemma-4-2b:scot,3,1,0,4,0.75,78.57,50.0,0.0,2.0,82.2,3.18,0.264,4,1,3,0.0,0.542,2025,2584,4609
HumanEval/143,consensus,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,2.0,48.11,2.9,0.016,13,1,3,0.043,0.681,2439,1962,4401
HumanEval/149,actor_critic,gemma-4-2b:scot,10,2,0,12,0.833,92.5,100.0,0.0,2.08,78.24,2.05,0.518,12,2,3,0.0,0.733,5415,3061,8476
HumanEval/141,actor_critic,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.263,0,0,0,1.0,0.0,3088,4064,7152
HumanEval/144,adversarial,gemma-4-2b:scot,3,1,0,4,0.75,61.11,0.0,0.0,3.8,78.26,2.85,0.54,14,0,3,0.0,0.65,276,832,1108
HumanEval/139,actor_critic,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.192,0,0,0,1.0,0.0,2266,502,2768
HumanEval/145,hybrid,gemma-4-2b:scot,8,5,0,13,0.615,62.5,50.0,0.0,3.5,56.2,3.25,0.227,31,2,3,0.0,0.733,2766,2656,5422
HumanEval/146,consensus,gemma-4-2b:zero_shot,9,3,0,12,0.75,79.17,50.0,0.0,2.23,69.81,3.0,0.352,10,2,3,0.167,0.692,4155,1738,5893
HumanEval/145,baseline,gemma-4-2b:few_shot,6,3,0,9,0.667,81.97,66.67,0.0,2.75,63.72,2.7,0.297,18,2,3,0.0,0.733,358,844,1202
HumanEval/150,actor_critic,gemma-4-2b:few_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.134,0,0,0,1.0,0.0,3320,4096,7416
HumanEval/158,actor_critic,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.142,0,0,0,1.0,0.0,5421,5134,10555
HumanEval/152,consensus,gemma-4-2b:few_shot,0,0,0,0,0.0,36.36,0.0,0.0,2.0,80.01,1.23,0.929,0,0,0,1.0,0.0,2827,894,3721
HumanEval/146,consensus,gemma-4-2b:scot,0,0,0,0,0.0,18.18,0.0,0.0,5.0,90.93,1.0,0.878,0,0,0,1.0,0.0,2331,201,2532
HumanEval/158,adversarial,gemma-4-2b:zero_shot,22,9,0,31,0.71,55.56,33.33,0.0,3.0,73.25,5.0,0.35,4,0,4,0.667,0.383,1283,5344,6627
HumanEval/141,adversarial,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.078,0,0,0,1.0,0.0,1283,5344,6627
HumanEval/144,actor_critic,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.085,0,0,0,1.0,0.0,2715,4065,6780
HumanEval/153,actor_critic,gemma-4-2b:zero_shot,10,4,0,14,0.714,63.64,31.25,0.0,2.12,69.02,2.37,0.453,0,0,0,1.0,0.0,2033,1187,3220
HumanEval/143,actor_critic,gemma-4-2b:scot,7,5,0,12,0.583,62.71,0.0,0.0,2.4,70.34,3.1,0.367,0,0,0,1.0,0.0,4105,3985,8090
HumanEval/146,baseline,gemma-4-2b:zero_shot,9,2,0,11,0.818,73.47,40.0,0.0,2.33,70.62,2.92,0.379,10,1,3,0.0,0.692,381,1676,2057
HumanEval/161,consensus,gemma-4-2b:zero_shot,12,2,0,14,0.857,75.86,40.0,0.0,2.13,70.42,2.58,0.356,14,1,3,0.0,0.692,2068,2196,4264
HumanEval/161,hybrid,gemma-4-2b:zero_shot,17,7,0,24,0.708,80.95,40.0,0.0,2.14,54.41,3.95,0.209,0,0,0,1.0,0.0,2638,2966,5604
HumanEval/142,hybrid,gemma-4-2b:scot,3,6,0,9,0.333,74.0,50.0,0.0,2.3,75.72,1.89,0.593,8,2,3,0.0,0.683,3362,5846,9208
HumanEval/160,baseline,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,2.58,69.93,6.12,0.258,12,1,4,0.909,0.514,518,3932,4450
HumanEval/149,actor_critic,gemma-4-2b:zero_shot,7,4,0,11,0.636,92.11,100.0,0.0,2.08,79.45,1.95,0.54,11,2,3,0.0,0.733,1757,1299,3056
HumanEval/155,actor_critic,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.18,0,0,0,1.0,0.0,2910,1301,4211
HumanEval/159,actor_critic,gemma-4-2b:scot,11,10,0,21,0.524,88.14,50.0,0.0,2.0,69.78,2.52,0.531,15,1,3,0.143,0.656,2914,1112,4026
HumanEval/143,hybrid,gemma-4-2b:zero_shot,61,38,0,99,0.616,51.06,0.0,0.0,2.17,68.8,8.3,0.292,4,1,4,0.4,0.492,2547,2295,4842
HumanEval/147,baseline,gemma-4-2b:scot,4,6,0,10,0.4,67.39,20.0,0.0,2.27,71.09,3.76,0.095,10,0,3,0.0,0.65,314,987,1301
HumanEval/149,adversarial,gemma-4-2b:zero_shot,10,0,0,10,1.0,86.11,50.0,0.25,2.09,80.66,1.86,0.552,10,2,3,0.0,0.733,4434,11490,15924
HumanEval/156,baseline,gemma-4-2b:zero_shot,25,1,0,26,0.962,50.0,0.0,0.0,2.59,46.79,5.37,0.169,26,0,3,0.0,0.65,4516,3539,8055
HumanEval/140,adversarial,gemma-4-2b:scot,8,1,0,9,0.889,63.04,25.0,0.0,2.2,74.28,3.0,0.412,8,1,3,0.111,0.614,3074,4859,7933
HumanEval/163,consensus,gemma-4-2b:zero_shot,0,0,0,0,0.0,25.0,0.0,0.0,4.0,93.44,1.55,0.793,0,0,0,1.0,0.0,5155,5037,10192
HumanEval/142,hybrid,gemma-4-2b:few_shot,2,15,0,17,0.118,78.26,50.0,0.0,2.16,61.96,3.11,0.427,16,3,3,0.118,0.746,1598,1133,2731
HumanEval/143,baseline,gemma-4-2b:scot,6,3,0,9,0.667,55.1,0.0,0.0,2.27,76.58,2.5,0.491,8,1,3,0.0,0.642,799,2427,3226
HumanEval/158,adversarial,gemma-4-2b:few_shot,21,2,0,23,0.913,81.61,50.0,0.0,2.12,58.01,5.27,0.247,23,3,3,0.0,0.775,799,2427,3226
HumanEval/147,hybrid,gemma-4-2b:few_shot,12,10,0,22,0.545,73.12,33.33,0.0,2.68,54.68,5.18,0.261,24,2,3,0.0,0.733,2349,2693,5042
HumanEval/140,hybrid,gemma-4-2b:scot,6,3,0,9,0.667,63.04,25.0,0.0,2.2,74.28,3.0,0.402,9,1,3,0.0,0.667,5169,3756,8925
HumanEval/148,actor_critic,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.263,0,0,0,1.0,0.0,2101,2048,4149
HumanEval/157,actor_critic,gemma-4-2b:few_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.135,0,0,0,1.0,0.0,2424,2049,4473
HumanEval/156,consensus,gemma-4-2b:zero_shot,0,0,0,0,0.0,4.76,0.0,0.0,15.0,65.79,2.79,0.318,0,0,0,1.0,0.0,6751,3918,10669
HumanEval/159,baseline,gemma-4-2b:few_shot,9,2,0,11,0.818,93.18,100.0,0.0,1.93,75.42,2.07,0.025,17,3,3,0.0,0.775,2498,2613,5111
HumanEval/157,consensus,gemma-4-2b:zero_shot,2,5,0,7,0.286,84.44,84.0,0.0,4.78,63.87,4.55,0.293,0,0,0,1.0,0.0,2435,1020,3455
HumanEval/163,adversarial,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,2.2,78.22,5.55,0.323,5,0,4,0.75,0.388,0,0,0
HumanEval/139,hybrid,gemma-4-2b:scot,8,6,0,14,0.571,71.05,20.0,0.0,2.53,60.19,4.47,0.236,11,1,4,0.071,0.724,2261,3848,6109
HumanEval/141,consensus,gemma-4-2b:scot,0,0,0,0,0.0,7.41,0.0,0.0,10.0,83.41,1.45,0.711,0,0,0,1.0,0.0,4587,2580,7167
HumanEval/141,actor_critic,gemma-4-2b:few_shot,18,2,0,20,0.9,67.29,41.67,0.0,2.86,56.5,3.86,0.373,26,1,3,0.1,0.667,3365,1266,4631
HumanEval/150,adversarial,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,5.4,56.57,3.4,0.034,19,1,3,0.0,0.692,515,2502,3017
HumanEval/156,actor_critic,gemma-4-2b:few_shot,1,3,0,4,0.25,57.81,0.0,0.0,7.6,62.49,3.11,0.252,23,1,3,0.0,0.692,1276,597,1873
HumanEval/151,hybrid,gemma-4-2b:scot,17,10,0,27,0.63,78.65,33.33,0.0,2.2,57.24,5.8,0.238,25,2,3,0.107,0.707,2641,5049,7690
HumanEval/141,hybrid,gemma-4-2b:few_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.228,0,0,0,1.0,0.0,2342,2048,4390
HumanEval/149,baseline,gemma-4-2b:scot,7,0,0,7,1.0,83.87,50.0,0.5,2.12,69.44,2.48,0.433,7,2,3,0.0,0.658,2673,2804,5477
HumanEval/158,baseline,gemma-4-2b:scot,7,1,0,8,0.875,60.78,33.33,0.0,2.44,75.18,2.53,0.467,8,1,3,0.0,0.642,256,878,1134
HumanEval/150,hybrid,gemma-4-2b:scot,21,4,0,25,0.84,86.36,0.0,0.0,2.69,47.99,8.2,0.205,24,1,4,0.04,0.732,1886,2832,4718
HumanEval/150,hybrid,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.037,0,0,0,1.0,0.0,4061,4880,8941
HumanEval/143,consensus,gemma-4-2b:zero_shot,0,0,0,0,0.0,18.75,0.0,0.0,3.0,84.92,1.6,0.753,0,0,0,1.0,0.0,3687,285,3972
HumanEval/141,baseline,gemma-4-2b:few_shot,9,2,0,11,0.818,62.64,41.67,0.0,3.0,62.02,3.23,0.432,21,2,3,0.0,0.733,1553,4328,5881
HumanEval/154,adversarial,gemma-4-2b:scot,7,1,0,8,0.875,73.02,50.0,0.0,3.33,69.34,2.59,0.495,19,1,3,0.125,0.66,778,2406,3184
HumanEval/142,actor_critic,gemma-4-2b:scot,5,6,0,11,0.455,75.93,50.0,0.0,2.25,73.48,2.11,0.535,11,2,3,0.0,0.733,1000,1338,2338
HumanEval/145,adversarial,gemma-4-2b:few_shot,14,3,0,17,0.824,90.12,66.67,0.0,2.6,57.63,3.85,0.21,26,3,3,0.0,0.775,0,0,0
HumanEval/156,adversarial,gemma-4-2b:few_shot,18,4,0,22,0.818,28.87,0.0,0.0,3.57,58.55,4.53,0.179,6,0,4,0.0,0.6,680,1835,2515
HumanEval/146,hybrid,gemma-4-2b:few_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.167,0,0,0,1.0,0.0,2495,1635,4130
HumanEval/142,adversarial,gemma-4-2b:zero_shot,5,6,0,11,0.455,75.93,50.0,0.0,2.17,72.79,2.11,0.588,9,2,3,0.182,0.663,215,601,816
HumanEval/152,hybrid,gemma-4-2b:scot,11,6,0,17,0.647,82.86,0.0,0.0,2.33,73.24,4.54,0.47,18,2,5,0.0,0.833,2924,4632,7556
HumanEval/141,baseline,gemma-4-2b:scot,10,1,0,11,0.909,65.42,34.62,0.0,4.75,61.53,4.86,0.295,30,1,3,0.0,0.692,614,2302,2916
HumanEval/151,adversarial,gemma-4-2b:scot,9,1,0,10,0.9,79.07,50.0,0.0,2.27,74.97,2.4,0.454,10,1,3,0.0,0.692,482,1704,2186
HumanEval/161,actor_critic,gemma-4-2b:scot,8,5,0,13,0.615,75.0,40.0,0.0,2.14,71.64,2.47,0.329,12,1,3,0.077,0.672,1006,1558,2564
HumanEval/140,adversarial,gemma-4-2b:zero_shot,7,4,0,11,0.636,64.71,20.0,0.0,2.42,70.36,3.21,0.377,11,1,3,0.0,0.692,1006,1558,2564
HumanEval/152,baseline,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.05,0,0,0,1.0,0.0,1009,3756,4765
HumanEval/144,actor_critic,gemma-4-2b:few_shot,6,4,0,10,0.6,74.51,75.0,0.0,3.45,65.19,4.15,0.411,18,0,3,0.0,0.65,1405,1417,2822
