task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens,norm_config
HumanEval/148,cot,chatgpt-oss,17,2,0,19,0.895,100.0,,1.0,4.5,87.13,2.67,0.021,35.46,367.0,1042.0,1409.0,
HumanEval/148,baseline,chatgpt-oss,19,2,0,21,0.905,96.0,,1.0,2.88,70.94,4.67,0.023,35.97,315.0,1280.0,1595.0,
HumanEval/148,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.67,71.98,5.95,0.011,36.45,489.0,1406.0,1895.0,
HumanEval/149,cot,chatgpt-oss,10,1,0,11,0.909,100.0,,1.0,2.67,86.97,2.29,0.014,35.46,343.0,893.0,1236.0,
HumanEval/149,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,4.0,80.31,3.62,0.031,37.78,291.0,1589.0,1880.0,
HumanEval/149,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.33,74.43,5.81,0.01,38.17,465.0,1881.0,2346.0,
HumanEval/150,cot,chatgpt-oss,15,1,0,16,0.938,94.0,,1.0,4.0,75.84,5.9,0.043,37.39,242.0,1108.0,1350.0,
HumanEval/150,baseline,chatgpt-oss,227,1,0,228,0.996,100.0,,1.0,3.6,73.62,8.3,0.029,39.11,190.0,1678.0,1868.0,
HumanEval/150,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,73.51,11.5,0.02,41.47,364.0,2647.0,3011.0,
HumanEval/151,cot,chatgpt-oss,13,2,0,15,0.867,100.0,,1.0,2.5,85.13,2.67,0.066,47.35,293.0,1270.0,1563.0,
HumanEval/151,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.89,78.35,6.8,0.024,47.78,415.0,1524.0,1939.0,
HumanEval/151,baseline,chatgpt-oss,12,3,0,15,0.8,100.0,,1.0,2.4,78.75,5.0,0.052,47.78,241.0,1662.0,1903.0,
HumanEval/152,cot,chatgpt-oss,10,1,0,11,0.909,100.0,,1.0,2.0,86.99,3.69,0.041,30.24,386.0,871.0,1257.0,
HumanEval/152,baseline,chatgpt-oss,10,3,0,13,0.769,100.0,,1.0,2.0,80.33,6.46,0.035,31.52,334.0,1311.0,1645.0,
HumanEval/152,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,70.17,9.0,0.022,35.32,508.0,2420.0,2928.0,
HumanEval/153,cot,chatgpt-oss,9,3,0,12,0.75,98.0,,1.0,2.5,78.28,3.48,0.07,41.34,428.0,1232.0,1660.0,
HumanEval/153,baseline,chatgpt-oss,9,2,0,11,0.818,89.0,,1.0,2.25,82.75,2.96,0.046,41.47,376.0,1317.0,1693.0,
HumanEval/153,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.78,82.46,3.26,0.05,42.34,550.0,1377.0,1927.0,
HumanEval/154,baseline,chatgpt-oss,18,2,0,20,0.9,98.0,,1.0,4.2,74.26,4.59,0.033,33.93,231.0,1460.0,1691.0,
HumanEval/154,cot,chatgpt-oss,28,3,0,31,0.903,97.0,,1.0,3.33,85.36,5.35,0.032,33.97,283.0,1463.0,1746.0,
HumanEval/154,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.29,74.04,6.88,0.022,34.32,405.0,1771.0,2176.0,
HumanEval/155,cot,chatgpt-oss,13,5,0,18,0.722,95.0,,1.0,3.0,92.9,4.0,0.036,33.11,224.0,711.0,935.0,
HumanEval/155,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.67,79.1,7.0,0.044,34.13,172.0,1282.0,1454.0,
HumanEval/155,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,76.17,8.73,0.024,35.79,346.0,1911.0,2257.0,
HumanEval/156,cot,chatgpt-oss,25,3,0,28,0.893,100.0,,1.0,2.5,92.48,2.63,0.03,27.11,261.0,1010.0,1271.0,
HumanEval/156,baseline,chatgpt-oss,58,6,0,64,0.906,100.0,,1.0,2.4,80.29,8.11,0.029,29.13,209.0,1845.0,2054.0,
HumanEval/156,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.4,73.73,6.95,0.031,29.13,383.0,1931.0,2314.0,
HumanEval/157,cot,chatgpt-oss,15,4,0,19,0.789,100.0,,1.0,2.33,86.02,5.55,0.06,45.67,264.0,1380.0,1644.0,
HumanEval/157,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.7,74.62,10.27,0.023,46.03,386.0,1783.0,2169.0,
HumanEval/157,baseline,chatgpt-oss,23,6,0,29,0.793,100.0,,1.0,3.0,76.18,9.91,0.034,47.18,212.0,2054.0,2266.0,
HumanEval/158,cot,chatgpt-oss,12,1,0,13,0.923,100.0,,1.0,2.5,83.71,3.4,0.048,34.13,276.0,1090.0,1366.0,
HumanEval/158,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.1,76.25,5.87,0.034,34.32,224.0,1409.0,1633.0,
HumanEval/158,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.91,73.4,7.2,0.015,36.35,398.0,2071.0,2469.0,
HumanEval/159,cot,chatgpt-oss,16,0,0,16,1.0,100.0,,0.2,4.0,100.0,1.31,0.047,33.05,431.0,960.0,1391.0,
HumanEval/159,baseline,chatgpt-oss,15,0,0,15,1.0,100.0,,1.0,3.67,85.69,2.03,0.086,34.42,379.0,1258.0,1637.0,
HumanEval/159,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.67,70.32,4.07,0.036,36.67,553.0,1782.0,2335.0,
HumanEval/160,cot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.25,94.08,1.73,0.036,30.9,364.0,1108.0,1472.0,
HumanEval/160,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.5,83.33,4.19,0.025,32.57,486.0,1712.0,2198.0,
HumanEval/160,baseline,chatgpt-oss,16,5,0,21,0.762,100.0,,1.0,1.6,76.63,4.54,0.034,32.58,312.0,1913.0,2225.0,
HumanEval/161,cot,chatgpt-oss,27,0,0,27,1.0,100.0,,0.667,2.33,86.01,3.42,0.046,26.27,263.0,1123.0,1386.0,
HumanEval/161,baseline,chatgpt-oss,24,0,0,24,1.0,100.0,,1.0,2.8,78.3,3.68,0.042,26.47,211.0,1254.0,1465.0,
HumanEval/161,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.8,77.6,5.26,0.032,27.03,385.0,1401.0,1786.0,
HumanEval/162,cot,chatgpt-oss,13,2,0,15,0.867,97.0,,1.0,2.2,75.27,3.82,0.076,30.98,232.0,1101.0,1333.0,
HumanEval/162,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.71,72.49,10.91,0.036,32.11,180.0,1761.0,1941.0,
HumanEval/162,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.82,74.88,10.27,0.04,32.2,354.0,1819.0,2173.0,
HumanEval/163,cot,chatgpt-oss,13,2,0,15,0.867,100.0,,1.0,2.25,84.22,5.27,0.05,31.9,264.0,1053.0,1317.0,
HumanEval/163,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,3.2,75.78,8.36,0.032,33.97,212.0,1817.0,2029.0,
HumanEval/163,few_shot,chatgpt-oss,9,22,0,31,0.29,93.0,,1.0,2.33,73.63,8.82,0.032,37.0,386.0,2018.0,2404.0,
HumanEval/154,swarm,cot:chatgpt-oss/chatgpt-oss,3,0,0,3,1.0,100.0,,0.5,2.33,96.9,0.82,0.173,43.94,1151.0,1436.0,2587.0,
HumanEval/155,swarm,cot:chatgpt-oss/chatgpt-oss,2,0,0,2,1.0,100.0,,0.4,2.0,100.0,0.64,0.12,51.9,974.0,1140.0,2114.0,
HumanEval/156,swarm,cot:chatgpt-oss/chatgpt-oss,4,0,0,4,1.0,100.0,,0.333,2.0,100.0,0.68,0.028,40.06,1089.0,1397.0,2486.0,
HumanEval/157,swarm,cot:chatgpt-oss/chatgpt-oss,1,2,0,3,0.333,100.0,,1.0,2.0,89.17,1.36,0.053,46.43,1379.0,2079.0,3458.0,
HumanEval/158,swarm,cot:chatgpt-oss/chatgpt-oss,3,0,0,3,1.0,100.0,,0.667,2.0,94.82,1.27,0.082,29.58,1244.0,1807.0,3051.0,
HumanEval/159,swarm,cot:chatgpt-oss/chatgpt-oss,5,0,0,5,1.0,100.0,,0.0,2.0,100.0,0.45,0.024,35.94,1699.0,2121.0,3820.0,
HumanEval/160,swarm,cot:chatgpt-oss/chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,91.53,0.81,0.047,33.55,1535.0,1870.0,3405.0,
HumanEval/161,swarm,cot:chatgpt-oss/chatgpt-oss,2,0,0,2,1.0,83.0,,0.333,2.0,73.15,0.37,0.081,28.14,1303.0,1303.0,2606.0,
HumanEval/162,swarm,cot:chatgpt-oss/chatgpt-oss,3,0,0,3,1.0,100.0,,0.25,2.0,80.23,1.27,0.076,37.05,1021.0,1692.0,2713.0,
HumanEval/163,swarm,cot:chatgpt-oss/chatgpt-oss,3,0,0,3,1.0,100.0,,0.5,2.0,100.0,1.0,0.075,41.8,1072.0,1847.0,2919.0,
HumanEval/0,swarm,llama3-3b,2,0,0,2,1.0,90.0,,0.75,2.0,71.26,0.79,0.144,68.46,841.0,293.0,1134.0,
HumanEval/1,swarm,llama3-3b,1,2,0,3,0.333,100.0,,1.0,2.0,85.87,0.89,0.112,63.22,815.0,355.0,1170.0,
HumanEval/2,swarm,llama3-3b,1,1,0,2,0.5,90.0,,1.0,2.5,98.96,1.33,0.054,50.5,702.0,281.0,983.0,
HumanEval/3,swarm,llama3-3b,3,0,0,3,1.0,100.0,,0.75,2.67,84.26,1.38,0.104,44.99,841.0,387.0,1228.0,
HumanEval/4,swarm,llama3-3b,1,1,0,2,0.5,100.0,,1.0,1.5,72.27,0.92,0.094,48.14,830.0,308.0,1138.0,
HumanEval/143,baseline,llama3_3b,10,1,0,11,0.909,59.0,,1.0,2.33,46.25,1.8,0.043,4.6,,,,
HumanEval/143,atomic_swarm,llama3_3b,0,0,1,1,0.0,,,1.0,1.33,89.27,2.1,0.027,24.95,,,,
HumanEval/144,baseline,llama3_3b,9,4,0,13,0.692,100.0,,1.0,1.46,52.18,2.62,0.025,1.42,,,,
HumanEval/144,atomic_swarm,llama3_3b,2,1,0,3,0.667,71.0,,1.0,2.0,72.43,1.85,0.016,24.39,,,,
HumanEval/0,baseline,cot:llama3-8b,5,7,0,12,0.417,100.0,,1.0,1.92,84.35,2.79,0.128,56.06,244.0,674.0,918.0,
HumanEval/0,swarm,cot:llama3-8b,0,0,1,1,0.0,,,1.0,2.0,97.26,1.0,0.146,64.28,1069.0,471.0,1540.0,
HumanEval/0,actor_critic,cot:llama3-8b,4,5,0,9,0.444,72.0,,1.0,3.22,61.01,2.86,0.006,74.23,3822.0,3922.0,7744.0,
HumanEval/1,baseline,cot:llama3-8b,7,2,0,9,0.778,100.0,,1.0,1.78,56.24,1.22,0.052,36.53,235.0,542.0,777.0,
HumanEval/1,swarm,cot:llama3-8b,2,0,0,2,1.0,64.0,,0.4,2.0,68.87,0.61,0.068,46.45,922.0,297.0,1219.0,
HumanEval/1,actor_critic,cot:llama3-8b,6,8,0,14,0.429,88.0,,1.0,1.57,49.81,2.11,0.029,48.43,2072.0,1375.0,3447.0,
HumanEval/144,baseline,llama3-70b,11,0,0,11,1.0,100.0,,0.25,2.0,53.46,1.77,0.042,59.34,223.0,284.0,507.0,
HumanEval/144,hybrid,cot:llama3-8b,21,57,0,78,0.269,85.0,,1.0,2.0,71.08,11.92,0.011,70.16,1237.0,3478.0,4715.0,
HumanEval/145,baseline,llama3-70b,6,3,0,9,0.667,100.0,,1.0,2.0,52.55,0.95,0.04,63.96,183.0,381.0,564.0,
HumanEval/145,hybrid,cot:llama3-8b,22,3,0,25,0.88,100.0,,1.0,2.0,42.73,3.85,0.041,69.76,1377.0,2462.0,3839.0,
HumanEval/146,baseline,llama3-70b,10,0,0,10,1.0,100.0,,0.5,2.0,53.26,1.62,0.137,64.72,187.0,268.0,455.0,
HumanEval/146,hybrid,cot:llama3-8b,6,7,0,13,0.462,100.0,,1.0,1.92,46.25,3.15,0.094,75.23,1161.0,1860.0,3021.0,
HumanEval/147,baseline,llama3-70b,3,4,0,7,0.429,100.0,,1.0,1.57,60.15,1.06,0.017,29.5,233.0,165.0,398.0,
HumanEval/147,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,2.67,64.21,2.0,0.028,37.77,1236.0,1704.0,2940.0,
HumanEval/148,baseline,llama3-70b,9,0,0,9,1.0,100.0,,0.25,2.0,56.34,0.9,0.015,46.24,279.0,241.0,520.0,
HumanEval/148,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,2.0,52.17,1.29,0.076,57.27,1616.0,2179.0,3795.0,
HumanEval/149,baseline,llama3-70b,9,0,0,9,1.0,100.0,,0.25,2.22,53.5,1.1,0.035,48.17,255.0,311.0,566.0,
HumanEval/149,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,2.5,91.2,0.76,0.041,60.37,1023.0,1358.0,2381.0,
HumanEval/150,baseline,llama3-70b,10,2,0,12,0.833,67.0,,1.0,2.0,53.09,3.2,0.025,66.19,154.0,341.0,495.0,
HumanEval/150,hybrid,cot:llama3-8b,8,8,0,16,0.5,72.0,,1.0,2.53,36.65,7.5,0.026,77.7,1460.0,2567.0,4027.0,
HumanEval/151,baseline,llama3-70b,11,0,0,11,1.0,100.0,,0.5,2.0,50.87,1.53,0.182,74.78,205.0,316.0,521.0,
HumanEval/151,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,2.6,66.78,3.53,0.112,91.28,1309.0,2269.0,3578.0,
HumanEval/152,baseline,llama3-70b,8,0,0,8,1.0,100.0,,0.0,1.88,51.39,2.62,0.028,43.97,298.0,477.0,775.0,
HumanEval/152,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,1.71,37.38,6.54,0.027,54.42,2145.0,3503.0,5648.0,
HumanEval/153,baseline,llama3-70b,6,1,0,7,0.857,95.0,,1.0,2.29,56.34,0.7,0.043,52.59,345.0,319.0,664.0,
HumanEval/153,hybrid,cot:llama3-8b,12,8,0,20,0.6,95.0,,1.0,2.0,39.34,2.52,0.044,62.42,1908.0,3178.0,5086.0,
HumanEval/154,baseline,llama3-70b,12,1,0,13,0.923,100.0,,1.0,2.0,51.01,1.59,0.024,48.25,197.0,331.0,528.0,
HumanEval/154,hybrid,cot:llama3-8b,19,4,0,23,0.826,97.0,,1.0,2.09,43.25,3.47,0.024,60.52,1368.0,2519.0,3887.0,
HumanEval/155,baseline,llama3-70b,8,0,0,8,1.0,100.0,,0.4,2.0,57.11,1.55,0.145,68.58,133.0,200.0,333.0,
HumanEval/155,hybrid,cot:llama3-8b,5,7,0,12,0.417,94.0,,1.0,2.83,44.0,3.45,0.069,82.6,1014.0,1708.0,2722.0,
HumanEval/156,baseline,llama3-70b,4,1,0,5,0.8,93.0,,1.0,7.4,40.37,2.32,0.092,45.45,169.0,574.0,743.0,
HumanEval/156,hybrid,cot:llama3-8b,3,5,0,8,0.375,79.0,,1.0,3.38,66.77,2.74,0.106,76.73,1169.0,2049.0,3218.0,
HumanEval/157,baseline,llama3-70b,5,3,0,8,0.625,96.0,,1.0,2.12,53.81,2.18,0.118,96.63,176.0,327.0,503.0,
HumanEval/157,hybrid,cot:llama3-8b,5,6,0,11,0.455,84.0,,1.0,3.45,65.67,8.55,0.043,122.62,1439.0,2364.0,3803.0,
HumanEval/158,baseline,llama3-70b,8,2,0,10,0.8,100.0,,1.0,2.0,54.83,1.4,0.073,121.81,188.0,275.0,463.0,
HumanEval/158,hybrid,cot:llama3-8b,14,4,0,18,0.778,100.0,,1.0,2.0,46.35,2.4,0.05,166.14,1173.0,2130.0,3303.0,
HumanEval/159,baseline,llama3-70b,14,0,0,14,1.0,100.0,,0.2,2.0,61.29,0.83,0.072,94.64,345.0,335.0,680.0,
HumanEval/159,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,2.3,35.1,2.59,0.01,106.93,1771.0,2994.0,4765.0,
HumanEval/160,baseline,llama3-70b,8,3,0,11,0.727,100.0,,1.0,1.55,49.23,1.92,0.056,46.85,275.0,414.0,689.0,
HumanEval/160,hybrid,cot:llama3-8b,3,15,0,18,0.167,93.0,,1.0,1.78,50.91,4.12,0.049,74.38,1790.0,2723.0,4513.0,
HumanEval/161,baseline,llama3-70b,9,1,0,10,0.9,100.0,,1.0,2.0,54.83,1.11,0.12,58.9,175.0,190.0,365.0,
HumanEval/161,hybrid,cot:llama3-8b,17,6,0,23,0.739,100.0,,1.0,1.91,38.45,3.79,0.063,74.89,1080.0,2412.0,3492.0,
HumanEval/162,baseline,llama3-70b,6,2,0,8,0.75,100.0,,1.0,1.88,56.61,1.91,0.054,56.57,144.0,313.0,457.0,
HumanEval/162,hybrid,cot:llama3-8b,0,0,1,1,0.0,,,1.0,1.7,66.74,8.73,0.046,76.03,1280.0,2856.0,4136.0,
HumanEval/163,baseline,llama3-70b,7,3,0,10,0.7,100.0,,1.0,1.7,55.0,2.18,0.033,50.75,172.0,412.0,584.0,
HumanEval/163,hybrid,cot:llama3-8b,1,3,0,4,0.25,54.0,,1.0,3.5,82.07,2.82,0.128,61.58,1195.0,1991.0,3186.0,
HumanEval/154,actor_critic,cot:gemma-27b/llama3-70b,8,7,0,15,0.533,93.0,,1.0,3.67,47.43,5.06,0.059,296.8,5653.0,1102.0,6755.0,
HumanEval/155,actor_critic,cot:gemma-27b/llama3-70b,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.09,0.039,291.87,0.0,0.0,0.0,
HumanEval/156,actor_critic,cot:gemma-27b/llama3-70b,0,0,0,0,0.0,18.0,,1.0,0.0,100.0,0.05,0.029,296.58,0.0,0.0,0.0,
HumanEval/157,actor_critic,cot:gemma-27b/llama3-70b,27,7,0,34,0.794,97.0,,1.0,1.8,70.09,10.09,0.239,2912.4,3596.0,650.0,4246.0,
HumanEval/158,actor_critic,cot:gemma-27b/llama3-70b,0,0,0,0,0.0,17.0,,1.0,0.0,100.0,0.07,0.027,208.38,0.0,0.0,0.0,
HumanEval/159,actor_critic,cot:gemma-27b/llama3-70b,23,9,0,32,0.719,100.0,,1.0,1.91,37.15,2.38,0.023,115.98,5370.0,799.0,6169.0,
HumanEval/160,actor_critic,cot:gemma-27b/llama3-70b,24,19,0,43,0.558,100.0,,1.0,1.58,32.77,4.38,0.011,123.14,6502.0,1224.0,7726.0,
HumanEval/161,actor_critic,cot:gemma-27b/llama3-70b,26,9,0,35,0.743,100.0,,1.0,4.0,98.9,2.58,0.03,86.87,3309.0,1031.0,4340.0,
HumanEval/162,actor_critic,cot:gemma-27b/llama3-70b,3,13,0,16,0.188,100.0,,1.0,1.62,56.56,3.64,0.052,110.35,3984.0,991.0,4975.0,
HumanEval/163,actor_critic,cot:gemma-27b/llama3-70b,14,14,0,28,0.5,100.0,,1.0,1.67,59.67,4.64,0.044,90.53,5031.0,851.0,5882.0,
HumanEval/139,cot,chatgpt-oss:zero_shot,11,4,0,15,0.733,100.0,,1.0,2.0,89.1,2.93,0.042,44.68,251.0,960.0,1211.0,
HumanEval/139,baseline,chatgpt-oss:zero_shot,18,4,0,22,0.818,95.0,,1.0,2.17,80.18,5.4,0.028,44.71,199.0,1541.0,1740.0,
HumanEval/139,few_shot,chatgpt-oss:zero_shot,0,0,1,1,0.0,,,1.0,1.75,87.18,5.07,0.046,45.82,373.0,2229.0,2602.0,
HumanEval/140,cot,chatgpt-oss:zero_shot,22,2,0,24,0.917,100.0,,1.0,1.5,99.2,3.57,0.027,45.21,262.0,937.0,1199.0,
HumanEval/140,baseline,chatgpt-oss:zero_shot,0,0,1,1,0.0,,,1.0,2.33,86.92,5.14,0.017,46.32,210.0,1477.0,1687.0,
HumanEval/140,few_shot,chatgpt-oss:zero_shot,0,0,1,1,0.0,,,1.0,2.27,72.43,8.71,0.026,47.94,384.0,2106.0,2490.0,
