task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,execution_time,generation_status,generation_error_type,generation_error_message,generation_attempts
HumanEval/157,hybrid,gemma-4-4b:scot,3,4,0,7,0.429,61.67,62.0,0.0,4.25,54.34,5.18,0.048,0,0,0,1.0,0.0,1583,1890,3473,82.84,ok,,,1
HumanEval/150,hybrid,gemma-4-4b:scot,0,0,1,1,0.0,,,0.0,0,0,0,0.132,0,0,0,1.0,0.0,585,2174,6335,124.62,ok,,,1
HumanEval/157,consensus,gemma-4-4b:scot,2,5,0,7,0.286,76.19,76.0,0.0,4.56,68.28,4.36,0.289,0,0,0,1.0,0.0,2688,2228,4916,191.38,ok,,,1
HumanEval/151,consensus,gemma-4-4b:few_shot,12,1,0,13,0.923,81.63,50.0,0.0,2.27,69.47,2.87,0.401,0,0,0,1.0,0.0,2195,683,2878,196.26,ok,,,1
HumanEval/142,baseline,gemma-4-4b:zero_shot,7,4,0,11,0.636,60.0,50.0,0.0,3.5,84.59,2.0,0.744,2,0,4,0.0,0.5,2585,2002,5950,41.67,ok,,,1
HumanEval/163,hybrid,gemma-4-4b:few_shot,9,0,0,9,1.0,86.49,100.0,0.0,2.08,74.15,3.73,0.366,10,2,3,0.0,0.733,559,788,1347,137.01,ok,,,1
HumanEval/148,adversarial,gemma-4-4b:few_shot,10,1,0,11,0.909,82.05,50.0,0.0,1.83,80.54,2.81,0.505,6,0,4,0.0,0.6,1228,2782,4010,29.55,ok,,,1
HumanEval/156,consensus,gemma-4-4b:zero_shot,0,0,0,0,0,15.38,0.0,0.0,4.0,89.5,1.11,0.483,0,0,0,1.0,0.0,5159,3730,9795,99.43,ok,,,1
HumanEval/154,hybrid,gemma-4-4b:few_shot,17,0,0,17,1.0,79.22,50.0,0.0,2.15,61.83,3.59,0.31,21,2,3,0.059,0.719,1025,1047,2072,56.76,ok,,,1
HumanEval/143,hybrid,gemma-4-4b:zero_shot,20,19,0,39,0.513,93.33,100.0,0.0,2.17,74.66,5.25,0.352,7,1,4,0.6,0.517,4431,4301,9837,53.54,ok,,,1
HumanEval/142,actor_critic,gemma-4-4b:zero_shot,6,5,0,11,0.545,60.0,50.0,0.0,3.5,84.59,2.0,0.683,1,0,4,0.0,0.475,1114,1308,8283,9.61,ok,,,1
HumanEval/158,actor_critic,gemma-4-4b:few_shot,7,1,0,8,0.875,80.77,66.67,0.0,2.67,73.29,2.67,0.447,10,2,3,0.0,0.733,891,512,1403,8.05,ok,,,1
HumanEval/149,consensus,gemma-4-4b:scot,0,0,0,0,0,21.74,0.0,0.0,3.0,84.01,1.1,0.789,0,0,0,1.0,0.0,3228,3120,8611,40.97,ok,,,1
HumanEval/153,baseline,gemma-4-4b:zero_shot,10,0,0,10,1.0,75.0,56.25,0.2,2.17,72.99,2.07,0.533,0,0,0,1.0,0.0,338,813,1151,10.86,ok,,,1
HumanEval/145,actor_critic,gemma-4-4b:zero_shot,9,3,0,12,0.75,78.0,50.0,0.0,2.0,68.73,2.2,0.341,0,0,0,1.0,0.0,957,749,1706,10.91,ok,,,1
HumanEval/152,actor_critic,gemma-4-4b:few_shot,8,0,0,8,1.0,96.67,100.0,0.0,2.11,78.67,2.77,0.6,13,2,4,0.0,0.783,1197,704,1901,10.43,ok,,,1
HumanEval/162,hybrid,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,2.04,43.37,5.45,0.041,0,0,0,1.0,0.0,2584,2960,38309,41.45,ok,,,1
HumanEval/157,hybrid,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,0,0,0,0.151,0,0,0,1.0,0.0,2357,3882,6239,52.6,ok,,,1
HumanEval/156,baseline,gemma-4-4b:few_shot,0,2,0,2,0.0,25.64,21.43,0.0,14.33,56.05,3.37,0.23,21,0,3,0.0,0.65,348,983,1331,13.02,ok,,,1
HumanEval/149,hybrid,gemma-4-4b:few_shot,0,0,0,0,0,26.67,0.0,0.0,2.0,55.9,1.05,0.761,0,0,0,1.0,0.0,1587,1847,4945,27.21,ok,,,1
HumanEval/162,adversarial,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,1.75,84.4,3.91,0.27,6,0,5,0.0,0.65,288,830,1118,14.86,ok,,,1
HumanEval/151,actor_critic,gemma-4-4b:scot,0,0,0,0,0,14.29,0.0,0.0,5.0,84.4,1.0,0.854,0,0,0,1.0,0.0,526,672,1198,9.96,ok,,,1
HumanEval/156,baseline,gemma-4-4b:scot,56,33,0,89,0.629,68.97,100.0,0.0,2.5,85.64,7.11,0.148,2,0,4,0.0,0.5,483,2867,4646,21.08,ok,,,1
HumanEval/140,adversarial,gemma-4-4b:zero_shot,12,9,0,21,0.571,72.41,25.0,0.0,2.0,81.6,3.43,0.341,7,1,4,0.0,0.667,621,1326,5768,14.0,ok,,,1
HumanEval/150,hybrid,gemma-4-4b:zero_shot,74,0,0,74,1.0,93.18,100.0,0.25,3.2,76.73,8.2,0.194,6,0,5,0.333,0.567,3339,1794,5133,61.82,ok,,,1
HumanEval/147,adversarial,gemma-4-4b:scot,0,0,0,0,0,12.0,0.0,0.0,6.0,82.2,1.24,0.691,0,0,0,1.0,0.0,0,0,0,15.44,ok,,,1
HumanEval/144,adversarial,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,0,0,0,0.238,0,0,0,1.0,0.0,418,2284,2702,32.92,ok,,,1
HumanEval/161,adversarial,gemma-4-4b:few_shot,16,5,0,21,0.762,86.42,66.67,0.0,2.08,60.91,4.0,0.242,21,3,3,0.0,0.775,516,1081,1597,17.96,ok,,,1
HumanEval/155,hybrid,gemma-4-4b:few_shot,11,1,0,12,0.917,89.06,75.0,0.0,2.47,64.73,5.45,0.202,19,3,3,0.0,0.775,1126,2560,3686,36.15,ok,,,1
HumanEval/139,actor_critic,gemma-4-4b:scot,0,0,0,0,0,10.34,0.0,0.0,5.0,91.04,1.4,0.678,0,0,0,1.0,0.0,458,887,1345,12.89,ok,,,1
HumanEval/159,consensus,gemma-4-4b:zero_shot,4,9,0,13,0.308,88.89,50.0,0.0,2.07,73.97,2.1,0.609,0,0,0,1.0,0.0,3868,4620,9927,51.32,ok,,,1
HumanEval/160,consensus,gemma-4-4b:zero_shot,0,0,1,1,0,,,0,0,0,0,0,0,0,0,1.0,0,596,1385,3136,20.86,error,unknown_error,[Errno -2] Name or service not known,1
HumanEval/141,adversarial,gemma-4-4b:scot,0,0,0,0,0,5.17,0.0,0.0,9.0,85.22,1.59,0.759,0,0,0,1.0,0.0,651,1460,2111,22.34,ok,,,1
HumanEval/144,hybrid,gemma-4-4b:few_shot,28,1,0,29,0.966,96.51,100.0,0.0,2.03,49.8,6.92,0.251,0,0,0,1.0,0.0,2030,3263,5293,46.86,ok,,,1
HumanEval/162,adversarial,gemma-4-4b:scot,0,0,0,0,0,17.65,0.0,0.0,2.0,100.0,1.0,0.692,0,0,0,1.0,0.0,367,895,1262,15.39,ok,,,1
HumanEval/160,hybrid,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,0,0,0,0.259,0,0,0,1.0,0.0,2587,4091,6678,55.45,ok,,,1
HumanEval/146,baseline,gemma-4-4b:scot,0,0,0,0,0,12.0,0.0,0.0,6.0,89.55,1.15,0.699,0,0,0,1.0,0.0,1577,2264,5903,10.16,ok,,,1
HumanEval/156,actor_critic,gemma-4-4b:few_shot,3,2,0,5,0.6,82.35,100.0,0.0,8.5,53.19,4.11,0.188,38,1,4,0.0,0.742,8640,5199,15886,64.58,ok,,,1
HumanEval/148,hybrid,gemma-4-4b:scot,10,1,0,11,0.909,76.67,66.67,0.0,2.67,86.21,2.43,0.629,3,0,4,0.5,0.4,1461,2406,3867,34.36,ok,,,1
HumanEval/152,consensus,gemma-4-4b:scot,0,0,0,0,0,30.0,0.0,0.0,2.0,79.74,0.38,0.143,0,0,0,1.0,0.0,2729,1486,4215,36.86,ok,,,1
HumanEval/146,adversarial,gemma-4-4b:few_shot,10,3,0,13,0.769,67.06,60.0,0.0,3.81,53.89,5.92,0.244,38,2,3,0.0,0.733,766,2139,2905,22.04,ok,,,1
HumanEval/142,consensus,gemma-4-4b:few_shot,2,10,0,12,0.167,75.44,50.0,0.0,2.29,63.93,2.37,0.485,0,0,0,1.0,0.0,2614,1017,3631,53.51,ok,,,1
HumanEval/141,consensus,gemma-4-4b:scot,30,8,0,38,0.789,48.39,34.62,0.0,6.0,74.52,3.68,0.493,2,1,4,0.0,0.542,3351,3366,6717,51.43,ok,,,1
HumanEval/153,adversarial,gemma-4-4b:few_shot,17,0,0,17,1.0,80.95,57.14,0.2,2.1,66.35,2.96,0.416,19,2,3,0.0,0.733,854,1511,2365,26.7,ok,,,1
HumanEval/141,consensus,gemma-4-4b:zero_shot,19,9,0,28,0.679,48.39,34.62,0.0,6.0,76.92,3.23,0.508,2,0,4,0.0,0.5,3286,3171,6457,48.82,ok,,,1
HumanEval/156,actor_critic,gemma-4-4b:zero_shot,52,11,0,63,0.825,72.73,100.0,0.0,2.0,75.85,5.0,0.236,4,1,5,0.0,0.642,1235,2401,3636,31.61,ok,,,1
HumanEval/145,adversarial,gemma-4-4b:few_shot,11,6,0,17,0.647,84.06,66.67,0.0,2.0,65.26,3.3,0.243,17,2,3,0.0,0.733,542,1112,1654,18.1,ok,,,1
HumanEval/156,adversarial,gemma-4-4b:zero_shot,53,6,0,59,0.898,72.73,100.0,0.0,2.0,75.85,5.0,0.243,4,1,5,0.0,0.642,346,1512,1858,23.35,ok,,,1
HumanEval/141,actor_critic,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,0,0,0,0.298,0,0,0,1.0,0.0,13869,9581,24435,114.84,ok,,,1
HumanEval/154,consensus,gemma-4-4b:zero_shot,20,6,0,26,0.769,52.94,33.33,0.0,2.5,87.25,2.94,0.409,2,1,4,0.0,0.542,3056,3227,8485,41.43,ok,,,1
HumanEval/140,hybrid,gemma-4-4b:zero_shot,23,13,0,36,0.639,90.0,85.71,0.0,2.57,62.93,7.93,0.23,8,0,5,0.5,0.575,2451,3120,5571,43.28,ok,,,1
HumanEval/143,actor_critic,gemma-4-4b:few_shot,5,6,0,11,0.455,94.44,100.0,0.0,2.25,73.7,2.75,0.443,13,1,3,0.0,0.692,3003,1573,4576,22.96,ok,,,1
HumanEval/156,hybrid,gemma-4-4b:scot,1,6,0,7,0.143,67.53,100.0,0.0,5.22,56.55,3.79,0.201,0,0,0,1.0,0.0,3192,3709,6901,51.18,ok,,,1
HumanEval/159,consensus,gemma-4-4b:scot,10,4,0,14,0.714,87.8,0.0,0.0,2.06,74.17,2.0,0.612,0,0,0,1.0,0.0,3622,3330,6952,50.93,ok,,,1
HumanEval/160,consensus,gemma-4-4b:scot,0,0,0,0,0,8.57,0.0,0.0,7.0,57.85,0.54,0.068,0,0,0,1.0,0.0,3987,1361,5348,56.58,ok,,,1
HumanEval/143,adversarial,gemma-4-4b:zero_shot,18,18,0,36,0.5,92.31,100.0,0.0,2.25,78.04,4.4,0.378,2,0,4,0.667,0.333,430,1143,1573,18.69,ok,,,1
HumanEval/162,actor_critic,gemma-4-4b:few_shot,2,5,0,7,0.286,77.42,50.0,0.0,2.0,81.23,2.27,0.396,7,1,3,0.0,0.617,879,534,1413,8.46,ok,,,1
HumanEval/152,adversarial,gemma-4-4b:zero_shot,13,0,0,13,1.0,96.0,100.0,0.0,2.0,86.09,4.15,0.537,5,0,5,0.333,0.542,584,1217,1801,22.18,ok,,,1
HumanEval/144,consensus,gemma-4-4b:scot,0,0,1,1,0.0,,,0.0,9.25,51.21,3.0,0.023,34,0,3,0.0,0.65,3203,4677,9511,45.01,ok,,,1
HumanEval/144,baseline,gemma-4-4b:zero_shot,35,3,0,38,0.921,87.5,88.0,0.0,1.75,78.76,6.0,0.356,4,0,4,0.667,0.383,208,995,1203,13.15,ok,,,1
HumanEval/144,hybrid,gemma-4-4b:scot,13,0,0,13,1.0,92.68,93.0,0.0,2.0,70.57,3.46,0.428,0,0,0,1.0,0.0,1133,2610,3743,37.33,ok,,,1
HumanEval/145,adversarial,gemma-4-4b:scot,0,0,0,0,0,12.5,0.0,0.0,1.0,92.97,0.9,0.635,0,0,0,1.0,0.0,445,1134,1579,18.25,ok,,,1
HumanEval/153,actor_critic,gemma-4-4b:few_shot,8,1,0,9,0.889,73.02,56.25,0.0,2.4,76.1,1.89,0.537,12,2,3,0.0,0.733,1335,1045,2380,14.45,ok,,,1
HumanEval/140,baseline,gemma-4-4b:few_shot,5,4,0,9,0.556,86.67,75.0,0.0,2.2,74.02,3.0,0.404,9,1,3,0.0,0.667,345,445,790,6.38,ok,,,1
HumanEval/150,consensus,gemma-4-4b:few_shot,3,0,0,3,1.0,95.08,100.0,0.0,12.0,55.33,5.7,0.234,0,0,0,1.0,0.0,2894,3471,6365,52.5,ok,,,1
HumanEval/162,actor_critic,gemma-4-4b:scot,0,0,0,0,0,17.65,0.0,0.0,2.0,100.0,1.0,0.692,0,0,0,1.0,0.0,390,673,1063,10.03,ok,,,1
HumanEval/152,baseline,gemma-4-4b:few_shot,6,0,0,6,1.0,95.83,100.0,0.0,1.86,86.24,2.31,0.695,9,2,4,0.0,0.758,467,554,1021,7.74,ok,,,1
HumanEval/156,consensus,gemma-4-4b:few_shot,0,0,0,0,0,15.38,0.0,0.0,4.0,89.5,1.11,0.483,0,0,0,1.0,0.0,6353,7072,19614,75.1,ok,,,1
HumanEval/144,actor_critic,gemma-4-4b:scot,0,0,1,1,0.0,,,0.0,1.89,67.28,8.31,0.305,15,0,4,0.875,0.481,2518,2393,4911,33.13,ok,,,1
HumanEval/163,baseline,gemma-4-4b:scot,0,0,0,0,0,16.67,0.0,0.0,4.0,92.96,1.45,0.806,0,0,0,1.0,0.0,244,658,902,8.93,ok,,,1
HumanEval/161,baseline,gemma-4-4b:few_shot,6,2,0,8,0.75,75.0,60.0,0.0,2.22,79.04,1.89,0.416,8,1,3,0.0,0.642,345,404,749,5.91,ok,,,1
HumanEval/161,baseline,gemma-4-4b:scot,0,0,0,0,0,10.71,0.0,0.0,4.0,89.78,1.05,0.756,0,0,0,1.0,0.0,248,511,759,7.24,ok,,,1
HumanEval/151,adversarial,gemma-4-4b:scot,0,0,0,0,0,14.29,0.0,0.0,5.0,84.4,1.0,0.854,0,0,0,1.0,0.0,489,989,1478,16.69,ok,,,1
HumanEval/162,baseline,gemma-4-4b:zero_shot,5,5,0,10,0.5,73.08,50.0,0.0,2.0,83.98,2.82,0.336,5,1,4,0.0,0.617,143,510,653,7.08,ok,,,1
HumanEval/150,baseline,gemma-4-4b:scot,8,1,0,9,0.889,92.31,100.0,0.0,3.64,69.13,7.0,0.172,0,0,0,1.0,0.0,461,1891,4179,15.44,ok,,,1
HumanEval/158,adversarial,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,2.33,65.78,3.33,0.386,0,0,0,1.0,0.0,1060,2061,10521,15.49,ok,,,1
HumanEval/143,adversarial,gemma-4-4b:scot,0,0,0,0,0,10.34,0.0,0.0,3.0,83.84,1.5,0.772,0,0,0,1.0,0.0,1060,2061,10521,16.98,ok,,,1
HumanEval/148,consensus,gemma-4-4b:zero_shot,8,2,0,10,0.8,85.11,66.67,0.0,2.08,76.36,2.33,0.584,9,0,3,0.0,0.625,2743,2209,4952,45.56,ok,,,1
HumanEval/145,baseline,gemma-4-4b:scot,3,5,0,8,0.375,73.17,50.0,0.0,1.89,76.85,1.75,0.42,8,1,3,0.0,0.642,261,567,828,7.74,ok,,,1
HumanEval/143,consensus,gemma-4-4b:zero_shot,0,0,0,0,0,10.34,0.0,0.0,3.0,85.1,1.5,0.794,0,0,0,1.0,0.0,4243,3432,9219,39.74,ok,,,1
HumanEval/150,actor_critic,gemma-4-4b:zero_shot,37,0,0,37,1.0,91.18,100.0,0.25,2.33,82.69,7.4,0.072,6,0,4,0.8,0.4,7140,5644,46755,55.86,ok,,,1
HumanEval/141,baseline,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,0,0,0,0.296,0,0,0,1.0,0.0,506,4106,5380,26.06,ok,,,1
HumanEval/156,consensus,gemma-4-4b:scot,0,0,0,0,0,12.0,0.0,0.0,4.0,62.45,0.58,0.097,0,0,0,1.0,0.0,4661,1683,6344,68.32,ok,,,1
HumanEval/140,consensus,gemma-4-4b:scot,8,6,0,14,0.571,57.89,25.0,0.0,2.0,96.66,2.57,0.469,2,0,4,0.0,0.5,2364,2545,4909,32.5,ok,,,1
HumanEval/152,consensus,gemma-4-4b:few_shot,0,0,0,0,0,30.0,0.0,0.0,2.0,79.74,0.38,0.143,0,0,0,1.0,0.0,1998,49,2047,34.71,ok,,,1
HumanEval/155,actor_critic,gemma-4-4b:few_shot,0,0,0,0,0,13.04,0.0,0.0,3.0,94.06,1.45,0.53,0,0,0,1.0,0.0,503,536,1039,8.1,ok,,,1
HumanEval/162,hybrid,gemma-4-4b:few_shot,15,8,0,23,0.652,90.67,66.67,0.0,2.0,55.04,6.27,0.169,21,2,3,0.0,0.733,2228,2944,5172,40.7,ok,,,1
HumanEval/159,hybrid,gemma-4-4b:scot,3,7,0,10,0.3,73.68,50.0,0.0,2.0,91.31,1.66,0.728,2,0,4,0.0,0.5,1675,2667,4342,37.41,ok,,,1
HumanEval/162,hybrid,gemma-4-4b:scot,2,2,0,4,0.5,72.0,50.0,0.0,2.0,89.27,1.73,0.416,4,1,3,0.0,0.542,792,1894,2686,27.82,ok,,,1
HumanEval/145,actor_critic,gemma-4-4b:scot,0,0,0,0,0,12.5,0.0,0.0,1.0,92.97,0.9,0.635,0,0,0,1.0,0.0,497,708,1205,10.38,ok,,,1
HumanEval/147,baseline,gemma-4-4b:scot,0,0,0,0,0,12.0,0.0,0.0,6.0,82.2,1.24,0.691,0,0,0,1.0,0.0,658,1628,2286,7.67,ok,,,1
HumanEval/141,actor_critic,gemma-4-4b:scot,58,8,0,66,0.879,49.21,34.62,0.0,6.0,72.5,5.0,0.353,2,1,4,0.0,0.542,2817,3047,5864,46.14,ok,,,1
HumanEval/155,hybrid,gemma-4-4b:zero_shot,26,10,0,36,0.722,82.05,66.67,0.0,2.17,68.96,7.36,0.208,7,0,4,0.6,0.475,2050,1907,3957,40.33,ok,,,1
HumanEval/160,actor_critic,gemma-4-4b:few_shot,4,8,0,12,0.333,84.71,90.0,0.0,3.31,64.76,3.04,0.393,30,2,4,0.0,0.783,4208,3105,7313,41.85,ok,,,1
HumanEval/146,consensus,gemma-4-4b:scot,0,0,0,0,0,15.38,0.0,0.0,5.0,91.92,1.23,0.715,0,0,0,1.0,0.0,2938,2563,5501,40.81,ok,,,1
HumanEval/153,consensus,gemma-4-4b:zero_shot,0,0,0,0,0,6.82,0.0,0.0,6.0,59.46,0.59,0.059,0,0,0,1.0,0.0,3624,2715,6339,43.1,ok,,,1
HumanEval/150,baseline,gemma-4-4b:zero_shot,43,2,0,45,0.956,90.32,100.0,0.0,2.5,73.84,7.3,0.281,3,1,4,0.5,0.442,150,1070,1220,13.99,ok,,,1
HumanEval/146,hybrid,gemma-4-4b:few_shot,1,9,0,10,0.1,53.06,0.0,0.0,2.23,74.45,3.46,0.39,11,2,3,0.0,0.733,1348,2105,3453,30.4,ok,,,1
HumanEval/147,actor_critic,gemma-4-4b:scot,0,0,0,0,0,12.0,0.0,0.0,6.0,82.2,1.24,0.691,0,0,0,1.0,0.0,632,768,1400,11.14,ok,,,1
HumanEval/152,adversarial,gemma-4-4b:few_shot,14,2,0,16,0.875,69.23,50.0,0.0,1.8,84.62,4.31,0.499,3,0,4,0.5,0.4,659,1158,1817,19.85,ok,,,1
HumanEval/154,adversarial,gemma-4-4b:scot,0,0,0,0,0,8.82,0.0,0.0,4.0,93.81,1.06,0.847,0,0,0,1.0,0.0,258,1042,1300,19.7,ok,,,1
HumanEval/140,baseline,gemma-4-4b:scot,5,6,0,11,0.455,78.95,25.0,0.0,2.0,77.72,2.64,0.398,11,1,3,0.0,0.692,248,481,729,6.85,ok,,,1
HumanEval/141,hybrid,gemma-4-4b:zero_shot,15,22,0,37,0.405,60.0,37.5,0.0,3.17,68.57,4.82,0.38,6,0,4,0.8,0.4,2454,1176,3630,49.24,ok,,,1
HumanEval/142,consensus,gemma-4-4b:zero_shot,4,5,0,9,0.444,72.55,50.0,0.0,2.36,69.22,2.05,0.582,0,0,0,1.0,0.0,3985,2960,8580,45.56,ok,,,1
HumanEval/141,hybrid,gemma-4-4b:few_shot,10,3,0,13,0.769,66.36,39.29,0.0,3.41,54.73,3.95,0.359,5,2,3,0.0,0.608,1647,1176,2823,44.53,ok,,,1
HumanEval/145,hybrid,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,0,0,0,0.174,0,0,0,1.0,0.0,2611,4345,8760,52.46,ok,,,1
HumanEval/144,hybrid,gemma-4-4b:zero_shot,29,8,0,37,0.784,90.0,90.0,0.0,1.83,76.95,7.0,0.332,6,0,4,0.8,0.4,2344,3006,5350,41.81,ok,,,1
HumanEval/150,hybrid,gemma-4-4b:few_shot,15,0,0,15,1.0,62.2,25.0,0.25,2.0,61.48,7.7,0.194,11,2,3,0.0,0.733,1971,4190,7777,34.76,ok,,,1
HumanEval/147,baseline,gemma-4-4b:few_shot,7,0,0,7,1.0,84.62,80.0,0.0,2.5,80.23,2.06,0.509,7,1,3,0.0,0.617,1071,714,3356,7.05,ok,,,1
HumanEval/159,actor_critic,gemma-4-4b:scot,0,0,0,0,0,20.0,0.0,0.0,2.0,46.83,1.03,0.905,0,0,0,1.0,0.0,826,1063,1889,14.75,ok,,,1
HumanEval/146,consensus,gemma-4-4b:few_shot,0,0,0,0,0,12.0,0.0,0.0,5.0,91.92,1.15,0.723,0,0,0,1.0,0.0,2334,212,2546,40.2,ok,,,1
HumanEval/156,hybrid,gemma-4-4b:few_shot,10,3,0,13,0.769,75.63,100.0,0.0,5.62,39.55,6.0,0.138,53,2,3,0.0,0.733,5147,6790,16080,61.29,ok,,,1
HumanEval/158,actor_critic,gemma-4-4b:scot,0,0,0,0,0,9.09,0.0,0.0,6.0,90.89,1.4,0.699,0,0,0,1.0,0.0,512,628,1140,9.57,ok,,,1
HumanEval/146,actor_critic,gemma-4-4b:scot,8,1,0,9,0.889,79.55,60.0,0.0,2.4,74.56,2.62,0.409,9,1,3,0.0,0.667,1660,1546,3206,22.45,ok,,,1
HumanEval/142,hybrid,gemma-4-4b:few_shot,7,1,0,8,0.875,76.92,57.14,0.0,2.91,64.13,2.79,0.53,13,3,3,0.0,0.775,1616,3481,6836,39.77,ok,,,1
HumanEval/148,actor_critic,gemma-4-4b:scot,6,2,0,8,0.75,84.09,66.67,0.0,2.22,78.28,2.19,0.633,8,0,4,0.0,0.65,2377,2564,7098,25.04,ok,,,1
HumanEval/157,hybrid,gemma-4-4b:few_shot,12,3,0,15,0.8,88.24,83.33,0.0,3.1,52.07,7.91,0.185,0,0,0,1.0,0.0,1575,2698,4273,47.57,ok,,,1
HumanEval/153,consensus,gemma-4-4b:few_shot,0,0,0,0,0,6.0,0.0,0.0,6.0,56.34,0.74,0.067,0,0,0,1.0,0.0,4419,2667,8447,45.84,ok,,,1
HumanEval/153,hybrid,gemma-4-4b:zero_shot,8,10,0,18,0.444,66.67,62.5,0.0,4.0,84.52,2.04,0.526,2,0,4,0.0,0.5,2381,2578,4959,36.55,ok,,,1
HumanEval/143,hybrid,gemma-4-4b:scot,4,7,0,11,0.364,90.91,100.0,0.0,2.5,87.87,2.45,0.569,2,0,4,0.0,0.5,1211,2235,3446,32.18,ok,,,1
HumanEval/147,hybrid,gemma-4-4b:zero_shot,7,15,0,22,0.318,85.71,80.0,0.0,2.62,75.11,3.41,0.428,9,1,4,0.0,0.717,2062,2250,4312,32.6,ok,,,1
HumanEval/147,baseline,gemma-4-4b:zero_shot,6,4,0,10,0.6,85.71,80.0,0.0,2.25,74.5,2.65,0.44,10,0,3,0.0,0.65,235,633,868,8.66,ok,,,1
HumanEval/145,hybrid,gemma-4-4b:few_shot,25,8,0,33,0.758,85.9,66.67,0.0,1.96,60.13,4.45,0.219,22,3,4,0.0,0.825,3246,5485,14534,44.84,ok,,,1
HumanEval/163,adversarial,gemma-4-4b:scot,0,0,0,0,0,18.75,0.0,0.0,3.0,94.23,1.45,0.737,0,0,0,1.0,0.0,411,1632,2043,24.32,ok,,,1
HumanEval/152,actor_critic,gemma-4-4b:scot,0,0,0,0,0,30.0,0.0,0.0,2.0,80.01,1.23,0.929,0,0,0,1.0,0.0,678,937,1615,13.25,ok,,,1
HumanEval/150,consensus,gemma-4-4b:zero_shot,4,0,0,4,1.0,94.23,100.0,0.25,7.5,60.85,4.8,0.274,0,0,0,1.0,0.0,3000,4459,8920,46.76,ok,,,1
HumanEval/143,consensus,gemma-4-4b:scot,0,0,0,0,0,13.33,0.0,0.0,3.0,84.42,1.55,0.767,0,0,0,1.0,0.0,3008,2602,5610,41.85,ok,,,1
HumanEval/144,actor_critic,gemma-4-4b:few_shot,3,1,0,4,0.75,79.07,79.0,0.0,6.0,68.13,3.62,0.397,36,0,3,0.0,0.65,1504,2241,19620,16.47,ok,,,1
HumanEval/144,adversarial,gemma-4-4b:scot,0,0,0,0,0,23.08,23.0,0.0,1.0,94.39,1.31,0.769,0,0,0,1.0,0.0,497,1193,1690,19.09,ok,,,1
