task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/148,hybrid,gemma-31b:cot,30,0,0,30,1.0,100.0,100.0,0.25,5.5,71.87,3.14,0.044,24,3,4,0.0,0.825,2315,2230,7548
HumanEval/157,soa,gemma-31b:cot,17,4,0,21,0.81,100.0,100.0,1.0,2.0,98.42,3.27,0.073,4,0,4,0.0,0.55,750,2225,5765
HumanEval/139,actor_critic,gemma-31b:zero_shot,10,1,0,11,0.909,85.11,75.0,1.0,1.62,76.56,3.33,0.147,10,2,5,0.0,0.833,1512,2227,8294
HumanEval/150,consensus,gemma-31b:scot,33,0,0,33,1.0,100.0,100.0,0.5,5.5,84.42,5.7,0.04,14,2,4,0.0,0.783,1902,1029,4606
HumanEval/151,adversarial,gemma-31b:zero_shot,22,0,0,22,1.0,70.0,50.0,0.167,3.0,85.46,3.33,0.163,2,0,4,0.0,0.5,620,2100,8462
HumanEval/155,atomic_swarm,gemma-31b:zero_shot,3,0,0,3,1.0,100.0,100.0,0.4,2.0,69.94,0.73,0.154,2,1,3,0.333,0.408,123,34,1114
HumanEval/139,self_healing,gemma-31b:scot,0,0,0,0,0.0,19.05,0.0,1.0,3.0,92.44,1.13,0.739,0,0,0,1.0,0.0,890,681,5209
HumanEval/161,actor_critic,gemma-31b:zero_shot,17,0,0,17,1.0,59.26,33.33,0.0,3.33,92.78,2.21,0.275,5,1,4,0.0,0.617,565,2,1739
HumanEval/155,baseline,gemma-31b:scot,11,0,0,11,1.0,100.0,100.0,0.4,2.0,100.0,1.82,0.112,2,0,4,0.0,0.5,848,1424,6163
HumanEval/142,hybrid,gemma-31b:zero_shot,12,0,0,12,1.0,72.0,50.0,0.0,2.57,72.24,3.68,0.252,0,0,0,1.0,0.0,3239,3274,9220
HumanEval/148,adversarial,gemma-31b:zero_shot,29,0,0,29,1.0,83.33,50.0,0.0,2.5,72.12,3.14,0.096,0,0,0,1.0,0.0,1022,2993,11399
HumanEval/157,consensus,gemma-31b:cot,29,7,0,36,0.806,100.0,100.0,1.0,3.33,89.05,5.0,0.033,16,0,4,0.0,0.7,4142,1978,9649
HumanEval/146,actor_critic,gemma-31b:cot,14,0,0,14,1.0,100.0,100.0,0.5,2.4,75.67,4.46,0.069,14,1,4,0.0,0.742,1020,2,2596
HumanEval/158,hybrid,gemma-31b:zero_shot,22,0,0,22,1.0,70.59,33.33,0.0,2.29,83.63,4.2,0.183,0,0,0,1.0,0.0,4322,3011,11790
HumanEval/146,baseline,gemma-31b:scot,21,0,0,21,1.0,100.0,100.0,0.5,2.0,100.0,2.85,0.041,2,0,4,0.0,0.5,708,2859,6345
HumanEval/146,baseline,gemma-31b:few_shot,9,0,0,9,1.0,100.0,100.0,0.5,2.22,79.02,3.0,0.097,11,1,3,0.0,0.692,837,752,5577
HumanEval/142,adversarial,gemma-31b:scot,10,0,0,10,1.0,100.0,100.0,0.6,2.33,72.92,3.37,0.031,9,2,4,0.0,0.758,862,2013,14279
HumanEval/162,competitive,gemma-31b:zero_shot,0,0,1,1,0.0,,,1.0,2.38,63.26,3.64,0.114,7,1,4,0.0,0.667,152,630,1197
HumanEval/145,soa,gemma-31b:few_shot,0,0,1,1,0.0,,,1.0,2.0,80.31,2.85,0.04,2,1,4,0.0,0.542,182,1085,5388
HumanEval/149,competitive,gemma-31b:scot,11,0,0,11,1.0,100.0,100.0,1.0,2.0,100.0,1.48,0.028,2,0,4,0.0,0.5,440,1387,3357
HumanEval/160,consensus,gemma-31b:zero_shot,41,0,0,41,1.0,100.0,100.0,0.0,3.75,83.43,2.65,0.047,16,1,4,0.0,0.742,3430,1604,11182
HumanEval/163,swarm,gemma-31b:few_shot,3,0,0,3,1.0,100.0,100.0,0.75,2.0,79.74,0.82,0.116,2,0,4,0.0,0.5,672,273,4217
HumanEval/150,adversarial,gemma-31b:zero_shot,28,0,0,28,1.0,89.29,100.0,0.25,2.75,81.08,6.2,0.207,9,0,4,0.0,0.675,139,909,1567
HumanEval/153,actor_critic,gemma-31b:few_shot,10,1,0,11,0.909,97.67,83.33,1.0,2.0,69.92,2.3,0.05,17,2,3,0.0,0.733,1089,2,3651
HumanEval/158,baseline,gemma-31b:zero_shot,13,2,0,15,0.867,96.15,100.0,1.0,2.5,90.37,2.67,0.129,10,1,5,0.0,0.792,670,2978,6195
HumanEval/154,baseline,gemma-31b:scot,26,2,0,28,0.929,100.0,100.0,1.0,2.0,86.56,3.47,0.036,4,0,4,0.0,0.55,493,2360,4905
HumanEval/162,swarm,gemma-31b:zero_shot,1,0,0,1,1.0,61.54,50.0,0.25,2.0,81.86,0.36,0.124,1,1,3,0.0,0.467,560,770,4009
HumanEval/147,soa,gemma-31b:cot,14,2,0,16,0.875,100.0,100.0,1.0,2.2,82.75,3.35,0.057,7,0,4,0.0,0.625,736,1462,7120
HumanEval/153,competitive,gemma-31b:scot,17,0,0,17,1.0,96.67,83.33,0.4,2.0,86.7,1.15,0.056,10,0,4,0.0,0.7,347,547,1863
HumanEval/147,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,16.67,0.0,1.0,1.0,53.58,1.82,0.552,0,0,0,1.0,0.0,2028,742,15851
HumanEval/146,adversarial,gemma-31b:zero_shot,13,0,0,13,1.0,67.65,60.0,0.0,3.33,85.42,4.08,0.232,4,0,4,0.0,0.55,172,840,1809
HumanEval/146,consensus,gemma-31b:zero_shot,55,0,0,55,1.0,100.0,100.0,0.5,2.0,100.0,5.08,0.066,2,0,4,0.0,0.5,2403,995,6130
HumanEval/140,coa,gemma-31b:few_shot,8,1,0,9,0.889,100.0,100.0,1.0,1.89,72.9,2.07,0.061,11,2,4,0.0,0.783,626,1998,8269
HumanEval/144,competitive,gemma-31b:few_shot,21,0,0,21,1.0,100.0,100.0,0.25,2.0,81.86,2.0,0.057,2,0,4,0.0,0.5,716,1572,4502
HumanEval/139,soa,gemma-31b:cot,9,1,0,10,0.9,94.12,100.0,1.0,1.8,79.7,2.73,0.066,8,1,5,0.0,0.742,148,487,1185
HumanEval/162,soa,gemma-31b:cot,0,0,1,1,0.0,,,1.0,2.17,72.03,3.91,0.079,8,2,5,0.0,0.783,723,1900,5028
HumanEval/145,self_healing,gemma-31b:scot,0,0,0,0,0.0,20.0,0.0,1.0,2.0,100.0,0.55,0.729,0,0,0,1.0,0.0,1270,161,5841
HumanEval/145,competitive,gemma-31b:few_shot,16,8,0,24,0.667,100.0,100.0,1.0,2.0,93.15,2.3,0.069,2,0,4,0.0,0.5,690,2238,12110
HumanEval/163,soa,gemma-31b:zero_shot,15,0,0,15,1.0,100.0,100.0,0.75,3.0,91.14,2.45,0.05,6,0,4,0.0,0.6,627,504,3193
HumanEval/158,actor_critic,gemma-31b:few_shot,14,2,0,16,0.875,100.0,100.0,1.0,2.12,82.1,3.2,0.064,10,3,4,0.0,0.825,3915,3240,13599
HumanEval/140,consensus,gemma-31b:cot,34,1,0,35,0.971,100.0,100.0,1.0,2.0,100.0,3.29,0.014,2,0,4,0.0,0.5,1216,580,4249
HumanEval/152,swarm,gemma-31b:few_shot,1,0,0,1,1.0,100.0,100.0,0.0,2.0,81.86,0.31,0.093,1,1,3,0.0,0.467,659,910,3418
HumanEval/142,hybrid,gemma-31b:few_shot,0,0,0,0,0.0,17.65,0.0,1.0,1.0,100.0,0.42,0.099,0,0,0,1.0,0.0,3758,6853,21653
HumanEval/153,consensus,gemma-31b:cot,16,0,0,16,1.0,98.21,83.33,0.2,2.83,66.19,2.41,0.054,33,2,4,0.0,0.783,2836,1545,6590
HumanEval/151,coa,gemma-31b:zero_shot,5,4,0,9,0.556,100.0,100.0,1.0,2.0,81.04,1.93,0.064,8,1,3,0.111,0.614,410,294,1840
HumanEval/154,adversarial,gemma-31b:scot,28,0,0,28,1.0,100.0,100.0,0.5,2.0,86.5,3.53,0.046,4,0,4,0.0,0.55,258,1296,2262
HumanEval/155,consensus,gemma-31b:zero_shot,26,0,0,26,1.0,100.0,100.0,0.4,2.0,100.0,2.82,0.021,2,0,4,0.0,0.5,1114,1667,5153
HumanEval/163,consensus,gemma-31b:zero_shot,26,0,0,26,1.0,100.0,100.0,0.75,3.0,90.31,3.55,0.039,5,0,4,0.0,0.575,2045,1306,5836
HumanEval/145,self_healing,gemma-31b:few_shot,0,0,0,0,0.0,13.64,0.0,1.0,1.0,82.41,1.05,0.571,0,0,0,1.0,0.0,1789,697,9305
HumanEval/154,consensus,gemma-31b:zero_shot,45,0,0,45,1.0,100.0,100.0,0.5,3.33,77.97,4.0,0.048,6,0,4,0.0,0.6,4965,2574,18503
HumanEval/148,atomic_swarm,gemma-31b:zero_shot,3,0,0,3,1.0,100.0,100.0,0.25,2.0,69.94,0.38,0.012,5,0,3,0.0,0.525,262,27,550
HumanEval/162,coa,gemma-31b:scot,8,0,0,8,1.0,100.0,100.0,0.25,1.88,72.47,2.82,0.094,3,1,4,0.125,0.535,1146,1902,16120
HumanEval/150,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,16.67,0.0,1.0,4.0,95.04,1.3,0.728,0,0,0,1.0,0.0,653,153,2347
HumanEval/144,adversarial,gemma-31b:scot,28,0,0,28,1.0,100.0,100.0,0.25,3.0,87.03,5.15,0.061,11,0,4,0.0,0.7,497,1769,4868
HumanEval/147,soa,gemma-31b:scot,16,2,0,18,0.889,100.0,100.0,1.0,2.33,83.38,2.88,0.059,7,0,4,0.0,0.625,677,1080,6555
HumanEval/162,atomic_swarm,gemma-31b:cot,2,0,0,2,1.0,94.12,100.0,0.25,2.0,69.94,0.73,0.29,2,1,3,0.333,0.408,139,29,1440
HumanEval/153,atomic_swarm,gemma-31b:few_shot,3,0,0,3,1.0,92.31,66.67,0.6,2.0,68.83,0.33,0.076,5,0,3,0.0,0.525,334,63,2867
HumanEval/162,hybrid,gemma-31b:cot,22,0,0,22,1.0,100.0,100.0,0.25,2.25,59.72,6.82,0.06,0,0,0,1.0,0.0,2744,2360,41136
HumanEval/159,coa,gemma-31b:cot,9,0,0,9,1.0,100.0,100.0,0.2,2.33,80.27,1.38,0.026,12,1,3,0.0,0.692,1345,1268,4695
HumanEval/153,baseline,gemma-31b:cot,12,0,0,12,1.0,97.62,83.33,0.4,2.44,76.84,2.15,0.03,17,0,4,0.0,0.7,396,1028,2073
HumanEval/145,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,17.65,0.0,1.0,1.0,100.0,0.75,0.642,0,0,0,1.0,0.0,1512,219,6767
HumanEval/155,actor_critic,gemma-31b:zero_shot,18,0,0,18,1.0,76.67,66.67,0.0,2.67,83.94,4.45,0.323,3,0,4,0.0,0.525,883,155,3921
HumanEval/163,competitive,gemma-31b:scot,23,0,0,23,1.0,100.0,100.0,0.75,2.0,100.0,3.09,0.011,2,0,4,0.0,0.5,930,2285,10923
HumanEval/155,soa,gemma-31b:few_shot,16,0,0,16,1.0,100.0,100.0,0.4,2.0,81.86,1.91,0.132,2,0,4,0.0,0.5,239,277,1716
HumanEval/148,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,15.0,0.0,1.0,3.0,76.49,1.19,0.857,0,0,0,1.0,0.0,1038,352,3214
HumanEval/142,baseline,gemma-31b:scot,9,0,0,9,1.0,100.0,100.0,0.4,2.12,75.21,2.84,0.036,9,2,4,0.0,0.758,1270,3275,12327
HumanEval/158,swarm,gemma-31b:scot,3,0,0,3,1.0,100.0,100.0,0.333,2.0,76.44,1.87,0.063,1,0,3,0.0,0.425,761,767,3720
HumanEval/141,coa,gemma-31b:scot,6,3,0,9,0.667,100.0,100.0,1.0,3.11,72.48,2.0,0.042,17,1,3,0.0,0.692,287,142,5879
HumanEval/141,self_healing,gemma-31b:scot,0,0,0,0,0.0,6.67,0.0,1.0,8.0,82.88,1.41,0.547,0,0,0,1.0,0.0,4304,5617,16441
HumanEval/147,consensus,gemma-31b:zero_shot,14,0,0,14,1.0,100.0,100.0,0.25,3.0,88.48,2.24,0.07,11,0,4,0.0,0.7,3060,496,5745
HumanEval/149,competitive,gemma-31b:zero_shot,10,0,0,10,1.0,100.0,100.0,0.75,2.0,79.46,1.38,0.044,9,2,3,0.0,0.708,435,569,6745
HumanEval/150,swarm,gemma-31b:scot,3,0,0,3,1.0,100.0,100.0,0.25,2.0,79.74,0.9,0.051,2,0,4,0.0,0.5,781,1725,6674
HumanEval/149,baseline,gemma-31b:few_shot,8,0,0,8,1.0,100.0,100.0,1.0,2.12,86.06,1.38,0.031,8,2,3,0.0,0.683,1209,2267,8199
HumanEval/159,actor_critic,gemma-31b:few_shot,5,0,0,5,1.0,100.0,100.0,0.2,3.2,82.99,1.14,0.03,12,1,3,0.0,0.692,1511,921,7421
HumanEval/157,coa,gemma-31b:scot,6,1,0,7,0.857,94.59,95.0,1.0,3.43,72.09,3.82,0.046,30,2,4,0.0,0.783,170,184,783
HumanEval/154,competitive,gemma-31b:few_shot,17,5,0,22,0.773,100.0,100.0,1.0,2.0,100.0,1.94,0.066,2,0,4,0.0,0.5,199,351,2360
HumanEval/147,hybrid,gemma-31b:cot,18,0,0,18,1.0,100.0,100.0,0.25,3.43,72.95,4.24,0.046,0,0,0,1.0,0.0,3007,1773,9224
HumanEval/139,baseline,gemma-31b:few_shot,3,0,0,3,1.0,100.0,100.0,0.25,3.0,86.98,0.93,0.086,6,0,3,0.0,0.55,328,229,1304
HumanEval/139,competitive,gemma-31b:zero_shot,10,3,0,13,0.769,100.0,100.0,1.0,1.83,81.12,3.07,0.069,8,0,5,0.0,0.7,161,576,2008
HumanEval/139,competitive,gemma-31b:few_shot,8,0,0,8,1.0,100.0,100.0,0.25,2.0,87.0,1.33,0.08,4,0,4,0.0,0.55,2996,3597,12644
HumanEval/142,baseline,gemma-31b:few_shot,7,0,0,7,1.0,100.0,100.0,0.6,2.29,70.63,2.37,0.02,8,2,3,0.0,0.683,402,723,2040
HumanEval/143,actor_critic,gemma-31b:scot,23,0,0,23,1.0,100.0,100.0,1.0,2.0,91.65,2.65,0.031,2,0,4,0.0,0.5,947,2,4640
HumanEval/139,self_healing,gemma-31b:cot,0,0,0,0,0.0,11.54,0.0,1.0,4.0,92.03,1.33,0.68,0,0,0,1.0,0.0,1193,384,8463
HumanEval/155,baseline,gemma-31b:few_shot,7,0,0,7,1.0,100.0,100.0,0.4,3.14,60.41,2.82,0.052,15,1,3,0.0,0.692,303,526,1306
HumanEval/147,hybrid,gemma-31b:scot,15,1,0,16,0.938,100.0,100.0,1.0,2.5,75.93,3.94,0.059,0,0,0,1.0,0.0,3301,3626,10157
HumanEval/139,baseline,gemma-31b:zero_shot,8,1,0,9,0.889,92.31,100.0,1.0,1.5,89.21,2.07,0.048,7,1,5,0.0,0.717,1458,1082,15017
HumanEval/146,swarm,gemma-31b:zero_shot,3,0,0,3,1.0,100.0,100.0,0.5,2.0,100.0,1.0,0.102,2,0,4,0.0,0.5,1754,1303,16123
HumanEval/143,actor_critic,gemma-31b:zero_shot,13,0,0,13,1.0,94.44,100.0,0.0,2.29,66.71,3.3,0.055,14,1,3,0.0,0.692,1507,38,4067
HumanEval/160,hybrid,gemma-31b:cot,41,0,0,41,1.0,100.0,100.0,0.0,1.33,99.83,2.42,0.055,6,0,5,0.0,0.65,3704,3146,14201
HumanEval/151,swarm,gemma-31b:cot,2,1,0,3,0.667,100.0,100.0,1.0,2.0,100.0,0.87,0.038,2,0,4,0.0,0.5,1070,1040,5693
HumanEval/163,hybrid,gemma-31b:few_shot,0,0,0,0,0.0,60.0,60.0,1.0,1.0,100.0,0.45,0.18,0,0,0,1.0,0.0,1541,702,3792
HumanEval/158,soa,gemma-31b:cot,16,2,0,18,0.889,100.0,100.0,1.0,1.75,93.74,2.73,0.043,5,2,5,0.0,0.708,874,705,5082
HumanEval/139,swarm,gemma-31b:few_shot,1,0,0,1,1.0,76.92,50.0,0.0,2.0,81.86,0.27,0.11,1,0,3,0.0,0.425,674,228,2809
HumanEval/158,swarm,gemma-31b:zero_shot,3,0,0,3,1.0,100.0,100.0,0.667,2.0,95.58,1.07,0.132,3,0,3,0.0,0.475,342,272,4209
HumanEval/145,actor_critic,gemma-31b:few_shot,5,3,0,8,0.625,100.0,100.0,1.0,2.12,79.21,2.1,0.077,7,2,3,0.0,0.658,1734,867,11842
HumanEval/139,coa,gemma-31b:zero_shot,9,0,0,9,1.0,100.0,100.0,0.5,1.67,84.47,2.4,0.028,7,1,4,0.222,0.611,460,388,2759
HumanEval/155,swarm,gemma-31b:scot,1,0,0,1,1.0,100.0,100.0,0.4,2.0,79.74,0.45,0.108,1,1,3,0.0,0.467,232,61,621
HumanEval/157,swarm,gemma-31b:zero_shot,1,1,0,2,0.5,100.0,100.0,0.8,2.0,100.0,0.91,0.054,6,0,3,0.0,0.55,630,412,12306
HumanEval/151,adversarial,gemma-31b:scot,8,2,0,10,0.8,96.77,100.0,1.0,3.0,79.77,2.53,0.076,12,1,4,0.0,0.742,272,1039,1794
HumanEval/159,swarm,gemma-31b:few_shot,3,0,0,3,1.0,100.0,100.0,0.0,2.0,79.74,0.31,0.022,2,0,4,0.0,0.5,905,244,9261
HumanEval/161,soa,gemma-31b:scot,16,0,0,16,1.0,100.0,100.0,0.667,2.0,100.0,1.11,0.056,2,0,4,0.0,0.5,660,438,5102
HumanEval/158,self_healing,gemma-31b:cot,0,0,0,0,0.0,16.67,0.0,1.0,2.0,68.0,1.07,0.609,0,0,0,1.0,0.0,1693,478,11827
HumanEval/143,swarm,gemma-31b:few_shot,2,0,0,2,1.0,100.0,100.0,0.667,2.0,74.61,0.3,0.04,2,0,3,0.0,0.45,1116,256,8595
HumanEval/159,baseline,gemma-31b:zero_shot,15,0,0,15,1.0,100.0,100.0,0.2,2.0,100.0,0.97,0.035,2,0,4,0.0,0.5,971,1765,8296
HumanEval/161,coa,gemma-31b:zero_shot,7,0,0,7,1.0,97.56,100.0,0.667,3.25,71.2,1.74,0.064,14,1,3,0.125,0.66,1371,924,11531
HumanEval/145,atomic_swarm,gemma-31b:cot,1,2,0,3,0.333,100.0,100.0,1.0,1.67,89.8,0.6,0.088,3,0,4,0.0,0.525,178,45,3143
HumanEval/139,atomic_swarm,gemma-31b:zero_shot,3,0,0,3,1.0,100.0,100.0,0.25,1.67,69.77,0.67,0.1,3,0,4,0.0,0.525,599,1174,8257
HumanEval/154,swarm,gemma-31b:zero_shot,2,0,0,2,1.0,83.33,75.0,0.5,2.0,73.15,0.41,0.096,4,0,3,0.0,0.5,390,137,2906
HumanEval/147,coa,gemma-31b:cot,9,0,0,9,1.0,100.0,100.0,0.25,2.22,79.98,2.29,0.027,6,0,3,0.0,0.55,823,580,12584
HumanEval/142,swarm,gemma-31b:few_shot,2,0,0,2,1.0,100.0,100.0,0.6,2.0,86.29,0.79,0.051,1,1,3,0.0,0.467,888,431,4447
HumanEval/140,soa,gemma-31b:cot,21,1,0,22,0.955,100.0,100.0,1.0,2.0,100.0,2.36,0.019,2,0,4,0.0,0.5,319,381,1594
HumanEval/158,adversarial,gemma-31b:few_shot,9,0,0,9,1.0,100.0,100.0,0.667,2.67,74.46,3.6,0.063,14,2,4,0.0,0.783,532,921,7036
HumanEval/161,competitive,gemma-31b:few_shot,31,0,0,31,1.0,100.0,100.0,0.667,1.5,97.18,2.37,0.058,3,0,4,0.0,0.525,603,1680,3346
HumanEval/158,swarm,gemma-31b:few_shot,3,0,0,3,1.0,95.0,75.0,0.667,2.0,97.86,0.73,0.072,3,0,3,0.0,0.475,541,788,2589
HumanEval/160,self_healing,gemma-31b:scot,17,0,0,17,1.0,79.41,50.0,0.0,3.0,81.44,2.35,0.51,16,1,4,0.0,0.742,1503,857,10213
HumanEval/142,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,12.5,0.0,1.0,0.0,100.0,0.0,0.0,0,0,0,1.0,0.0,2350,2811,10588
HumanEval/159,hybrid,gemma-31b:scot,21,0,0,21,1.0,100.0,100.0,0.4,3.33,85.89,1.83,0.057,3,0,4,0.0,0.525,3219,2889,9351
HumanEval/161,baseline,gemma-31b:cot,23,0,0,23,1.0,100.0,100.0,0.667,2.0,100.0,2.21,0.058,2,0,4,0.0,0.5,496,551,6823
HumanEval/140,hybrid,gemma-31b:cot,47,2,0,49,0.959,100.0,100.0,1.0,2.0,83.46,5.93,0.034,2,0,4,0.0,0.5,2001,2044,8078
HumanEval/152,competitive,gemma-31b:zero_shot,10,0,0,10,1.0,100.0,100.0,0.0,2.0,81.86,1.15,0.064,2,0,4,0.0,0.5,751,1021,2493
HumanEval/163,competitive,gemma-31b:zero_shot,15,0,0,15,1.0,100.0,100.0,0.75,2.0,81.86,1.82,0.141,2,0,4,0.0,0.5,174,246,1604
HumanEval/140,baseline,gemma-31b:few_shot,7,0,0,7,1.0,100.0,100.0,0.0,3.43,77.78,2.29,0.047,15,1,3,0.0,0.692,563,483,3628
HumanEval/151,competitive,gemma-31b:scot,14,2,0,16,0.875,100.0,100.0,1.0,2.0,69.94,1.53,0.147,4,0,4,0.0,0.55,2425,1324,46723
HumanEval/162,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,20.0,0.0,1.0,3.0,100.0,1.09,0.749,0,0,0,1.0,0.0,754,149,2852
HumanEval/152,hybrid,gemma-31b:few_shot,0,0,0,0,0.0,75.0,75.0,1.0,1.0,100.0,0.15,0.189,0,0,0,1.0,0.0,1804,758,4977
HumanEval/162,baseline,gemma-31b:few_shot,5,1,0,6,0.833,100.0,100.0,1.0,2.17,66.41,2.55,0.127,5,1,3,0.0,0.567,2123,1237,6363
HumanEval/144,atomic_swarm,gemma-31b:scot,3,0,0,3,1.0,100.0,100.0,0.5,2.0,69.74,0.62,0.025,5,0,3,0.0,0.525,604,845,4916
HumanEval/141,consensus,gemma-31b:few_shot,54,0,0,54,1.0,100.0,100.0,0.5,2.0,99.07,2.95,0.043,2,0,4,0.0,0.5,1806,726,4085
HumanEval/152,adversarial,gemma-31b:cot,12,0,0,12,1.0,100.0,100.0,0.0,3.11,63.27,3.92,0.039,22,2,5,0.0,0.833,391,906,2518
HumanEval/141,coa,gemma-31b:zero_shot,9,0,0,9,1.0,100.0,100.0,0.25,4.22,70.58,2.77,0.031,27,0,3,0.0,0.65,1797,2324,10315
HumanEval/157,adversarial,gemma-31b:zero_shot,21,0,0,21,1.0,96.55,97.0,0.2,2.0,78.52,6.73,0.218,0,0,0,1.0,0.0,1204,2740,19593
